,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,2,50,13,0,0,0,0,0,8772,0
2,25,3,50,16,4592308,4592308,0,0,102165,177434,3
3,25,3,50,16,8141770,8141770,0,0,205561,214472,3
4,25,3,50,16,12591730,12591730,0,0,337411,214472,6
5,25,3,50,16,17640479,17640479,0,0,447600,214472,9
6,25,3,50,16,21457604,21457604,0,0,542746,214472,12
7,25,3,50,16,24154527,24154527,0,0,621805,230948,14
8,25,3,50,16,30521644,30521644,0,0,752227,245884,19
9,25,3,50,16,36008424,36008424,0,0,850889,245884,25
10,25,3,50,16,39830843,39830843,0,0,955744,245884,31
11,25,3,50,16,40398680,40398680,0,0,979207,245884,36
12,25,3,50,16,44910515,44910515,0,3,1101372,248686,40
13,25,3,50,16,49160508,49160508,0,3,1232585,248686,45
14,25,3,50,16,53951992,53951992,0,3,1324742,248686,51
15,25,3,50,16,58752839,58752839,0,3,1462121,248686,56
16,25,3,50,16,65112933,65112933,0,3,1635227,248686,62
17,25,3,50,16,69133153,69133153,0,3,1721848,248686,67
18,25,3,50,16,72303548,72303548,0,3,1786233,248686,71
19,25,3,50,16,75767333,75767333,0,3,1872726,248686,76
20,25,0,50,0,0,0,0,0,0,0,0
21,25,1,50,25,0,0,0,0,0,18362,0
22,25,2,50,27,7155164,7155164,0,0,221880,339022,1
23,25,2,50,27,14886498,14886498,0,0,385489,339022,5
24,25,2,50,27,23272948,23272948,0,0,597070,339022,9
25,25,2,50,27,31010724,31010724,0,0,830049,339022,13
26,25,2,50,27,40289529,40289529,0,0,1069592,339022,17
27,25,2,50,27,47906635,47906635,0,0,1263457,339022,20
28,25,2,50,27,56810247,56810247,0,0,1512868,339022,24
29,25,2,50,27,65554342,65554342,0,0,1654729,339022,28
30,25,2,50,27,73507749,73507749,0,0,1860363,339022,32
31,25,2,50,27,82799025,82799025,0,0,2021492,339022,36
32,25,2,50,27,92954256,92954256,0,3,2266798,339022,40
33,25,2,50,27,102237709,102237709,0,3,2539255,339022,44
34,25,2,50,27,110003290,110003290,0,3,2776340,339022,47
35,25,2,50,27,118877718,118877718,0,3,2927598,339022,50
36,25,2,50,27,127090797,127090797,0,3,3083726,339022,54
37,25,2,50,27,135619921,135619921,0,3,3249369,339022,58
38,25,2,50,27,143158215,143158215,0,3,3469946,339022,62
39,25,2,50,27,143788729,143788729,0,3,3511220,339022,65
40,25,0,50,0,0,0,0,0,0,0,0
41,25,1,50,16,0,0,0,0,0,13748,0
42,25,3,50,20,0,0,0,0,19826,212873,-2
43,25,4,50,22,6377377,6377377,0,0,226512,253345,0
44,25,4,50,22,13557673,13557673,0,0,443848,282585,6
45,25,4,50,22,18799887,18799887,0,0,541307,282585,14
46,25,4,50,22,24229797,24229797,0,0,628678,282585,20
47,25,4,50,22,26173995,26173995,0,0,686500,286577,26
48,25,4,50,22,27559566,27559566,0,0,746222,288661,31
49,25,4,50,22,33096401,33096401,0,0,837214,288661,36
50,25,4,50,22,38157062,38157062,0,0,992528,288661,42
51,25,4,50,22,40277966,40277966,0,0,1060955,308077,47
52,25,4,50,22,47075212,47075212,0,3,1201287,308077,54
53,25,4,50,22,54189022,54189022,0,3,1373933,314689,60
54,25,4,50,22,61235368,61235368,0,3,1518411,314689,67
55,25,4,50,22,66916412,66916412,0,3,1699911,314689,72
56,25,4,50,22,68713510,68713510,0,3,1751329,320103,77
57,25,4,50,22,73828320,73828320,0,3,1853603,320103,84
58,25,4,50,22,81443454,81443454,0,3,2011954,320103,92
59,25,4,50,22,87704464,87704464,0,3,2213466,320103,98
60,25,0,50,0,0,0,0,0,0,0,0
61,25,1,50,14,2619265,2619265,0,0,64730,76209,1
62,25,1,50,14,7087515,7087515,0,0,185151,112923,2
63,25,1,50,14,11034535,11034535,0,0,310162,112923,4
64,25,1,50,14,14936749,14936749,0,0,373489,112923,6
