,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,3,50,19,1047446,1047446,0,0,48001,71181,2
2,25,6,50,27,7870837,3970837,3900000,0,290040,321776,8
3,25,6,50,27,17743386,13843386,3900000,0,610616,439371,20
4,25,6,50,27,26624024,22724024,3900000,0,963083,439371,32
5,25,6,50,27,33443448,28643448,4800000,0,1161901,439371,44
6,25,6,50,27,40510389,35010389,5500000,0,1397670,439371,56
7,25,6,50,27,48628382,43128382,5500000,0,1652083,439371,68
8,25,6,50,27,53584472,48084472,5500000,0,1854611,439371,79
9,25,6,50,27,61005899,55505899,5500000,0,2084604,439371,91
10,25,6,50,27,66475411,60975411,5500000,0,2274443,439371,102
11,25,6,50,27,73337796,67837796,5500000,0,2543539,439371,114
12,25,6,50,27,81821155,76321155,5500000,2,2780659,439371,126
13,25,6,50,27,90037294,83637294,6400000,2,3112700,439371,138
14,25,6,50,27,99095838,92695838,6400000,2,3361560,439371,150
15,25,6,50,27,107668663,101268663,6400000,2,3616176,439371,161
16,25,6,50,27,115202094,108802094,6400000,2,3882437,439371,172
17,25,6,50,27,123179255,116779255,6400000,2,4079224,439371,183
18,25,6,50,27,131767756,125367756,6400000,2,4402007,439371,194
19,25,6,50,27,139204867,132804867,6400000,2,4681104,439371,205
20,25,0,50,0,0,0,0,0,0,0,0
21,25,3,50,33,8475808,8475808,0,0,308826,467219,4
22,25,3,50,31,19528491,19528491,0,0,661365,503432,10
23,25,3,50,30,30250607,30250607,0,0,1005688,503432,16
24,25,3,50,29,38247375,38247375,0,0,1184067,503432,21
25,25,2,50,29,45566866,45566866,0,0,1364997,503432,19
26,25,2,50,29,56020920,56020920,0,0,1836921,503432,23
27,25,2,50,29,65534620,65534620,0,1,2103680,503432,27
28,25,2,50,29,74107155,74107155,0,1,2294039,503432,31
29,25,2,50,29,83312484,83312484,0,1,2680810,503432,34
30,25,2,50,29,93352761,93352761,0,1,3120603,503432,38
31,25,2,50,29,103753286,103753286,0,1,3428369,503432,42
32,25,2,50,29,113834430,113834430,0,3,3672299,503432,46
33,25,2,50,29,124041798,124041798,0,3,3993315,512168,50
34,25,2,50,29,133659324,133659324,0,4,4209025,514037,54
35,25,2,50,31,142029373,142029373,0,5,4464628,539538,58
36,25,2,50,31,150714606,150714606,0,5,4729264,543066,62
37,25,2,50,30,159657784,159657784,0,5,5049292,543066,66
38,25,2,50,30,170661204,170661204,0,5,5337263,543066,70
39,25,2,50,30,180429114,180429114,0,5,5656193,543066,74
40,25,0,50,0,0,0,0,0,0,0,0
41,25,2,50,26,0,0,0,0,7253,105330,-1
42,25,4,50,31,8580694,8580694,0,0,320849,431003,3
43,25,4,50,31,17056625,17056625,0,0,657573,461891,9
44,25,4,50,31,26586897,26586897,0,0,910159,473397,16
45,25,4,50,31,37953813,37053813,900000,0,1290714,487872,22
46,25,4,50,31,46760218,45860218,900000,0,1584014,487872,29
47,25,4,50,31,55408662,54508662,900000,0,1920837,487872,37
48,25,4,50,31,63445930,62545930,900000,0,2153916,487872,45
49,25,4,50,31,73906550,73006550,900000,0,2565563,489370,52
50,25,4,50,31,83712819,82812819,900000,0,2889554,489370,59
51,25,4,50,31,93088248,92188248,900000,0,3207823,489370,67
52,25,4,50,31,101566503,94866503,6700000,4,3547219,489370,75
53,25,4,50,31,111060736,104360736,6700000,4,3867084,489793,83
54,25,4,50,31,121030968,114330968,6700000,4,4300665,489793,91
55,25,4,50,31,130521438,123821438,6700000,4,4619615,489793,98
56,25,4,50,31,140004739,132504739,7500000,4,4974028,489793,106
57,25,4,50,31,149358589,141858589,7500000,4,5260447,489793,114
58,25,4,50,31,159887381,152387381,7500000,4,5559978,489793,122
59,25,4,50,31,169681513,162181513,7500000,4,5818565,489793,130
60,25,0,50,0,0,0,0,0,0,0,0
61,25,1,50,23,0,0,0,0,0,35251,0
62,25,1,50,23,7089535,7089535,0,0,222426,346535,2
63,25,1,50,23,15606762,15606762,0,0,570428,346535,4
