,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,1,50,48,1299861,1299861,0,0,17228,58922,2
2,25,1,50,48,15644473,15644473,0,0,237533,251550,3
3,25,1,50,48,29179702,29179702,0,0,411679,298508,4
4,25,1,50,48,45098251,45098251,0,0,688318,369225,5
5,25,1,50,48,62546175,62546175,0,0,957159,369225,7
6,25,1,50,48,79954421,79954421,0,0,1223158,369225,9
7,25,1,50,48,94643796,94643796,0,0,1498272,369225,11
8,25,1,50,48,110957263,110957263,0,0,1727974,369225,13
9,25,1,50,48,128918189,128918189,0,0,2030186,369225,15
10,25,1,50,48,145737316,145737316,0,0,2224856,369225,17
11,25,1,50,48,161344625,161344625,0,0,2480435,369225,19
12,25,1,50,48,179154451,179154451,0,0,2683440,369225,21
13,25,1,50,48,196975512,196975512,0,0,2942080,369225,23
14,25,1,50,48,213277752,213277752,0,0,3235353,369225,25
15,25,1,50,48,229917772,229917772,0,0,3433519,369225,27
16,25,1,50,48,247056740,247056740,0,0,3684191,369225,29
17,25,1,50,48,263927849,263927849,0,0,3937375,369225,31
18,25,1,50,48,276973197,276973197,0,0,4133860,369225,33
19,25,1,50,48,292848467,292848467,0,0,4380248,369225,35
20,25,0,50,0,0,0,0,0,0,0,0
21,25,2,50,42,13166088,13166088,0,0,235553,261609,1
22,25,5,50,48,29338213,29338213,0,0,477516,334775,10
23,25,5,50,48,44362609,44362609,0,0,732050,334775,20
24,25,5,50,48,58963907,58963907,0,0,1000934,334975,29
25,25,5,50,48,75479195,75479195,0,0,1219859,334975,39
26,25,5,50,48,94091442,94091442,0,0,1514358,337181,48
27,25,5,50,48,109052850,109052850,0,0,1737088,337181,58
28,25,5,50,48,126050544,126050544,0,0,1969144,337181,68
29,25,5,50,48,142093537,142093537,0,0,2248646,337181,78
30,25,5,50,48,157560869,157560869,0,0,2475811,337181,88
31,25,5,50,48,172819269,172819269,0,0,2717438,337181,98
32,25,5,50,48,187566267,187566267,0,0,2939951,337181,108
33,25,5,50,48,202041380,202041380,0,0,3191107,337181,118
34,25,5,50,48,217507828,217507828,0,0,3423384,337181,128
35,25,5,50,48,234808967,234808967,0,0,3724120,337181,138
36,25,5,50,48,250801754,250801754,0,0,3982765,337181,148
37,25,5,50,48,270295675,270295675,0,0,4241639,337181,158
38,25,5,50,48,287605370,287605370,0,0,4497301,337181,168
39,25,5,50,48,305593001,305593001,0,0,4776424,337181,178
40,25,0,50,0,0,0,0,0,0,0,0
41,25,3,50,44,9194311,9194311,0,0,122958,229461,4
42,25,6,50,50,25964837,25964837,0,0,411306,299844,12
43,25,6,50,50,43763729,43763729,0,0,684595,323028,23
44,25,6,50,50,61294290,61294290,0,0,947000,326321,34
45,25,6,50,50,76188728,76188728,0,0,1155023,326321,46
46,25,6,50,50,93018526,93018526,0,0,1408673,326321,58
47,25,6,50,50,109565741,109565741,0,0,1703240,326321,70
48,25,6,50,50,128447875,128447875,0,0,2014079,326321,82
49,25,6,50,50,146273153,146273153,0,0,2250875,326321,94
50,25,6,50,50,162522504,162522504,0,0,2481604,326321,106
51,25,6,50,50,178597550,178597550,0,0,2766610,326321,118
52,25,6,50,50,194937683,194937683,0,0,3034354,326321,130
53,25,6,50,50,211745329,211745329,0,0,3307719,326321,142
54,25,6,50,50,227636500,227636500,0,0,3521185,326321,154
55,25,6,50,50,244327045,244327045,0,0,3794637,326321,166
56,25,6,50,50,262353231,262353231,0,0,4060332,326321,178
57,25,6,50,50,278109204,278109204,0,0,4291638,326321,190
58,25,6,50,50,295713969,295713969,0,0,4545914,326321,202
59,25,6,50,50,313711747,313711747,0,0,4788218,326321,214
60,25,0,50,0,0,0,0,0,0,0,0
61,25,1,50,41,5723618,5723618,0,0,82177,117447,2
62,25,4,50,47,19616733,19616733,0,0,270978,169539,7
63,25,4,50,47,32814025,32814025,0,0,505716,187623,14
64,25,4,50,47,47209985,47209985,0,0,769466,197585,20
65,25,4,50,47,60287569,60287569,0,0,974502,199015,27
66,25,4,50,47,74386274,74386274,0,0,1188447,199015,35
67,25,4,50,47,89741320,89741320,0,0,1440609,199015,43
68,25,4,50,47,105011126,105011126,0,0,1710416,199015,51
69,25,4,50,47,119092211,119092211,0,0,1970121,199015,59
70,25,4,50,47,134527704,134527704,0,0,2163021,199015,67
71,25,4,50,47,150390362,150390362,0,0,2455132,199015,75
72,25,4,50,47,166013631,166013631,0,1,2733073,199015,83
