,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,1,50,48,3015445,3015445,0,0,127873,227170,2
2,25,1,50,48,19618444,19618444,0,0,874240,787284,3
3,25,1,50,48,36573152,36573152,0,0,1494099,910591,4
4,25,1,50,48,54374978,54374978,0,0,2203596,910591,6
5,25,1,50,48,74197881,74197881,0,0,3122953,910591,8
6,25,1,50,48,93152910,93152910,0,0,4079321,910591,10
7,25,1,50,48,109544226,109544226,0,0,4654254,910591,12
8,25,1,50,48,125178114,125178114,0,0,5291789,910591,14
9,25,1,50,48,139983233,139983233,0,0,5981657,910591,16
10,25,1,50,48,156823648,156823648,0,0,6750697,910591,18
11,25,1,50,48,172338422,172338422,0,0,7370092,910591,20
12,25,1,50,48,187398300,187398300,0,0,8091716,910591,22
13,25,1,50,48,203705506,203705506,0,0,8764993,910591,24
14,25,1,50,48,219109467,219109467,0,0,9452808,910591,26
15,25,1,50,48,232246378,232246378,0,0,10047853,910591,28
16,25,1,50,48,248020984,248020984,0,0,10730470,910591,30
17,25,1,50,48,264805116,264805116,0,0,11429724,910591,32
18,25,1,50,48,280493366,280493366,0,0,12095905,910591,34
19,25,1,50,48,298268771,298268771,0,0,12738433,910591,36
20,25,0,50,0,0,0,0,0,0,0,0
21,25,2,50,43,11671302,11671302,0,0,505604,591746,3
22,25,4,50,46,27640738,27640738,0,0,1298133,663868,6
23,25,4,50,45,44356396,44356396,0,0,1989688,701832,14
24,25,3,50,45,60503567,60503567,0,0,2660115,701832,17
25,25,3,50,45,76786395,76786395,0,0,3414734,701832,23
26,25,3,50,45,92030325,92030325,0,0,3990627,701832,29
27,25,3,50,45,104113781,104113781,0,0,4515958,701832,35
28,25,3,50,45,116387208,116387208,0,0,5062061,701832,41
29,25,3,50,45,132147847,132147847,0,0,5703441,701832,47
30,25,3,50,45,145855042,145855042,0,0,6302996,701832,53
31,25,3,50,45,160449070,160449070,0,0,6990902,701832,59
32,25,3,50,45,174336117,174336117,0,0,7498902,701832,65
33,25,3,50,45,187316219,187316219,0,0,8048265,701832,71
34,25,3,50,45,201186123,201186123,0,0,8579374,701832,77
35,25,3,50,45,217726760,217726760,0,0,9285731,701832,83
36,25,3,50,45,231260824,231260824,0,0,9931501,701832,89
37,25,3,50,45,247604040,247604040,0,0,10716370,701832,95
38,25,3,50,45,262596151,262596151,0,0,11351627,701832,101
39,25,3,50,45,278414245,278414245,0,0,12007231,701832,107
40,25,0,50,0,0,0,0,0,0,0,0
41,25,3,50,46,0,0,0,0,0,75661,0
42,25,4,50,47,16736481,16736481,0,0,715165,965099,7
43,25,4,50,47,31765314,31765314,0,0,1375080,974632,14
44,25,4,50,47,46589030,46589030,0,0,2032147,975576,21
45,25,4,50,47,61029233,61029233,0,0,2706376,975576,29
46,25,4,50,47,77887609,77887609,0,0,3473190,975576,37
47,25,4,50,47,94120265,94120265,0,0,4224098,975576,45
48,25,4,50,47,111477975,111477975,0,1,4936436,975576,53
49,25,4,50,47,128519807,128519807,0,1,5778182,994148,61
50,25,4,50,47,144436214,144436214,0,1,6458301,1017366,69
51,25,4,50,47,160832361,160832361,0,1,7119361,1041311,77
52,25,4,50,48,177171544,177171544,0,3,7853180,1049013,85
53,25,4,50,47,194222651,194222651,0,3,8694057,1070945,93
54,25,4,50,49,210792207,210792207,0,3,9347212,1101924,101
55,25,4,50,49,228256483,228256483,0,3,10120898,1142083,109
56,25,4,50,49,246423323,246423323,0,3,10847645,1170151,117
57,25,4,50,50,262401565,262401565,0,3,11553307,1198121,125
58,25,4,50,49,278928372,278928372,0,3,12221656,1235088,133
59,25,4,50,49,296254982,296254982,0,3,12945881,1267531,141
60,25,0,50,0,0,0,0,0,0,0,0
61,25,2,50,44,608736,608736,0,0,26196,110392,2
62,25,2,50,44,15158094,15158094,0,0,680082,726393,5
63,25,2,50,44,30953422,30953422,0,0,1324435,970497,7
64,25,2,50,44,46263153,46263153,0,0,2007612,1032251,10
