,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,1,50,21,6349051,49051,6300000,0,287768,307223,1
2,25,4,50,27,14232314,132314,14100000,0,649772,355307,4
3,25,4,50,27,21619492,319492,21300000,0,952193,374088,11
4,25,4,50,27,29288995,688995,28600000,0,1322977,382070,18
5,25,4,50,27,38484236,1684236,36800000,0,1697858,400802,24
6,25,4,50,27,49286478,11286478,38000000,0,2045395,404638,31
7,25,4,50,26,57876691,11476691,46400000,1,2475377,404638,38
8,25,4,50,26,66353198,12053198,54300000,1,2842182,446304,44
9,25,4,50,26,73789533,19175411,54614121,2,3158257,467328,51
10,25,4,50,26,75906248,20492126,55414121,2,3273855,503734,56
11,25,4,50,26,83439418,26525296,56914121,2,3653965,507420,62
12,25,4,50,26,90926371,27012250,63914121,5,3978480,531092,69
13,25,4,50,26,99439879,27125757,72314121,5,4393650,533496,77
14,25,4,50,26,99460065,27125757,72334307,5,4417238,554106,82
15,25,4,50,25,107736103,34701795,73034307,5,4772780,554106,90
16,25,4,50,25,108471045,35136737,73334307,5,4830620,565655,96
17,25,4,50,25,118821568,35587260,83234307,5,5335073,579720,103
18,25,4,50,25,126069810,42235503,83834307,5,5695699,606680,109
19,25,4,50,25,133152792,42418484,90734307,5,6060301,606680,116
20,25,0,50,0,0,0,0,0,0,0,0
21,25,1,50,29,0,0,0,0,9352,201128,-2
22,25,3,50,33,10541989,10541989,0,0,345133,431463,-1
23,25,3,50,33,21452207,11352207,10100000,0,751947,633427,4
24,25,3,50,33,31221517,11521517,19700000,0,1169279,640599,9
25,25,3,50,33,33147349,12447349,20700000,0,1285822,640599,14
26,25,3,50,33,44870894,12470894,32400000,0,1717559,640599,19
27,25,3,50,33,57182331,12582331,44600000,0,2268765,640599,25
28,25,3,50,33,59018954,12718954,46300000,0,2383857,640599,30
29,25,3,50,33,69439862,13839862,55600000,0,2843405,640599,35
30,25,3,50,33,80221763,13921763,66300000,0,3347885,640599,40
31,25,3,50,33,82297820,13997820,68300000,0,3482935,640599,45
32,25,3,50,33,91414891,14114891,77300000,3,3809273,640599,50
33,25,3,50,32,93110709,14210709,78900000,3,3915049,641276,55
34,25,3,50,32,104467123,25067123,79400000,3,4347262,641276,60
35,25,3,50,32,115200660,25200660,90000000,3,4706724,641276,65
36,25,3,50,32,124969860,25269860,99700000,3,5182806,641276,70
37,25,3,50,32,134423637,25323637,109100000,3,5668681,641276,75
38,25,3,50,32,144551308,25451308,119100000,3,6010083,641276,80
39,25,3,50,32,155556137,25556137,130000000,3,6485664,641276,86
40,25,0,50,0,0,0,0,0,0,0,0
41,25,1,50,25,0,0,0,0,0,26910,0
42,25,3,50,29,10758765,9858765,900000,0,515334,641949,3
43,25,3,50,29,21518233,10418233,11100000,0,1061765,641949,9
44,25,3,50,29,32264493,10564493,21700000,0,1573495,641949,15
45,25,3,50,29,43334594,12234594,31100000,0,2057185,641949,21
46,25,3,50,29,51580555,19680555,31900000,0,2440749,641949,26
47,25,3,50,29,61555964,29655964,31900000,0,2875144,641949,31
48,25,3,50,28,62422087,29722087,32700000,2,2944462,641949,36
49,25,3,50,30,63827255,29827255,34000000,2,3024058,669329,41
50,25,3,50,30,74591977,30091977,44500000,2,3471445,669329,47
51,25,3,50,30,76089182,30189182,45900000,2,3553979,669329,52
52,25,3,50,30,85899376,30299376,55600000,2,4057397,669329,57
53,25,3,50,29,95884772,30484772,65400000,2,4439793,669329,63
54,25,3,50,29,104893896,30593896,74300000,2,4759141,669329,68
55,25,3,50,29,111844153,30744153,81100000,2,4967989,669329,73
56,25,3,50,29,112034595,30934595,81100000,2,5003991,669329,77
57,25,3,50,29,112695301,30995301,81700000,2,5063906,669329,81
58,25,3,50,29,122070761,31870761,90200000,2,5426131,669329,86
59,25,3,50,29,131387753,32287753,99100000,2,5813369,669329,91
60,25,0,50,0,0,0,0,0,0,0,0
61,25,3,50,25,2956999,2956999,0,0,100507,194022,2
62,25,6,50,32,15220053,3220053,12000000,0,691456,616002,10
63,25,6,50,32,22531601,3331601,19200000,0,950610,663443,18
64,25,6,50,32,33855923,10255923,23600000,0,1455777,668879,29
65,25,6,50,32,42917456,12617456,30300000,0,1810787,668879,40
66,25,6,50,32,52838548,18438548,34400000,0,2177938,668879,51
67,25,6,50,32,60972619,19572619,41400000,0,2527252,668879,62
68,25,6,50,32,71412084,19812084,51600000,0,2907666,668879,73
69,25,6,50,32,78150256,25050256,53100000,0,3228821,688363,80
70,25,6,50,32,90643406,28143406,62500000,0,3795304,688363,91
71,25,6,50,32,101808963,28408963,73400000,0,4237606,688363,102
72,25,6,50,32,111054262,35354262,75700000,1,4662908,688363,113
73,25,6,50,32,120109261,41409261,78700000,1,5020231,688363,124
74,25,6,50,32,129971670,42071670,87900000,1,5449100,688363,135
75,25,6,50,32,137728975,43228975,94500000,1,5756779,688363,145
76,25,6,50,32,146556969,44756969,101800000,1,6111181,688363,157
77,25,6,50,32,149397892,45697892,103700000,1,6241415,688363,166
78,25,6,50,32,157971121,46571121,111400000,1,6585950,688363,176
79,25,6,50,32,169027305,51627305,117400000,1,7045832,688363,188
80,25,0,50,0,0,0,0,0,0,0,0
81,25,2,50,26,1828631,28631,1800000,0,91612,107757,1
82,25,5,50,33,9948403,648403,9300000,0,393552,434767,7
83,25,5,50,33,19513423,4513423,15000000,0,760871,450562,14
84,25,5,50,33,29566339,5166339,24400000,0,1154835,469858,23
85,25,5,50,33,39148821,6748821,32400000,0,1546650,472618,32
86,25,5,50,33,44658736,10858736,33800000,0,1774728,472618,41
87,25,5,50,33,48034067,11234067,36800000,0,1936243,472618,48
88,25,5,50,33,51728689,11928689,39800000,0,2126241,522430,55
89,25,5,50,33,60509321,12209321,48300000,0,2459035,522430,65
90,25,5,50,33,65787947,16887947,48900000,0,2632885,522430,73
91,25,5,50,33,74471574,21571574,52900000,0,2932748,522430,82
92,25,5,50,33,85252105,21852105,63400000,2,3398598,522430,91
93,25,5,50,33,91859148,21959148,69900000,2,3741736,522430,99
94,25,5,50,33,102181282,23081282,79100000,2,4220512,522430,108
95,25,5,50,33,112243057,23343057,88900000,2,4645868,522430,116
96,25,5,50,33,114699119,23999119,90700000,2,4772006,522430,124
97,25,5,50,33,123117286,28117286,95000000,2,5088035,522430,132
98,25,5,50,33,135789618,35289618,100500000,2,5564946,522430,142
99,25,5,50,33,146473840,35573840,110900000,2,6064465,522430,151
100,25,0,50,0,0,0,0,0,0,0,0
101,25,1,50,24,0,0,0,0,0,22079,0
102,25,4,50,33,1304009,4009,1300000,0,89241,542533,-1
103,25,4,50,33,8725268,25268,8700000,0,323309,638066,1
104,25,4,50,33,18298062,98062,18200000,0,811619,638066,6
105,25,4,50,33,27412946,1112946,26300000,0,1276713,700853,9
106,25,4,50,33,37848071,1848071,36000000,0,1742583,716168,16
107,25,4,50,33,48197324,2597324,45600000,0,2194496,722963,22
108,25,4,50,33,58345292,3645292,54700000,0,2645967,747634,29
109,25,4,50,33,69281028,4781028,64500000,0,3061440,756326,35
110,25,4,50,33,73078497,4878497,68200000,0,3215268,756326,42
111,25,4,50,33,82064297,6664297,75400000,0,3643664,756326,49
112,25,4,50,33,92281887,8081887,84200000,2,4111312,756326,57
113,25,4,50,34,103999454,9699454,94300000,2,4663893,756503,65
114,25,4,50,34,113705042,11105042,102600000,2,5163762,761547,72
115,25,4,50,34,123495261,11195261,112300000,2,5584344,784744,80
116,25,4,50,33,134587000,20087000,114500000,2,5957634,784744,87
117,25,4,50,33,144863987,21363987,123500000,2,6334604,788193,94
118,25,4,50,34,153357931,21457931,131900000,2,6690502,815600,99
119,25,4,50,34,167378111,33478111,133900000,2,7115503,837831,107
120,25,0,50,0,0,0,0,0,0,0,0
121,25,2,50,27,0,0,0,0,0,23273,0
122,25,5,50,36,11100982,800982,10300000,0,433012,644378,10
123,25,5,50,36,22101118,1001118,21100000,0,979416,703295,16
124,25,5,50,36,35002688,10402688,24600000,0,1423709,758363,24
125,25,5,50,36,44947487,11747487,33200000,0,1858272,758363,33
126,25,5,50,36,52630548,13530548,39100000,0,2227679,758363,42
127,25,5,50,35,63351419,19451419,43900000,1,2682484,758363,51
128,25,5,50,34,73087067,21287067,51800000,2,3080435,812083,57
129,25,5,50,35,82564128,21364128,61200000,2,3438412,839129,63
130,25,5,50,34,94923605,33423605,61500000,2,3923626,839129,73
131,25,5,50,34,106421923,36321923,70100000,2,4426495,846225,81
132,25,5,50,34,109317572,37017572,72300000,4,4572479,846225,89
133,25,5,50,34,120391309,40291309,80100000,4,4977058,846225,98
134,25,5,50,34,130830419,40630419,90200000,4,5393266,846225,107
135,25,5,50,34,140216107,41516107,98700000,4,5831725,846225,116
136,25,5,50,34,150262736,41762736,108500000,4,6294533,846225,125
137,25,5,50,34,161656949,43856949,117800000,4,6742436,846225,135
138,25,5,50,34,173946095,44046095,129900000,4,7209373,846225,144
139,25,5,50,34,183582567,46582567,137000000,4,7520752,846225,153
140,25,0,50,0,0,0,0,0,0,0,0
141,25,2,50,28,2372251,72251,2300000,0,113992,134957,1
142,25,6,50,40,14638028,3838028,10800000,0,631184,637224,4
143,25,6,50,40,15589611,4789611,10800000,0,713641,745895,4
144,25,6,50,40,23870360,10970360,12900000,0,1106350,764773,10
