,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0
1,25,3,50,39,533433,533433,0,0,10017,56098,2
2,25,5,50,44,14148425,14148425,0,0,262434,291994,8
3,25,5,50,44,28590367,28590367,0,0,608358,338936,14
4,25,5,50,44,42824094,42824094,0,0,901849,339500,23
5,25,5,50,44,58866301,58866301,0,0,1225461,339500,33
6,25,5,50,44,73505125,73505125,0,0,1535526,339500,43
7,25,5,50,44,88654018,88654018,0,0,1827096,349679,52
8,25,5,50,44,104419652,104419652,0,0,2094543,349679,62
9,25,5,50,44,119836623,119836623,0,0,2460728,349679,72
10,25,5,50,44,136552628,136552628,0,0,2776388,352649,81
11,25,5,50,44,150526923,150526923,0,0,3043967,352649,91
12,25,5,50,44,165603586,165603586,0,1,3320406,352649,101
13,25,5,50,44,179088806,179088806,0,1,3656317,353563,111
14,25,5,50,44,193904609,193904609,0,1,3985699,373992,121
15,25,5,50,45,206655029,206655029,0,1,4304003,404155,131
16,25,5,50,44,220523030,220523030,0,1,4603057,404155,141
17,25,5,50,44,236018374,236018374,0,1,4878636,410364,151
18,25,5,50,44,250110544,250110544,0,1,5143593,420669,161
19,25,5,50,45,265152067,265152067,0,1,5443919,422136,171
20,25,0,50,0,0,0,0,0,0,0,0
21,25,2,50,42,1647765,1647765,0,0,39149,92252,2
22,25,4,50,48,15004198,15004198,0,0,300745,343860,5
23,25,4,50,48,29064674,29064674,0,0,655330,414304,12
24,25,4,50,48,43451023,43451023,0,0,877911,424468,19
25,25,4,50,48,60281298,60281298,0,0,1155365,430794,26
26,25,4,50,48,75193023,75193023,0,0,1404638,430794,34
27,25,4,50,48,89037962,89037962,0,0,1663690,430794,42
28,25,4,50,48,105741650,105741650,0,0,2015288,430794,50
29,25,4,50,48,120596617,120596617,0,0,2313967,430794,58
30,25,4,50,48,136020710,136020710,0,0,2608929,430794,66
31,25,4,50,48,149978444,149978444,0,0,2860827,430794,74
32,25,4,50,48,166302089,166302089,0,1,3189322,430794,82
33,25,4,50,48,184432770,184432770,0,1,3513962,432037,90
34,25,4,50,48,198877235,198877235,0,1,3783952,457473,98
35,25,4,50,49,214940979,214940979,0,1,4185640,481675,106
36,25,4,50,49,231678664,231678664,0,1,4482409,486833,114
37,25,4,50,49,244700335,244700335,0,1,4718265,502455,122
38,25,4,50,49,258739112,258739112,0,1,5014893,527978,130
39,25,4,50,49,274212862,274212862,0,1,5283346,551190,138
40,25,0,50,0,0,0,0,0,0,0,0
41,25,4,50,49,7668003,7668003,0,0,145898,231103,3
42,25,5,50,51,25575637,25575637,0,0,497665,490397,11
43,25,5,50,51,43695262,43695262,0,0,882971,513531,20
44,25,5,50,51,61278898,61278898,0,0,1243731,526545,29
45,25,5,50,51,77355636,77355636,0,0,1513027,526545,39
46,25,5,50,51,92901739,92901739,0,0,1790072,526545,49
47,25,5,50,51,108360353,108360353,0,0,2087949,526545,59
48,25,5,50,51,126312007,126312007,0,0,2422906,526545,69
49,25,5,50,51,145337371,145337371,0,0,2772468,526545,79
50,25,5,50,51,163222814,163222814,0,0,3132322,526545,89
51,25,5,50,51,180139483,180139483,0,0,3417070,526545,99
52,25,5,50,51,199107997,199107997,0,0,3809604,526545,109
53,25,5,50,51,215968358,215968358,0,0,4135424,526545,119
54,25,5,50,51,233252428,233252428,0,0,4439874,526545,129
55,25,5,50,51,251303553,251303553,0,0,4911052,526545,139
56,25,5,50,51,268339856,268339856,0,0,5311748,526545,149
57,25,5,50,51,286229993,286229993,0,0,5629850,526545,159
58,25,5,50,51,302236271,302236271,0,0,5879600,526545,169
59,25,5,50,51,319921833,319921833,0,0,6198434,526545,179
60,25,0,50,0,0,0,0,0,0,0,0
61,25,2,50,44,15330869,15330869,0,0,372768,434134,2
62,25,4,50,48,31549786,31549786,0,0,643598,471669,8
63,25,4,50,48,45805914,45805914,0,0,845616,518311,15
64,25,4,50,48,61381803,61381803,0,0,1200782,518311,23
65,25,4,50,48,78822132,78822132,0,0,1429405,518311,31
66,25,4,50,48,95884399,95884399,0,0,1800241,524401,38
67,25,4,50,48,110510129,110510129,0,0,2201402,524401,46
68,25,4,50,48,127270717,127270717,0,0,2570962,524401,54
69,25,4,50,48,142981032,142981032,0,0,2794311,524401,62
70,25,4,50,48,159544167,159544167,0,0,3072115,524401,70
71,25,4,50,48,174118963,174118963,0,0,3309522,524401,78
72,25,4,50,48,188820500,188820500,0,0,3588465,524401,86
73,25,4,50,48,205815590,205815590,0,0,3977943,524401,94
74,25,4,50,48,220937412,220937412,0,0,4222380,524401,102
75,25,4,50,48,236600316,236600316,0,0,4525816,524401,110
76,25,4,50,48,253208497,253208497,0,0,4840543,524401,118
77,25,4,50,48,269359448,269359448,0,0,5086637,524401,126
78,25,4,50,48,285676393,285676393,0,0,5459053,524401,134
79,25,4,50,48,301262966,301262966,0,0,5871144,524401,142
80,25,0,50,0,0,0,0,0,0,0,0
81,25,2,50,46,12381743,12381743,0,0,322300,378352,1
82,25,3,50,48,28099923,28099923,0,0,583916,451677,5
83,25,3,50,48,43780544,43780544,0,0,907602,465661,10
84,25,3,50,48,60174516,60174516,0,0,1247863,465661,16
85,25,3,50,48,76320867,76320867,0,0,1537302,468233,21
86,25,3,50,48,93199177,93199177,0,0,1887292,468233,27
87,25,3,50,48,109342810,109342810,0,0,2212169,476766,32
88,25,3,50,48,123356619,123356619,0,0,2508733,476766,38
89,25,3,50,48,138714017,138714017,0,0,2863266,476766,44
90,25,3,50,48,154341076,154341076,0,0,3261153,476766,50
91,25,3,50,48,168041748,168041748,0,0,3552564,476766,56
92,25,3,50,48,183327625,183327625,0,0,3915155,476766,62
93,25,3,50,48,201582089,201582089,0,0,4173915,476766,68
94,25,3,50,48,217412443,217412443,0,0,4451736,476766,74
95,25,3,50,48,232224518,232224518,0,0,4784708,476766,80
96,25,3,50,48,246045633,246045633,0,0,5090336,476766,86
97,25,3,50,48,261523790,261523790,0,0,5467839,476766,92
98,25,3,50,48,277793532,277793532,0,0,5836793,476766,98
99,25,3,50,48,290749399,290749399,0,0,6123258,476766,104
100,25,0,50,0,0,0,0,0,0,0,0
101,25,2,50,42,5295126,5295126,0,0,72558,204603,2
102,25,4,50,47,20355314,20355314,0,0,422207,375396,8
103,25,4,50,47,34557374,34557374,0,0,708019,376252,15
104,25,4,50,47,48564720,48564720,0,0,886216,376252,23
105,25,4,50,47,62739853,62739853,0,0,1198670,376252,31
106,25,4,50,47,77050018,77050018,0,0,1448279,376252,39
107,25,4,50,47,92732739,92732739,0,0,1644246,376252,47
108,25,4,50,47,107947698,107947698,0,0,1913598,376252,55
109,25,4,50,47,123397694,123397694,0,0,2269205,376252,63
110,25,4,50,47,140743044,140743044,0,0,2593154,376252,71
111,25,4,50,47,156710178,156710178,0,0,2901018,376252,79
112,25,4,50,47,170524426,170524426,0,0,3103406,376252,87
113,25,4,50,47,185138206,185138206,0,0,3381410,376252,95
114,25,4,50,47,200526358,200526358,0,0,3727900,376252,103
115,25,4,50,47,214487299,214487299,0,0,3976565,376252,111
116,25,4,50,47,228174539,228174539,0,0,4230540,376252,119
117,25,4,50,47,242373102,242373102,0,0,4412834,376252,127
118,25,4,50,47,258730729,258730729,0,0,4795984,376252,135
119,25,4,50,47,272734268,272734268,0,0,5099092,376252,143
120,25,0,50,0,0,0,0,0,0,0,0
121,25,4,50,38,5128146,5128146,0,0,63290,198018,2
122,25,10,50,52,19503454,19503454,0,0,301489,362411,16
123,25,10,50,52,37250109,37250109,0,0,663589,427519,32
124,25,10,50,52,55007930,55007930,0,0,975191,472672,47
125,25,10,50,52,71423467,71423467,0,0,1248254,472672,67
126,25,10,50,52,87386256,87386256,0,0,1552794,472672,87
127,25,10,50,52,105687736,105687736,0,0,1917188,472672,107
128,25,10,50,52,124607612,124607612,0,0,2268700,473721,126
129,25,10,50,52,140063911,140063911,0,0,2571538,473721,146
130,25,10,50,52,154874944,154874944,0,0,2894992,473721,166
131,25,10,50,52,172420541,172420541,0,0,3294169,476526,185
132,25,10,50,52,187625405,187625405,0,1,3563229,476526,205
133,25,10,50,53,204612531,204612531,0,1,3920197,478279,225
134,25,10,50,53,218175185,218175185,0,1,4199261,496783,245
135,25,10,50,53,232773714,232773714,0,1,4454549,520810,265
136,25,10,50,53,251161953,251161953,0,1,4771063,537629,285
137,25,10,50,53,269802024,269802024,0,1,5092408,557408,305
138,25,10,50,53,285921486,285921486,0,1,5432334,574155,325
139,25,10,50,53,302514208,302514208,0,1,5794864,597533,345
140,25,0,50,0,0,0,0,0,0,0,0
141,25,3,50,44,11454287,11454287,0,0,209518,297545,4
142,25,4,50,46,27003262,27003262,0,0,477914,404620,8
143,25,4,50,46,43150133,43150133,0,0,781659,452259,14
144,25,4,50,46,58534062,58534062,0,0,1056840,452259,22
145,25,4,50,46,73950996,73950996,0,0,1391827,452259,30
146,25,4,50,46,89237712,89237712,0,0,1664867,452259,38
147,25,4,50,46,103392304,103392304,0,0,1977688,452259,46
148,25,4,50,46,118096309,118096309,0,0,2294026,452259,54
149,25,4,50,46,133556486,133556486,0,0,2607853,452259,62
150,25,4,50,46,150328085,150328085,0,0,3001913,452259,70
151,25,4,50,46,168475402,168475402,0,0,3301728,452259,78
152,25,4,50,46,184943226,184943226,0,0,3628938,452259,86
153,25,4,50,46,201375065,201375065,0,0,3947377,452259,94
154,25,4,50,46,217577085,217577085,0,0,4301036,452259,102
155,25,4,50,46,234822004,234822004,0,0,4541953,452259,110
156,25,4,50,46,248057128,248057128,0,0,4831800,452259,118
157,25,4,50,46,263240294,263240294,0,0,5105114,452259,126
