,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,1,50,12,0,0,0,0,6498,112412,2193,0,-1
2,25,1,50,12,0,0,0,0,16222,112412,18959,0,-2
3,25,1,50,12,0,0,0,0,26157,112412,72116,0,-3
4,25,1,50,12,0,0,0,0,37592,130689,80859,0,-5
5,25,1,50,12,0,0,0,0,49032,197109,27390,0,-7
6,25,1,50,12,0,0,0,0,61190,197109,27594,0,-8
7,25,1,50,12,0,0,0,0,72709,197109,22979,0,-9
8,25,1,50,12,0,0,0,0,82748,280458,38064,0,-11
9,25,1,50,12,0,0,0,0,92882,280458,19101,0,-12
10,25,1,50,12,0,0,0,0,103297,397782,41425,0,-14
11,25,1,50,12,0,0,0,0,115280,397782,3630,0,-15
12,25,1,50,12,0,0,0,5,124428,478401,69893,0,-17
13,25,1,50,12,0,0,0,5,134334,624609,37872,0,-19
14,25,1,50,12,0,0,0,5,142058,741153,20947,0,-21
15,25,1,50,12,0,0,0,5,151469,892243,36430,0,-23
16,25,1,50,12,0,0,0,5,161067,1022742,68111,0,-25
17,25,1,50,12,0,0,0,5,170487,1158069,72153,0,-27
18,25,1,50,12,0,0,0,5,181364,1158069,13497,0,-28
19,25,1,50,12,0,0,0,5,190814,1158069,6940,117972,-29
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,1,50,25,0,0,0,0,3195,69041,9212,0,-1
22,25,2,50,27,0,0,0,0,21904,69041,30555,0,-2
23,25,2,50,27,736339,736339,0,0,62652,327306,99270,0,-2
24,25,2,50,27,1235246,1235246,0,0,94007,529247,55511,0,-2
25,25,2,50,27,1611900,1611900,0,0,125996,759916,138387,0,-2
26,25,2,50,27,1611900,1611900,0,0,150420,1039165,124316,0,-3
27,25,2,50,27,2237899,2237899,0,0,190667,1039165,65515,0,-2
28,25,2,50,27,2792266,2792266,0,0,224646,1368842,89734,0,-2
29,25,2,50,27,3272324,3272324,0,0,256707,1368842,35110,0,-1
30,25,2,50,27,3808504,3808504,0,0,298805,1798451,74814,0,-1
31,25,2,50,27,3808504,3808504,0,0,324579,2205692,115918,0,-2
32,25,2,50,27,4275575,4275575,0,2,357114,2592997,116621,0,-2
33,25,2,50,27,5162347,5162347,0,2,395641,2990747,112242,0,-2
34,25,2,50,27,5367226,5367226,0,2,422992,3484401,117486,0,-2
35,25,2,50,27,5449323,5449323,0,2,447763,3875291,177570,0,-2
36,25,2,50,27,5909385,5909385,0,2,480428,4265097,139756,0,-2
37,25,2,50,27,5909385,5909385,0,2,505752,4842631,92003,0,-3
38,25,2,50,27,5909385,5909385,0,2,531300,4842631,36362,0,-3
39,25,2,50,27,5909385,5909385,0,2,560704,5421933,193647,0,-4
40,25,0,50,0,0,0,0,0,0,0,0,0,0
41,25,2,50,17,1647446,1647446,0,0,44659,75848,15256,0,2
42,25,7,50,31,5635882,5635882,0,0,163382,331689,84806,0,2
43,25,8,50,33,9820086,9820086,0,0,289182,362272,97162,0,6
44,25,8,50,33,15220025,15220025,0,0,450783,379962,138602,0,6
45,25,8,50,33,21261633,21261633,0,0,639039,418889,137881,0,8
46,25,8,50,33,24302517,24302517,0,0,730349,423961,172871,0,12
47,25,8,50,33,26610760,26610760,0,0,804100,432033,114047,0,16
48,25,8,50,33,32320278,32320278,0,0,948066,432095,118020,0,21
49,25,8,50,33,37413168,37413168,0,0,1091045,438283,175960,0,25
50,25,8,50,33,41590157,41590157,0,0,1189490,449129,110738,78279,29
51,25,8,50,33,45660761,45660761,0,0,1309409,449129,107460,0,35
52,25,8,50,33,49672872,49672872,0,3,1423030,508173,116532,0,40
53,25,8,50,33,55323203,55323203,0,3,1583082,31010714,90785,0,43
54,25,8,50,33,57417226,57417226,0,3,1656892,31010714,53176,47766,46
55,25,8,50,33,61441978,61441978,0,3,1760252,61613311,148167,0,49
56,25,8,50,33,65977062,65977062,0,3,1900729,61743476,145853,0,52
57,25,8,50,33,71931544,71931544,0,3,2055083,61803849,170610,0,57
58,25,8,50,33,75864131,75864131,0,3,2184415,92392762,106769,0,59
59,25,8,50,33,80100929,80100929,0,3,2306853,123022441,121442,0,61
60,25,0,50,0,0,0,0,0,0,0,0,0,0
61,25,3,50,15,0,0,0,0,0,4942,0,0,0
62,25,6,50,21,5183935,5183935,0,0,122939,270422,106087,0,2
63,25,7,50,23,8706520,8706520,0,0,204773,286328,97962,0,2
64,25,7,50,23,10601126,10601126,0,0,272127,305778,74328,0,3
65,25,7,50,23,13136139,13136139,0,0,350774,328784,60573,0,4
66,25,7,50,23,16177563,16177563,0,0,436396,356903,81837,9015,3
67,25,7,50,23,21031159,21031159,0,0,591315,377817,85123,19011,3
68,25,7,50,23,24421641,24421641,0,0,707389,386552,55762,0,5
69,25,7,50,23,30724905,29824905,900000,0,884968,430370,74577,28502,8
70,25,7,50,23,36375178,35475178,900000,0,1027614,434840,100600,0,15
71,25,7,50,23,41578302,40678302,900000,0,1172809,456044,78621,0,21
72,25,7,50,23,44412246,43512246,900000,4,1243967,510573,90054,0,24
73,25,7,50,23,48026324,47126324,900000,4,1339386,560504,80192,0,28
74,25,7,50,23,53804286,52904286,900000,4,1508873,595659,86907,0,33
75,25,7,50,23,59199485,58299485,900000,4,1628312,641925,140690,0,38
76,25,7,50,23,64977517,64077517,900000,4,1755985,685566,111779,0,45
77,25,7,50,23,67936832,67036832,900000,4,1827436,737607,80219,0,49
78,25,7,50,23,73400819,72500819,900000,4,1960970,754286,100564,0,55
79,25,7,50,23,76258013,75358013,900000,4,2054433,784024,47425,0,60
80,25,0,50,0,0,0,0,0,0,0,0,0,0
81,25,1,50,17,0,0,0,0,9805,148383,34036,0,-1
82,25,1,50,17,0,0,0,0,25775,203856,71123,0,-3
83,25,1,50,17,0,0,0,0,38746,203856,21833,0,-4
84,25,1,50,17,0,0,0,0,51825,229826,58162,0,-6
85,25,1,50,17,0,0,0,0,66923,229826,27192,0,-7
86,25,1,50,17,0,0,0,0,82506,286218,92152,0,-9
87,25,1,50,17,0,0,0,0,94862,322677,103244,0,-11
88,25,1,50,17,0,0,0,0,112121,456652,104362,0,-13
89,25,1,50,17,0,0,0,0,130946,636282,59248,0,-15
90,25,1,50,17,0,0,0,0,144987,755786,94961,0,-17
91,25,1,50,17,0,0,0,0,161408,953257,69244,0,-19
92,25,1,50,17,0,0,0,3,174572,1094147,90548,0,-21
93,25,1,50,17,0,0,0,3,186379,1265553,32397,0,-23
94,25,1,50,17,0,0,0,3,201181,1265553,36001,0,-24
95,25,1,50,17,0,0,0,3,213715,1468120,46725,0,-26
96,25,1,50,17,0,0,0,3,231467,1660906,152491,0,-28
97,25,1,50,17,0,0,0,3,249039,1875819,136494,0,-30
98,25,1,50,17,0,0,0,3,263191,2116401,90075,0,-32
99,25,1,50,17,0,0,0,3,277700,2398839,56999,0,-34
100,25,0,50,0,0,0,0,0,0,0,0,0,0
101,25,1,50,22,926374,926374,0,0,16615,37884,15493,0,2
102,25,2,50,24,8602505,8602505,0,0,245771,253230,73983,0,2
103,25,2,50,24,8602505,8602505,0,0,263494,253230,33349,0,2
104,25,2,50,24,15848470,15848470,0,0,399437,269468,116625,0,2
105,25,2,50,24,23496809,23496809,0,0,615314,303935,81613,0,2
106,25,2,50,24,30703395,30703395,0,0,791220,319139,109270,0,2
107,25,2,50,24,30703395,30703395,0,0,807622,325705,44689,0,1
108,25,2,50,24,30703395,30703395,0,0,827146,328341,39447,0,0
109,25,2,50,24,30703395,30703395,0,0,845428,328341,32430,0,0
110,25,2,50,24,30703395,30703395,0,0,865717,345299,43399,0,-1
111,25,2,50,24,37754142,37754142,0,0,1024268,345299,111393,0,0
112,25,2,50,24,45011522,45011522,0,2,1226175,361581,71833,0,0
113,25,2,50,24,52693744,52693744,0,2,1372796,361581,150986,0,1
114,25,2,50,24,60233525,60233525,0,2,1531590,361581,112996,0,2
115,25,2,50,24,67137811,67137811,0,2,1742213,375969,47067,0,2
116,25,2,50,24,67137811,67137811,0,2,1763846,375969,23725,0,2
117,25,2,50,24,74648661,74648661,0,2,1997160,375969,77263,0,3
118,25,2,50,24,74648661,74648661,0,2,2017758,375969,29084,0,3
119,25,2,50,24,82106848,82106848,0,2,2203762,375969,85777,0,4
120,25,0,50,0,0,0,0,0,0,0,0,0,0
121,25,2,50,17,0,0,0,0,5333,55274,12009,0,-2
122,25,4,50,21,5140027,5140027,0,0,106997,132045,85745,0,1
123,25,4,50,21,10773811,10773811,0,0,252992,189148,61741,0,4
124,25,4,50,21,15858507,15858507,0,0,407224,210738,56068,0,7
125,25,4,50,21,20034650,20034650,0,0,491022,210738,96873,0,10
126,25,4,50,21,26906598,26906598,0,0,662743,212744,114118,0,14
127,25,4,50,21,32919487,32919487,0,0,835773,212744,53981,0,19
128,25,4,50,21,37875503,37875503,0,0,983548,228908,61493,8334,22
129,25,4,50,21,39874351,39874351,0,0,1054760,230480,41308,0,25
130,25,4,50,21,47265062,47265062,0,0,1242328,245190,82095,0,30
131,25,4,50,21,55100591,55100591,0,0,1423522,245190,132501,0,35
132,25,4,50,21,59777362,59777362,0,4,1520228,245190,73694,0,40
133,25,4,50,21,61902348,61902348,0,4,1592167,21710669,37644,0,43
134,25,4,50,21,67868753,67868753,0,4,1750185,21710669,73840,0,47
135,25,4,50,21,75132751,75132751,0,4,1930185,21710669,93782,0,52
136,25,4,50,21,80840086,80840086,0,4,2045782,43178640,95860,0,56
137,25,4,50,21,84820583,84820583,0,4,2182124,64643671,51295,0,59
138,25,4,50,21,89863148,89863148,0,4,2302172,86127447,90153,0,62
139,25,4,50,21,96192512,96192512,0,4,2501673,86127447,66827,0,66
140,25,0,50,0,0,0,0,0,0,0,0,0,0
141,25,2,50,16,1283353,1283353,0,0,26572,45414,17894,0,2
142,25,7,50,29,7321506,7321506,0,0,200594,220673,59099,27270,6
143,25,7,50,26,13889176,13889176,0,0,388102,281189,95582,0,15
144,25,7,50,25,18130400,18130400,0,0,514994,300724,88277,28541,20
145,25,6,50,25,24339068,24339068,0,0,652927,300724,103368,0,33
146,25,6,50,25,26740497,26740497,0,0,718367,300724,52277,0,42
147,25,6,50,25,32625857,32625857,0,0,849620,300724,89789,0,51
148,25,6,50,25,37992830,37992830,0,0,992094,300724,61164,0,62
149,25,6,50,25,42724553,42724553,0,0,1124008,300724,74717,35712,71
150,25,6,50,25,48601669,48601669,0,0,1242229,300724,102928,0,82
151,25,6,50,25,51069534,51069534,0,0,1309901,300724,63007,0,92
152,25,6,50,25,52837952,52837952,0,2,1372245,300724,43225,0,100
153,25,6,50,25,60919175,60919175,0,2,1531643,300724,149129,0,112
154,25,6,50,25,66451005,66451005,0,2,1701620,300724,81578,0,123
155,25,6,50,25,67374751,67374751,0,2,1745055,300724,42708,0,131
156,25,6,50,25,74053748,74053748,0,2,1872435,300724,118921,13576,141
157,25,6,50,25,81285296,81285296,0,2,2080771,300724,105464,0,151
158,25,6,50,25,87516046,87516046,0,2,2217549,300724,102765,0,161
159,25,6,50,25,88130642,88130642,0,2,2251526,300724,34729,0,168
160,25,0,50,0,0,0,0,0,0,0,0,0,0
161,25,1,50,12,0,0,0,0,0,8145,0,0,0
162,25,2,50,14,4294303,4294303,0,0,84000,142806,75808,0,1
163,25,2,50,14,8159656,8159656,0,0,191012,142806,57841,0,2
164,25,2,50,14,9016029,9016029,0,0,215411,142806,21975,96417,3
165,25,2,50,14,13623052,13623052,0,0,353236,142806,35170,0,4
166,25,2,50,14,14017134,14017134,0,0,374612,142806,29417,0,7
167,25,2,50,14,18782454,18782454,0,0,462699,142806,81144,0,8
168,25,2,50,14,23660307,23660307,0,0,589501,142806,67539,0,12
169,25,2,50,14,28423882,28423882,0,0,716515,142806,45579,0,16
170,25,2,50,14,28948103,28948103,0,0,738093,142806,15473,0,19
171,25,2,50,14,32535507,32535507,0,0,797593,142806,68902,0,23
172,25,2,50,14,32855857,32855857,0,4,816434,142806,16757,0,26
173,25,2,50,14,37292477,37292477,0,4,892379,142806,79452,0,29
174,25,2,50,14,38263967,38263967,0,4,926487,142806,37068,0,32
175,25,2,50,14,42352534,42352534,0,4,1014921,142806,55442,0,36
176,25,2,50,14,42352534,42352534,0,4,1024157,142806,5731,92935,38
177,25,2,50,14,42768965,42768965,0,4,1043741,142806,13615,0,41
178,25,2,50,14,46977194,46977194,0,4,1171413,142806,46089,0,45
179,25,2,50,14,51190352,51190352,0,4,1263306,142806,65453,0,49
180,25,0,50,0,0,0,0,0,0,0,0,0,0
181,25,2,50,11,1799426,1799426,0,0,45949,69825,26614,0,2
182,25,6,50,22,6671011,6671011,0,0,176746,151339,52625,0,9
183,25,8,50,24,13488960,13488960,0,0,320807,269548,116840,0,20
184,25,8,50,23,15393493,15393493,0,0,373423,269548,51410,0,30
185,25,7,50,23,21617935,21617935,0,0,565768,273466,77977,0,36
186,25,7,50,23,28157322,28157322,0,0,720016,278948,103931,8550,46
187,25,7,50,23,34099532,34099532,0,0,896953,278948,64519,0,59
188,25,7,50,23,35460316,35460316,0,0,944512,278948,48323,0,69
189,25,7,50,23,41057238,41057238,0,0,1096559,280122,80758,0,79
190,25,7,50,23,44793181,44793181,0,1,1198366,283825,68308,0,90
191,25,7,50,23,46199139,46199139,0,1,1245408,283825,46775,0,99
192,25,7,50,23,50327932,50327932,0,6,1381227,283825,52415,0,110
193,25,7,50,23,56334143,56334143,0,6,1526570,283825,89052,0,122
194,25,7,50,23,60978802,60978802,0,6,1640772,283825,83276,0,134
195,25,7,50,23,66426824,66426824,0,6,1765350,283825,103857,0,147
