,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,27,0,0,0,0,7455,111654,38032,0,0,-1
2,25,3,50,29,0,0,0,0,29891,125253,42913,0,0,-3
3,25,3,50,28,1530611,1530611,0,0,92737,228734,132116,0,0,-4
4,25,3,50,27,1703000,1703000,0,0,118414,37175985,136147,0,0,-6
5,25,2,50,27,591128,591128,0,0,113487,74206060,71035,0,0,-14
6,25,2,50,27,591128,591128,0,0,137312,74206060,32841,0,0,-16
7,25,2,50,27,591128,591128,0,0,160989,111276506,96537,0,0,-20
8,25,2,50,27,591128,591128,0,0,179878,148281915,107278,0,0,-24
9,25,2,50,27,591128,591128,0,0,199194,185291717,151326,0,0,-28
10,25,2,50,27,591128,591128,0,1,221668,185537758,108444,0,0,-31
11,25,2,50,27,591128,591128,0,1,241794,185833455,42798,0,0,-34
12,25,2,50,27,591128,591128,0,6,262393,222974962,100159,0,0,-38
13,25,2,50,28,591128,591128,0,6,291221,223375264,115859,0,0,-41
14,25,2,50,27,591128,591128,0,6,317426,260232718,45368,0,0,-44
15,25,2,50,27,591128,591128,0,6,344316,297436504,167010,0,0,-48
16,25,2,50,27,591128,591128,0,6,370115,334734460,116009,0,0,-52
17,25,2,50,27,591128,591128,0,6,391063,372008142,74621,0,0,-56
18,25,2,50,27,591128,591128,0,6,413791,372387323,147142,0,0,-59
19,25,2,50,27,591128,591128,0,6,434620,409248240,10014,199640,0,-62
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,2,50,18,0,0,0,0,0,9947,0,0,0,0
22,25,5,50,24,0,0,0,0,16941,216135,36296,0,0,-3
23,25,5,50,23,4309056,4309056,0,0,138267,264210,134356,0,0,0
24,25,5,50,22,5912974,5912974,0,0,181131,264210,121744,0,0,2
25,25,4,50,22,7697943,7697943,0,0,215650,278556,87188,23837,0,0
26,25,4,50,22,9217251,9217251,0,0,256507,319719,53128,78048,0,-1
27,25,4,50,22,11736051,11736051,0,0,318803,324901,86832,0,0,0
28,25,4,50,22,13925616,13925616,0,0,380076,398508,82752,0,0,1
29,25,4,50,22,16699057,16699057,0,0,442055,398508,72950,0,0,2
30,25,4,50,22,20132963,20132963,0,0,536120,498556,97642,0,0,2
31,25,4,50,22,23356535,23356535,0,0,629799,498556,47625,115453,0,4
32,25,4,50,22,26172708,26172708,0,1,700713,583552,91542,0,0,4
33,25,4,50,22,28812408,28812408,0,1,771212,583552,48842,23660,0,6
34,25,4,50,22,32086209,32086209,0,1,849069,743939,99778,0,0,6
35,25,4,50,22,35311293,35311293,0,1,941101,837060,97851,0,0,6
36,25,4,50,22,42263756,39163756,3100000,1,1126885,1001805,76112,100118,0,7
37,25,4,50,22,45193614,42093614,3100000,1,1189104,5619943017,117961,0,0,6
38,25,4,50,22,48100583,45000583,3100000,1,1264342,11238894020,98731,0,0,6
39,25,4,50,22,50978355,47878355,3100000,1,1344264,11238907348,61738,0,0,7
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,1,50,19,0,0,0,0,4433,63419,10011,0,0,-1
42,25,4,50,28,10936914,10936914,0,0,225584,263568,162232,0,0,4
43,25,4,50,28,11994118,11994118,0,0,271037,307702,90246,0,0,7
44,25,4,50,28,19705982,19705982,0,0,520424,399223,81870,0,0,11
45,25,4,50,28,21770328,21770328,0,0,580723,399223,73934,0,0,15
46,25,4,50,28,30292836,30292836,0,0,798202,409122,124038,0,0,19
47,25,4,50,28,38804758,38804758,0,0,945683,409122,177144,0,0,24
48,25,4,50,28,40226371,40226371,0,0,996995,409122,86895,0,0,27
49,25,4,50,28,46822424,46822424,0,0,1146079,409122,106468,0,0,30
50,25,4,50,28,54869501,54869501,0,0,1295671,409122,154185,0,0,35
51,25,4,50,28,63331077,63331077,0,0,1474197,409122,128408,0,0,40
52,25,4,50,28,70717138,70717138,0,4,1667364,425814,150436,0,0,42
53,25,4,50,29,78729648,78729648,0,4,1860362,435904,141714,0,0,45
54,25,4,50,28,87282845,87282845,0,4,2034621,450657,139543,0,0,50
55,25,4,50,28,95534319,95534319,0,4,2218057,476368,130400,0,0,54
56,25,4,50,28,103526795,103526795,0,4,2449056,502149,83088,0,0,57
57,25,4,50,28,111671931,111671931,0,4,2630142,524033,118658,0,0,60
58,25,4,50,29,119823061,119823061,0,4,2832340,570740,132275,0,0,63
59,25,4,50,28,128476402,128476402,0,4,3054278,617500,118106,0,0,66
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,2,50,22,0,0,0,0,13128,116256,77206,0,0,-1
62,25,5,50,28,0,0,0,0,39965,344292,87236,0,0,-5
63,25,5,50,28,0,0,0,0,62043,443772,153215,0,0,-11
64,25,5,50,28,0,0,0,0,85054,508682,133954,0,0,-18
65,25,5,50,28,0,0,0,0,114216,596092,161471,0,0,-26
66,25,5,50,28,0,0,0,0,139794,710347,152875,0,0,-33
67,25,5,50,28,0,0,0,0,165648,891159,93255,0,0,-40
68,25,5,50,28,0,0,0,0,191379,1114565,115340,0,0,-47
69,25,5,50,28,0,0,0,0,219200,1322062,147761,0,0,-54
70,25,5,50,28,0,0,0,0,249303,1568533,193380,0,0,-62
71,25,5,50,28,0,0,0,0,275712,1828617,143053,0,0,-70
72,25,5,50,28,0,0,0,2,299527,2055299,161049,0,0,-77
73,25,5,50,28,0,0,0,2,325782,2331414,144120,0,0,-85
74,25,5,50,28,0,0,0,2,350166,2682514,94558,0,0,-93
75,25,5,50,28,0,0,0,2,378963,3005356,178396,0,0,-102
76,25,5,50,28,0,0,0,2,406745,3054858,60511,20759,0,-109
77,25,5,50,28,0,0,0,2,434885,3477718,155686,0,0,-118
78,25,5,50,28,0,0,0,2,458926,3935919,89144,0,0,-126
79,25,5,50,28,0,0,0,2,483218,4380178,98047,26057,0,-135
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,3,50,22,1396760,1396760,0,0,36447,148836,68788,0,0,1
82,25,3,50,22,3417162,3417162,0,0,93161,276000,109322,0,0,1
83,25,3,50,22,4682679,4682679,0,0,148352,282027,53687,0,0,0
