,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,2,50,22,0,0,0,0,0,26056,0,0,0
2,25,5,50,29,3722403,3722403,0,0,168712,432769,260346,0,-2
3,25,5,50,29,7199083,7199083,0,0,301480,473617,252448,0,-7
4,25,5,50,29,11189272,11189272,0,0,487320,545842,248419,0,-12
5,25,5,50,29,16145309,16145309,0,0,659722,579062,249471,0,-15
6,25,5,50,29,16145309,16145309,0,0,707180,684888,192483,0,-21
7,25,5,50,29,20682740,20682740,0,0,894135,849025,268640,0,-26
8,25,5,50,29,24957016,24957016,0,0,1091262,1107485,269272,240870,-32
9,25,5,50,29,29261936,29261936,0,0,1200560,1266033,320983,0,-38
10,25,5,50,29,33610139,33610139,0,0,1381266,1415233,244393,0,-43
11,25,5,50,29,37864453,37864453,0,0,1595691,1566761,216007,0,-48
12,25,5,50,29,42422304,42422304,0,1,1783302,1823568,318033,0,-54
13,25,5,50,29,47090602,47090602,0,1,1919401,2094236,307553,0,-59
14,25,5,50,29,51904868,51904868,0,1,2145194,2353414,261052,0,-64
15,25,5,50,30,56328800,56328800,0,1,2335942,2681600,267998,0,-69
16,25,5,50,30,60412768,56412768,4000000,1,2534994,3054783,221300,243727,-74
17,25,5,50,30,64709819,60709819,4000000,1,2766444,3471329,214744,0,-79
18,25,5,50,30,68765040,64765040,4000000,1,2871108,3884249,298898,0,-85
19,25,5,50,30,73381694,69381694,4000000,1,3003440,3947140,225170,0,-88
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,2,50,25,0,0,0,0,0,32482,0,0,0
22,25,6,50,32,7815321,7815321,0,0,243521,366416,267186,0,-3
23,25,7,50,34,14492417,14492417,0,0,509191,428135,262505,0,-8
24,25,6,50,34,20699310,20699310,0,0,685274,450287,235986,0,-6
25,25,6,50,34,29838017,29038017,800000,0,897044,479085,403171,35739,-10
26,25,6,50,34,37528063,36728063,800000,0,1216552,486845,221353,0,-11
27,25,6,50,34,44353489,43553489,800000,0,1518700,501073,174350,0,-13
28,25,6,50,34,52448053,51648053,800000,0,1894013,526333,271648,0,-15
29,25,6,50,34,61497181,52597181,8900000,0,2287443,563598,259904,390462,-19
30,25,6,50,34,72918755,64018755,8900000,0,2636523,594674,359393,0,-20
31,25,6,50,34,84409122,75509122,8900000,0,2900048,649590,428651,0,-23
32,25,6,50,34,93604988,84704988,8900000,2,3205820,669764,278666,0,-25
33,25,6,50,34,102122416,93222416,8900000,2,3527209,754292,259933,0,-28
34,25,6,50,34,109471449,100571449,8900000,2,3754692,853458,258521,0,-32
35,25,6,50,34,118774091,109874091,8900000,2,4055714,985794,353597,43310,-36
36,25,6,50,34,128716910,119816910,8900000,2,4496587,1060555,257906,0,-40
37,25,6,50,34,138346917,129446917,8900000,2,4808699,1085274,283262,22898,-42
38,25,6,50,34,148634107,139734107,8900000,2,5088629,1187493,439019,0,-46
39,25,6,50,34,158618831,149718831,8900000,2,5344231,1325699,426219,0,-50
40,25,0,50,0,0,0,0,0,0,0,0,0,0
41,25,3,50,29,0,0,0,0,27984,263391,138331,0,-4
42,25,4,50,31,2550256,2550256,0,0,118185,548721,261128,0,-7
43,25,4,50,31,4414335,4414335,0,0,197753,689468,258728,0,-10
44,25,4,50,31,6051814,6051814,0,0,266385,786282,301479,34267,-14
45,25,4,50,31,8867000,8867000,0,0,428713,1025429,231390,0,-19
46,25,4,50,31,11618632,11618632,0,0,557475,1213699,334807,0,-22
47,25,4,50,31,13786176,13786176,0,0,641603,1473704,321429,0,-26
48,25,4,50,31,15666157,15666157,0,0,765129,1813486,275000,0,-30
49,25,4,50,31,18197585,18197585,0,0,917441,2172328,336194,0,-34
50,25,4,50,31,21391799,21391799,0,0,1075197,2567249,224165,0,-38
51,25,4,50,31,24314600,24314600,0,0,1175708,3040393,319424,0,-42
52,25,4,50,31,27673652,27673652,0,1,1372585,3525698,225141,145620,-46
53,25,4,50,31,30031529,30031529,0,1,1459972,4077129,264446,21467,-49
54,25,4,50,31,33169990,33169990,0,1,1615730,4529538,303010,0,-53
55,25,4,50,31,36138229,36138229,0,1,1740872,5038929,271283,0,-57
56,25,4,50,31,39260280,39260280,0,1,1899253,5658441,297439,0,-61
57,25,4,50,31,42677927,42677927,0,1,2020504,6267028,360882,0,-65
58,25,4,50,31,45332556,45332556,0,1,2116866,6941218,289266,0,-69
59,25,4,50,31,48109416,48109416,0,1,2240736,7636047,336955,0,-73
60,25,0,50,0,0,0,0,0,0,0,0,0,0
61,25,2,50,27,0,0,0,0,0,43426,0,0,0
62,25,5,50,29,10505903,10505903,0,0,249046,420191,389222,0,4
63,25,5,50,27,18890234,18890234,0,0,570670,462036,265335,0,5
64,25,5,50,26,26025075,26025075,0,0,745968,494374,280016,0,6
65,25,4,50,26,30329049,30329049,0,0,828180,554062,309244,0,0
66,25,4,50,26,38463977,38463977,0,0,1034717,593706,313185,0,1
67,25,4,50,26,44869749,44869749,0,1,1214016,593706,224872,34306,2
68,25,4,50,27,51731309,51731309,0,1,1476901,646859,244988,0,1
69,25,4,50,27,59563060,59563060,0,1,1712035,799853,304277,0,1
70,25,4,50,27,68653487,68653487,0,1,1983816,865345,307242,0,1
71,25,4,50,26,77697519,77697519,0,1,2191248,924377,333221,0,1
72,25,4,50,26,85344083,85344083,0,4,2406861,999001,281151,0,1
73,25,4,50,26,93583319,93583319,0,4,2661357,1110651,257034,0,1
74,25,4,50,26,102150852,102150852,0,4,3028342,1222199,270242,0,0
75,25,4,50,26,111193402,111193402,0,4,3320996,1363381,283949,0,0
76,25,4,50,26,118198709,118198709,0,4,3556080,1466883,252417,0,0
77,25,4,50,26,124333456,124333456,0,4,3810586,1580681,140599,22391,0
78,25,4,50,26,131377656,131377656,0,4,4100421,1738789,219344,0,-1
79,25,4,50,26,140251121,140251121,0,4,4423386,1823081,245999,0,0
80,25,0,50,0,0,0,0,0,0,0,0,0,0
81,25,2,50,29,6277140,6277140,0,0,129092,309613,210363,0,2
82,25,2,50,29,14537692,14537692,0,0,466847,344259,185074,0,3
83,25,2,50,29,22853391,22853391,0,0,782772,344259,220218,0,4
84,25,2,50,29,30038822,30038822,0,0,1011054,344259,182237,0,5
85,25,2,50,29,39021677,39021677,0,0,1184552,344259,369365,0,6
86,25,2,50,29,46789566,46789566,0,0,1426069,344259,244052,0,7
87,25,2,50,29,57238928,57238928,0,0,1733493,344259,339731,0,8
88,25,2,50,29,67735593,67735593,0,0,1977745,344259,375183,0,9
89,25,2,50,29,75777199,75777199,0,0,2170114,356203,282509,0,9
90,25,2,50,29,84648021,84648021,0,0,2355700,362051,327332,0,9
91,25,2,50,29,94370226,94370226,0,0,2579723,362051,298581,0,10
92,25,2,50,29,101485920,101485920,0,5,2813239,362051,180072,0,11
93,25,2,50,29,109432488,109432488,0,5,3013407,362051,315719,0,12
94,25,2,50,29,118225858,118225858,0,5,3282325,370549,282074,0,12
95,25,2,50,29,128390202,128390202,0,5,3508268,381467,378776,0,12
96,25,2,50,29,136527773,136527773,0,5,3893885,394587,161047,0,12
97,25,2,50,29,145235901,145235901,0,5,4222987,415387,249352,0,12
98,25,2,50,29,152282824,152282824,0,5,4369704,439925,231754,0,12
99,25,2,50,29,161150501,161150501,0,5,4673954,464669,215809,0,12
100,25,0,50,0,0,0,0,0,0,0,0,0,0
101,25,2,50,23,0,0,0,0,5430,85090,18975,0,-1
102,25,5,50,29,6335198,6335198,0,0,285952,402652,241594,0,-3
103,25,5,50,29,12523330,12523330,0,0,434660,441605,354130,0,-7
104,25,5,50,29,18126499,18126499,0,0,646065,463916,245616,0,-11
105,25,5,50,29,23281545,23281545,0,0,889152,479828,201709,0,-14
106,25,5,50,29,28895321,28895321,0,0,1037865,524445,306413,0,-19
107,25,5,50,29,35102316,35102316,0,0,1319895,577403,276172,0,-24
108,25,5,50,29,40368086,40368086,0,0,1475277,664436,303885,0,-29
109,25,5,50,29,45013167,45013167,0,0,1618761,808061,238597,72270,-35
110,25,5,50,29,50335325,50335325,0,0,1865821,961185,178618,0,-40
111,25,5,50,29,56128808,56128808,0,0,2069522,1090434,293630,0,-46
112,25,5,50,29,61844663,61844663,0,3,2342176,1248183,199209,0,-52
113,25,5,50,29,68407360,68407360,0,3,2577731,1409349,290867,0,-58
114,25,5,50,29,72118588,72118588,0,3,2724408,1637938,240565,0,-64
115,25,5,50,29,76461615,76461615,0,3,2902798,1893895,223682,0,-70
116,25,5,50,29,82343094,82343094,0,3,3155144,2127929,256342,0,-76
117,25,5,50,29,87863914,87863914,0,3,3315852,2326610,261773,0,-82
118,25,5,50,29,93648629,93648629,0,3,3450915,2561520,301754,37086,-87
119,25,5,50,29,99529353,99529353,0,3,3711467,2808417,215035,0,-92
120,25,0,50,0,0,0,0,0,0,0,0,0,0
121,25,2,50,26,0,0,0,0,0,26629,0,0,0
122,25,3,50,28,0,0,0,0,41576,475657,182934,0,-3
123,25,3,50,28,227535,227535,0,0,90712,475657,280832,0,-3
124,25,3,50,28,818190,318190,500000,0,159400,528316,264919,24375,-5
125,25,3,50,28,1456600,956600,500000,0,228512,540337,267621,0,-6
126,25,3,50,28,2095011,1595011,500000,0,296407,569476,288628,0,-7
127,25,3,50,28,2095011,1595011,500000,0,348244,600388,353770,0,-9
128,25,3,50,28,3082462,2582462,500000,0,418588,681682,218032,0,-11
129,25,3,50,28,4230983,2630983,1600000,0,511678,820446,230116,44522,-14
130,25,3,50,28,5379504,3779504,1600000,0,606010,851536,294401,0,-15
131,25,3,50,28,5665350,4065350,1600000,0,651926,996669,225435,0,-17
132,25,3,50,28,6478674,4878674,1600000,2,717586,1266596,255930,0,-19
133,25,3,50,29,7166836,5566836,1600000,2,787203,1545791,261230,0,-21
134,25,3,50,29,7868918,6268918,1600000,2,850328,1810238,291268,0,-23
135,25,3,50,29,7868918,6268918,1600000,2,901560,2269428,219678,0,-26
136,25,3,50,29,8686275,7086275,1600000,2,973231,2681182,310212,0,-28
137,25,3,50,29,9478125,7178125,2300000,2,1051375,3047954,341901,28831,-30
138,25,3,50,29,10172765,7872765,2300000,2,1130801,3582606,279195,0,-32
139,25,3,50,29,11243942,8943942,2300000,2,1216317,4147424,213173,0,-34
140,25,0,50,0,0,0,0,0,0,0,0,0,0
141,25,3,50,24,0,0,0,0,9822,124580,48231,0,-3
142,25,5,50,28,6050262,6050262,0,0,287630,451580,239930,0,-3
143,25,5,50,28,10782082,10782082,0,0,492665,486924,282375,0,-3
144,25,5,50,28,14959874,14959874,0,0,697157,674300,226237,205446,-4
145,25,5,50,28,19566217,19566217,0,0,920464,745663,222544,0,-5
146,25,5,50,28,23485327,23485327,0,0,1107247,894414,256336,0,-5
147,25,5,50,28,28624636,28624636,0,0,1325022,1018743,255638,0,-7
148,25,5,50,28,33666764,33666764,0,0,1553572,1182615,283012,0,-8
149,25,5,50,28,38294888,38294888,0,0,1687408,1364212,264561,0,-9
150,25,5,50,28,42601437,42601437,0,0,1870973,1538851,264951,0,-10
151,25,5,50,28,47660143,47660143,0,0,2033204,1775439,301142,39635,-12
152,25,5,50,28,53542147,53542147,0,2,2254309,2027618,291199,0,-14
153,25,5,50,28,59729158,59729158,0,2,2524098,2263133,254282,0,-15
154,25,5,50,28,65799063,65799063,0,2,2816369,2616169,186011,0,-17
155,25,5,50,28,70656897,70656897,0,2,2977178,2899608,246276,0,-17
156,25,5,50,28,75060902,75060902,0,2,3118646,3261584,259115,0,-19
157,25,5,50,28,79926689,79926689,0,2,3248984,3664135,254025,0,-21
158,25,5,50,28,83847288,83847288,0,2,3398918,4041476,210190,0,-23
159,25,5,50,28,87626939,87626939,0,2,3543964,4378912,240950,0,-24
160,25,0,50,0,0,0,0,0,0,0,0,0,0
161,25,2,50,26,0,0,0,0,10367,151415,64418,0,-1
162,25,5,50,22,538530,538530,0,0,76748,342433,318942,0,-3
163,25,5,50,17,1302300,1302300,0,0,136091,487808,179284,0,-5
164,25,5,50,14,1659020,1659020,0,0,172074,527372,142763,0,-5
165,25,5,50,13,1904635,1904635,0,0,207136,551852,95732,0,-8
