,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,3,50,37,0,0,0,0,42371,454874,129113,0,0,-2
2,25,4,50,39,0,0,0,0,115124,638553,377598,0,0,-7
3,25,4,50,39,0,0,0,0,185380,748079,434367,0,0,-12
4,25,4,50,39,0,0,0,0,257689,857352,476313,0,0,-18
5,25,4,50,39,0,0,0,0,334044,907556,237734,0,0,-23
6,25,4,50,39,0,0,0,0,402743,1281834,284560,0,0,-30
7,25,4,50,39,0,0,0,0,474804,1661020,389267,0,0,-38
8,25,4,50,39,0,0,0,0,548024,2239307,292650,0,0,-46
9,25,4,50,39,0,0,0,0,608431,2658119,338045,0,0,-53
10,25,4,50,39,0,0,0,0,675766,3135992,401234,0,0,-61
11,25,4,50,39,0,0,0,0,749527,3788725,432853,0,0,-69
12,25,4,50,39,0,0,0,1,815218,4579292,236856,0,0,-77
13,25,4,50,39,0,0,0,1,889579,5401011,405930,24920,0,-84
14,25,4,50,39,0,0,0,1,960178,6407296,289455,0,0,-92
15,25,4,50,39,0,0,0,1,1017467,7285751,294968,0,0,-100
16,25,4,50,39,0,0,0,1,1080863,8284341,257417,0,0,-108
17,25,4,50,39,0,0,0,1,1139605,9315606,285159,0,0,-116
18,25,4,50,39,0,0,0,1,1203100,10342611,341570,0,0,-124
19,25,4,50,39,0,0,0,1,1269634,11577688,217064,391944,0,-132
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,4,50,35,0,0,0,0,12547,152789,39302,0,0,-2
22,25,7,50,41,0,0,0,0,75444,486769,381178,0,0,-11
23,25,7,50,40,0,0,0,0,143952,622438,423390,0,0,-20
24,25,6,50,40,0,0,0,0,212238,925841,399831,0,0,-28
25,25,6,50,40,0,0,0,0,291151,1282259,415780,0,0,-37
26,25,6,50,40,0,0,0,0,369468,1721230,404413,45388,0,-47
27,25,6,50,40,0,0,0,0,439571,2094163,421766,0,0,-58
28,25,6,50,40,0,0,0,0,516282,2715834,320563,0,0,-69
29,25,6,50,40,0,0,0,0,596763,3318808,472402,0,0,-79
30,25,6,50,40,0,0,0,0,678136,4041222,440135,0,0,-91
31,25,6,50,40,0,0,0,0,756782,4809892,447186,0,0,-103
32,25,6,50,40,0,0,0,1,836754,5459341,400770,0,0,-114
33,25,6,50,41,0,0,0,1,897743,6259884,383691,0,0,-126
34,25,6,50,41,0,0,0,2,960574,7124519,340699,0,0,-138
35,25,6,50,42,0,0,0,2,1024673,8078650,354394,0,0,-150
36,25,6,50,42,0,0,0,2,1091957,9092305,367284,0,0,-162
37,25,6,50,42,0,0,0,2,1165365,10294115,407018,0,0,-174
38,25,6,50,42,0,0,0,2,1248131,11583443,425632,0,0,-186
39,25,6,50,42,0,0,0,2,1327090,12923895,405905,0,0,-198
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,36,0,0,0,0,4813,83591,24987,0,0,-1
42,25,5,50,41,0,0,0,0,61670,365558,358726,0,0,-7
43,25,5,50,40,0,0,0,0,140092,886802,375260,0,0,-15
44,25,4,50,40,0,0,0,0,200687,1293567,306517,0,0,-19
45,25,4,50,40,0,0,0,0,262248,1768816,285622,18940,0,-26
46,25,4,50,40,0,0,0,0,324595,2414965,246576,32159,0,-33
47,25,4,50,40,0,0,0,0,394389,3015212,384795,0,0,-40
48,25,4,50,40,0,0,0,0,463804,3817678,250190,0,0,-47
49,25,4,50,40,0,0,0,0,535742,4599750,338531,0,0,-54
50,25,4,50,40,0,0,0,0,606260,5491378,323795,0,0,-61
51,25,4,50,40,0,0,0,0,683808,6529031,397693,0,0,-68
52,25,4,50,40,0,0,0,2,759908,7591978,374519,0,0,-75
53,25,4,50,40,0,0,0,2,844432,8632077,471614,0,0,-82
54,25,4,50,41,0,0,0,2,910469,9669369,394268,0,0,-88
55,25,4,50,41,0,0,0,2,977265,10941339,235330,0,0,-96
56,25,4,50,42,0,0,0,2,1041386,12007644,432498,0,0,-103
57,25,4,50,42,0,0,0,2,1109127,13307079,353489,0,0,-111
58,25,4,50,42,0,0,0,2,1191862,14570522,596671,0,0,-118
59,25,4,50,42,0,0,0,2,1263197,16087467,300522,0,0,-126
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,3,50,32,0,0,0,0,10136,152136,64877,0,0,-1
62,25,5,50,23,0,0,0,0,64284,344815,377374,0,0,-5
63,25,5,50,16,0,0,0,0,108006,529053,245013,0,0,-13
64,25,5,50,13,0,0,0,0,139015,603385,174329,0,0,-21
65,25,5,50,11,0,0,0,0,165737,690887,152239,0,0,-29
66,25,5,50,10,163895,163895,0,0,192140,772293,105211,0,0,-35
67,25,4,50,10,0,0,0,0,106993,846757,111790,0,0,-35
68,25,4,50,10,0,0,0,1,129180,954859,125983,0,0,-43
69,25,4,50,10,0,0,0,1,148677,1050507,106013,0,0,-50
70,25,4,50,10,0,0,0,1,169801,1175958,119341,0,0,-57
71,25,4,50,11,0,0,0,1,188938,1301425,130923,0,0,-65
72,25,4,50,11,0,0,0,3,207841,1488839,91051,0,0,-73
73,25,4,50,12,0,0,0,5,228064,1676156,87776,0,0,-80
74,25,4,50,13,0,0,0,5,251091,1903037,123772,0,0,-88
75,25,4,50,12,0,0,0,6,277262,2204866,117388,0,0,-96
76,25,4,50,11,0,0,0,8,304309,2523416,104448,0,0,-103
77,25,4,50,12,0,0,0,8,323892,2830832,91659,0,0,-111
78,25,4,50,13,0,0,0,8,354272,3190591,169194,0,0,-119
79,25,4,50,14,0,0,0,8,390882,3595483,237695,0,0,-127
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,3,50,40,0,0,0,0,46552,365321,267340,0,0,-4
82,25,4,50,42,0,0,0,0,113104,490848,400434,0,0,-10
83,25,4,50,42,0,0,0,0,177052,780631,249815,10865,0,-17
84,25,4,50,42,0,0,0,0,240806,1000843,393432,0,0,-25
85,25,4,50,42,0,0,0,0,310376,1364603,347577,0,0,-32
86,25,4,50,42,0,0,0,0,374579,1774725,318930,0,0,-40
87,25,4,50,42,0,0,0,0,442843,2312941,324365,0,0,-48
88,25,4,50,42,0,0,0,0,515771,2941126,392754,0,0,-56
89,25,4,50,42,0,0,0,0,586762,3667021,304457,0,0,-64
90,25,4,50,42,0,0,0,0,662399,4482321,336870,26562,0,-71
91,25,4,50,42,0,0,0,0,740303,5268679,447151,0,0,-79
92,25,4,50,42,0,0,0,1,811538,6150578,351821,0,0,-87
93,25,4,50,42,0,0,0,1,888936,7208033,381446,0,0,-95
94,25,4,50,42,0,0,0,1,963900,8224115,392746,0,0,-103
95,25,4,50,42,0,0,0,1,1030935,9337191,351701,0,0,-111
96,25,4,50,42,0,0,0,1,1105792,10668048,304093,0,0,-119
97,25,4,50,42,0,0,0,1,1188553,12024370,389754,0,0,-127
98,25,4,50,42,0,0,0,1,1259189,13442641,344419,383635,0,-135
99,25,4,50,42,0,0,0,1,1345065,14951335,477791,0,0,-143
100,25,0,50,0,0,0,0,0,0,0,0,0,0,0
101,25,2,50,35,0,0,0,0,36898,349336,220881,0,0,-2
102,25,4,50,39,0,0,0,0,107075,641109,327038,0,0,-8
103,25,4,50,39,0,0,0,0,171155,845374,348503,0,0,-14
104,25,4,50,39,0,0,0,0,230945,1074110,326647,0,0,-21
105,25,4,50,39,0,0,0,0,283499,1259522,294769,0,0,-27
106,25,4,50,39,0,0,0,0,349644,1731975,274556,0,0,-35
107,25,4,50,39,0,0,0,0,411457,2250645,220506,0,0,-43
108,25,4,50,39,0,0,0,0,471927,2831435,238848,0,0,-51
109,25,4,50,39,0,0,0,0,536213,3345888,369197,0,0,-59
110,25,4,50,39,0,0,0,0,600773,4081727,228031,0,0,-67
111,25,4,50,39,0,0,0,0,673812,4911331,246266,0,0,-74
112,25,4,50,39,0,0,0,1,740866,5615695,375270,0,0,-82
113,25,4,50,39,0,0,0,1,823228,6528739,428918,0,0,-90
114,25,4,50,39,0,0,0,1,902599,7636724,353718,0,0,-98
115,25,4,50,39,0,0,0,1,962610,8522900,380884,0,0,-106
116,25,4,50,39,0,0,0,1,1021576,9537428,263786,0,0,-114
117,25,4,50,39,0,0,0,1,1094894,10706710,353484,0,0,-122
118,25,4,50,39,0,0,0,1,1163423,11957557,347553,0,0,-130
119,25,4,50,39,0,0,0,1,1222616,13093717,348871,0,0,-138
120,25,0,50,0,0,0,0,0,0,0,0,0,0,0
121,25,3,50,36,0,0,0,0,32072,334368,170553,0,0,-1
122,25,4,50,38,0,0,0,0,96612,611811,302638,0,0,-6
123,25,4,50,37,0,0,0,0,159803,624330,427085,0,0,-11
124,25,4,50,36,524050,524050,0,0,230493,695580,284056,0,0,-14
125,25,3,50,36,0,0,0,0,275726,739900,349423,0,0,-21
126,25,3,50,36,0,0,0,0,347627,1010716,349598,0,0,-27
127,25,3,50,36,0,0,0,0,417589,1392892,289211,0,0,-33
128,25,3,50,36,0,0,0,0,470705,1661887,223844,0,0,-39
129,25,3,50,36,0,0,0,0,535307,2025044,334771,0,0,-45
130,25,3,50,36,0,0,0,0,601269,2448454,377756,0,0,-51
131,25,3,50,36,0,0,0,0,665306,2861168,385322,0,0,-57
132,25,3,50,36,0,0,0,2,724013,3486744,188282,195894,0,-63
133,25,3,50,36,0,0,0,2,785805,4177956,277204,0,0,-69
134,25,3,50,36,0,0,0,2,845686,4868792,264875,185725,0,-75
135,25,3,50,36,0,0,0,2,899180,5528913,256112,0,0,-81
136,25,3,50,36,0,0,0,2,955130,6218939,247356,0,0,-86
137,25,3,50,36,0,0,0,2,1023521,7119493,327420,0,0,-92
138,25,3,50,36,0,0,0,2,1089202,8020161,407257,0,0,-98
139,25,3,50,36,0,0,0,2,1153741,9010054,339319,0,0,-104
140,25,0,50,0,0,0,0,0,0,0,0,0,0,0
141,25,2,50,39,0,0,0,0,15664,206879,96528,0,0,-1
142,25,3,50,41,0,0,0,0,82255,465481,370111,0,0,-4
143,25,3,50,41,0,0,0,0,151425,683672,439527,0,0,-9
144,25,3,50,41,0,0,0,0,224160,966289,472649,0,0,-13
145,25,3,50,41,0,0,0,0,290350,1308197,337569,0,0,-17
146,25,3,50,41,0,0,0,0,359697,1858380,281069,0,0,-21
147,25,3,50,41,0,0,0,0,427462,2255197,398720,0,0,-26
148,25,3,50,41,0,0,0,0,499701,2797696,460944,0,0,-31
149,25,3,50,41,0,0,0,0,578793,3474978,398420,0,0,-36
150,25,3,50,41,0,0,0,0,656754,4344365,373805,0,0,-42
151,25,3,50,41,0,0,0,0,721513,5041714,457438,0,0,-48
152,25,3,50,41,0,0,0,1,795641,5993808,385969,0,0,-54
153,25,3,50,41,0,0,0,1,865723,6880241,451915,0,0,-60
154,25,3,50,41,0,0,0,1,936707,7911347,330316,0,0,-66
155,25,3,50,41,0,0,0,1,1011443,9033523,429551,0,0,-72
156,25,3,50,41,0,0,0,1,1077157,10328158,266416,0,0,-78
157,25,3,50,41,0,0,0,1,1153446,11590780,396115,0,0,-84
158,25,3,50,41,0,0,0,1,1228636,13088683,205233,577071,0,-89
159,25,3,50,41,0,0,0,1,1298688,14587114,239819,475223,0,-95
160,25,0,50,0,0,0,0,0,0,0,0,0,0,0
161,25,3,50,34,0,0,0,0,41847,403585,130911,0,0,-3
162,25,6,50,43,0,0,0,0,89889,529012,315875,0,0,-6
163,25,6,50,42,0,0,0,0,155013,700516,303411,0,0,-15
164,25,6,50,41,0,0,0,0,223657,861808,315720,0,0,-25
165,25,5,50,41,0,0,0,0,282381,924458,425066,38422,0,-29
166,25,5,50,41,0,0,0,0,360221,1181323,420592,0,0,-38
167,25,5,50,41,0,0,0,0,439734,1497456,351272,0,0,-48
168,25,5,50,41,0,0,0,0,524183,1864158,461206,0,0,-57
169,25,5,50,41,0,0,0,0,607147,2227782,534495,0,0,-66
170,25,5,50,41,0,0,0,0,687684,2911642,339738,0,0,-75
171,25,5,50,41,0,0,0,0,770039,3566345,475039,0,0,-85
172,25,5,50,41,0,0,0,3,835959,4158173,398994,0,0,-95
173,25,5,50,41,0,0,0,3,907528,4962218,322373,0,0,-105
174,25,5,50,41,0,0,0,4,966889,5768810,265172,0,0,-115
175,25,5,50,41,0,0,0,4,1040754,6776706,299254,0,0,-125
176,25,5,50,41,0,0,0,4,1111290,7607742,410160,0,0,-135
177,25,5,50,42,0,0,0,4,1178200,8540394,417901,0,0,-145
178,25,5,50,41,0,0,0,4,1257133,9414893,503736,0,0,-154
179,25,5,50,42,0,0,0,4,1323205,10605611,306599,0,0,-164
180,25,0,50,0,0,0,0,0,0,0,0,0,0,0
181,25,3,50,27,0,0,0,0,30623,267132,176215,0,0,-2
182,25,8,50,30,0,0,0,0,89194,480231,318601,0,0,-11
183,25,8,50,26,0,0,0,0,142127,678415,272033,0,0,-21
184,25,8,50,24,0,0,0,0,188528,791775,262331,0,0,-31
185,25,8,50,23,0,0,0,0,227756,952154,144915,0,0,-41
186,25,7,50,23,0,0,0,0,202863,1150344,165214,0,0,-44
187,25,7,50,23,0,0,0,0,247715,1368132,212009,0,0,-56
188,25,7,50,23,0,0,0,0,295023,1588888,241333,32992,0,-67
189,25,7,50,23,0,0,0,0,346071,1873465,286394,31252,0,-81
190,25,7,50,23,0,0,0,0,386919,2180237,230763,0,0,-93
191,25,7,50,23,0,0,0,0,425853,2517099,172112,40473,0,-105
192,25,7,50,23,0,0,0,0,469791,2902458,228818,0,0,-119
193,25,7,50,23,0,0,0,0,508215,3042957,162881,0,0,-130
194,25,7,50,23,0,0,0,2,557855,3561216,271846,0,0,-143
195,25,7,50,24,0,0,0,2,598586,4076988,228635,0,0,-157
196,25,7,50,25,0,0,0,3,639802,4608331,240260,0,0,-171
197,25,7,50,27,0,0,0,3,677899,5209886,165053,0,0,-185
198,25,7,50,26,0,0,0,3,731918,5790699,297807,0,0,-198
199,25,7,50,27,0,0,0,3,782865,6531147,275452,9830,0,-212
200,25,0,50,0,0,0,0,0,0,0,0,0,0,0
201,25,3,50,41,0,0,0,0,4912,104263,20832,0,0,-2
202,25,5,50,45,0,0,0,0,86476,790401,262427,0,0,-9
203,25,5,50,45,0,0,0,0,169892,1171289,489814,0,0,-17
204,25,5,50,45,0,0,0,0,252946,1640903,444983,0,0,-25
205,25,5,50,45,0,0,0,0,319372,2210595,259868,0,0,-32
206,25,5,50,45,0,0,0,0,398674,2781350,432705,0,0,-41
207,25,5,50,45,0,0,0,0,478788,3429848,427776,0,0,-50
208,25,5,50,45,0,0,0,0,544204,4022834,409322,0,0,-58
209,25,5,50,45,0,0,0,0,614907,4926733,296149,0,0,-68
210,25,5,50,45,0,0,0,0,699268,5927804,359299,0,0,-77
211,25,5,50,45,0,0,0,0,778125,7029377,346657,0,0,-87
212,25,5,50,45,0,0,0,2,857847,8116829,460247,0,0,-97
213,25,5,50,46,0,0,0,2,944561,9201676,593319,0,0,-107
214,25,5,50,46,0,0,0,2,1016965,10507231,317691,0,0,-117
215,25,5,50,47,0,0,0,2,1088394,11737311,454868,0,0,-127
216,25,5,50,47,0,0,0,2,1180907,13184751,508065,0,0,-137
217,25,5,50,47,0,0,0,2,1262315,14853561,285354,0,0,-147
218,25,5,50,47,0,0,0,2,1349214,16576668,329062,0,0,-157
219,25,5,50,47,0,0,0,2,1434742,18086888,553658,0,0,-167
220,25,0,50,0,0,0,0,0,0,0,0,0,0,0
221,25,1,50,34,0,0,0,0,15762,222803,104537,0,0,-1
222,25,5,50,42,1835451,1835451,0,0,142733,551929,295956,0,0,-1
223,25,5,50,42,2298604,2298604,0,0,228754,889578,314150,0,0,-4
224,25,5,50,42,3306533,3306533,0,0,321450,1358581,313895,0,0,-5
225,25,5,50,42,4571368,4571368,0,0,433680,1764312,369246,0,0,-7
226,25,5,50,42,6278266,6278266,0,0,573894,2448439,374095,0,0,-8
227,25,5,50,42,7327591,7327591,0,0,693093,2978910,340582,0,0,-10
228,25,5,50,42,7928959,7928959,0,0,794000,3474658,406495,0,0,-12
229,25,5,50,42,9640247,9640247,0,0,925369,4326636,298579,0,0,-13
230,25,5,50,42,10058174,10058174,0,0,1015437,5011858,544536,0,0,-16
231,25,5,50,42,11111173,11111173,0,0,1136566,5735148,498149,0,0,-18
232,25,5,50,42,11328468,11328468,0,0,1212984,6501179,450328,0,0,-20
233,25,5,50,42,12436888,12436888,0,0,1312414,7478037,297633,0,0,-21
234,25,5,50,42,13709561,13709561,0,0,1404410,8567844,306076,0,0,-23
235,25,5,50,42,14500777,14500777,0,0,1495509,9576851,480982,0,0,-26
236,25,5,50,42,15515451,15515451,0,0,1605609,10732402,482660,0,0,-29
237,25,5,50,42,16628225,16628225,0,0,1718869,11934562,394645,0,0,-31
238,25,5,50,42,17525043,17525043,0,0,1807498,13208630,291057,0,0,-32
239,25,5,50,42,19301939,19301939,0,0,1911261,14650350,349876,0,0,-34
240,25,0,50,0,0,0,0,0,0,0,0,0,0,0
241,25,4,50,39,0,0,0,0,36398,272442,225646,0,0,-4
242,25,9,50,47,0,0,0,0,117733,745826,433964,21924,0,-13
243,25,9,50,47,0,0,0,0,210896,1097778,421949,0,0,-25
244,25,9,50,47,0,0,0,0,285278,1249895,374564,0,0,-38
