,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,1,50,44,0,0,0,0,19902,125329,171285,0,-1
2,25,2,50,46,0,0,0,0,85804,319709,847513,0,-4
3,25,2,50,46,0,0,0,0,158799,669438,995725,0,-8
4,25,2,50,46,0,0,0,0,219260,1005280,349482,0,-12
5,25,2,50,46,0,0,0,0,278216,1409355,514852,0,-16
6,25,2,50,46,0,0,0,0,343554,1901774,464518,0,-20
7,25,2,50,46,0,0,0,0,401938,2386223,616508,0,-24
8,25,2,50,46,0,0,0,0,453292,2908719,577029,0,-28
9,25,2,50,46,0,0,0,0,517578,3489274,983101,0,-32
10,25,2,50,46,0,0,0,0,576374,4132563,872068,0,-36
11,25,2,50,46,0,0,0,0,636774,4810760,981172,0,-40
12,25,2,50,46,0,0,0,0,698795,5596331,472314,0,-44
13,25,2,50,46,0,0,0,0,763834,6424040,663333,0,-48
14,25,2,50,46,0,0,0,0,821596,7303029,357076,0,-52
15,25,2,50,46,0,0,0,0,885599,8252658,918203,0,-56
16,25,2,50,46,0,0,0,0,956736,9373467,827521,0,-60
17,25,2,50,46,0,0,0,0,1019891,10454065,944703,0,-64
18,25,2,50,46,0,0,0,0,1085668,11606451,615501,0,-68
19,25,2,50,46,0,0,0,0,1142733,12875661,238668,0,-72
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,1,50,42,0,0,0,0,45107,222025,510508,0,-1
22,25,2,50,44,1266194,1266194,0,0,108322,313938,228329,0,-1
23,25,2,50,44,1752984,1752984,0,0,168402,464138,638524,0,-1
24,25,2,50,44,2261518,2261518,0,0,232257,602243,481346,0,-1
25,25,2,50,44,2697034,2697034,0,0,288012,800622,547778,0,-1
26,25,2,50,44,3373478,3373478,0,0,351153,1035152,856110,0,-1
27,25,2,50,44,4075347,4075347,0,0,408904,1305252,722657,0,-1
28,25,2,50,44,5167653,5167653,0,0,472167,1683989,497665,0,-1
29,25,2,50,44,5501529,5501529,0,0,528761,2087404,705388,0,-1
30,25,2,50,44,5982558,5982558,0,0,596690,2638814,918983,0,-1
31,25,2,50,44,6735384,6735384,0,0,670745,3167011,798587,0,-1
32,25,2,50,44,7695961,7695961,0,2,739881,3725602,609223,0,-1
33,25,2,50,45,8154196,8154196,0,2,813504,4447143,958436,0,-1
34,25,2,50,46,8154196,8154196,0,2,881286,5236887,770826,0,-2
35,25,2,50,46,9068075,9068075,0,2,962914,6101576,972351,0,-2
36,25,2,50,46,9579780,9579780,0,2,1027444,6903736,613508,0,-2
37,25,2,50,46,10305983,10305983,0,2,1089977,7749512,544000,0,-2
38,25,2,50,46,11032186,11032186,0,2,1156289,8721376,853888,0,-2
39,25,2,50,46,11548524,11548524,0,2,1225740,9722905,710444,0,-2
