,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,4,50,40,0,0,0,0,35092,213518,319406,0,0,-2
2,25,7,50,47,0,0,0,0,107278,364811,618809,0,0,-9
3,25,7,50,47,0,0,0,0,181341,442584,802291,0,0,-22
4,25,7,50,47,0,0,0,0,239608,517516,558910,0,0,-35
5,25,7,50,47,0,0,0,0,306149,709256,574286,0,0,-48
6,25,7,50,47,0,0,0,0,370600,967622,588784,0,0,-61
7,25,7,50,47,0,0,0,0,437381,1250797,505485,0,0,-75
8,25,7,50,47,0,0,0,0,499067,1578629,441741,0,0,-89
9,25,7,50,47,0,0,0,0,567465,1998404,863129,0,0,-103
10,25,7,50,47,0,0,0,0,622313,2437235,642777,0,0,-117
11,25,7,50,47,0,0,0,0,686564,2971053,598735,0,0,-131
12,25,7,50,47,0,0,0,0,755700,3572839,694832,0,0,-145
13,25,7,50,47,0,0,0,0,822097,4252761,501327,0,0,-159
14,25,7,50,47,0,0,0,0,884814,4979063,516634,0,0,-173
15,25,7,50,47,0,0,0,0,946036,5773565,511754,0,0,-187
16,25,7,50,47,0,0,0,0,1006334,6635128,533972,0,0,-201
17,25,7,50,47,0,0,0,0,1071433,7545956,632703,0,0,-215
18,25,7,50,47,0,0,0,0,1135730,8503712,565056,0,0,-229
19,25,7,50,47,0,0,0,0,1193601,9529104,584335,0,0,-243
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,4,50,41,0,0,0,0,31618,180461,174789,0,0,-3
22,25,8,50,52,0,0,0,0,89170,275252,551331,0,0,-13
23,25,8,50,52,0,0,0,0,156701,425291,589205,0,0,-28
24,25,8,50,52,0,0,0,0,235810,664669,702438,0,0,-43
25,25,8,50,52,0,0,0,0,308844,933889,592420,0,0,-59
26,25,8,50,52,0,0,0,0,377567,1285870,710205,0,0,-75
27,25,8,50,52,0,0,0,0,444313,1691333,530932,0,0,-91
28,25,8,50,52,0,0,0,0,519325,2165990,707761,0,0,-107
29,25,8,50,52,0,0,0,0,597340,2753464,594014,0,0,-123
30,25,8,50,52,0,0,0,0,679614,3443211,788782,0,0,-139
31,25,8,50,52,0,0,0,0,753484,4197434,506259,0,0,-155
32,25,8,50,52,0,0,0,0,823815,4978165,718555,0,0,-171
33,25,8,50,52,0,0,0,0,903216,5857466,833199,0,0,-187
34,25,8,50,52,0,0,0,0,972827,6789336,543327,0,0,-203
35,25,8,50,52,0,0,0,0,1037577,7802323,751368,0,0,-219
36,25,8,50,52,0,0,0,0,1104496,8882727,622723,0,0,-235
37,25,8,50,52,0,0,0,0,1187997,10076503,622475,0,0,-251
38,25,8,50,52,0,0,0,0,1261220,11307819,688035,0,0,-267
39,25,8,50,52,0,0,0,0,1340706,12628600,579324,0,0,-283
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,3,50,48,0,0,0,0,6044,79527,41934,0,0,-1
42,25,3,50,48,0,0,0,0,74601,313676,463712,0,0,-5
43,25,3,50,48,0,0,0,0,144033,545891,598861,0,0,-9
44,25,3,50,48,0,0,0,0,204202,785337,612598,0,0,-14
45,25,3,50,48,0,0,0,0,266681,1134788,300852,0,0,-19
46,25,3,50,48,0,0,0,0,338485,1568446,881955,0,0,-25
47,25,3,50,48,0,0,0,0,399879,2003010,460095,0,0,-31
48,25,3,50,48,0,0,0,0,472029,2516199,672786,0,0,-37
49,25,3,50,48,0,0,0,0,543393,3164301,546786,0,0,-43
50,25,3,50,48,0,0,0,0,605423,3824741,667914,0,0,-49
51,25,3,50,48,0,0,0,0,664945,4485548,425519,0,0,-55
52,25,3,50,48,0,0,0,0,731572,5263833,882892,0,0,-61
53,25,3,50,48,0,0,0,0,802815,6111691,818936,0,0,-67
54,25,3,50,48,0,0,0,0,870438,6996684,878787,0,0,-73
55,25,3,50,48,0,0,0,0,938833,7959953,522176,0,0,-79
56,25,3,50,48,0,0,0,0,1003028,8963845,755203,0,0,-85
57,25,3,50,48,0,0,0,0,1068757,10025758,742161,0,0,-91
58,25,3,50,48,0,0,0,0,1135729,11192774,429418,0,0,-97
