,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,3,50,41,0,0,0,0,25296,310044,215983,0,-5
2,25,6,50,45,0,0,0,0,94334,718864,539476,0,-12
3,25,6,50,44,0,0,0,0,165485,1108331,705612,0,-21
4,25,6,50,43,0,0,0,0,231811,1555156,484148,0,-30
5,25,5,50,43,0,0,0,0,288306,2150534,674563,0,-34
6,25,5,50,43,0,0,0,0,349474,2695428,454065,0,-42
7,25,5,50,43,0,0,0,0,415632,3364741,538222,0,-50
8,25,5,50,43,0,0,0,0,485050,4141261,593458,0,-58
9,25,5,50,43,0,0,0,0,550246,4976849,521282,0,-67
10,25,5,50,43,0,0,0,0,620560,5863267,536356,0,-77
11,25,5,50,43,0,0,0,0,693200,6852582,571602,0,-86
12,25,5,50,43,0,0,0,0,766856,7896287,630018,0,-96
13,25,5,50,43,0,0,0,1,832167,8943241,529142,0,-105
14,25,5,50,44,0,0,0,1,906065,10203549,652560,0,-115
15,25,5,50,44,0,0,0,1,982742,11461888,728199,0,-125
16,25,5,50,44,0,0,0,1,1069418,12827708,811500,0,-135
17,25,5,50,44,0,0,0,1,1145026,14331192,498418,0,-145
18,25,5,50,44,0,0,0,1,1222448,15945082,563069,0,-155
19,25,5,50,44,0,0,0,1,1289785,17548290,552150,0,-165
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,2,50,42,0,0,0,0,3472,102469,29270,0,-1
22,25,2,50,42,8971279,8971279,0,0,460391,711209,517833,0,-2
23,25,2,50,42,18465669,18465669,0,0,860935,928214,578674,0,-2
24,25,2,50,42,25144010,25144010,0,0,1177860,1210699,572040,0,-2
25,25,2,50,42,32031463,32031463,0,0,1442079,1480584,556832,0,-2
26,25,2,50,42,39744457,39744457,0,0,1819783,1703261,554999,0,-2
27,25,2,50,42,49914816,49914816,0,0,2206089,2023927,630866,0,-2
28,25,2,50,42,58387700,58387700,0,0,2659792,2327029,386131,0,-2
29,25,2,50,42,69130370,69130370,0,0,3163081,2654187,521950,0,-2
30,25,2,50,42,77642357,77642357,0,0,3599712,2970373,553582,0,-2
31,25,2,50,42,84806764,84806764,0,0,3909445,3350337,570781,0,-2
32,25,2,50,42,91818097,91818097,0,0,4244886,3720121,404996,0,-2
33,25,2,50,42,99198022,99198022,0,0,4594292,4178413,448745,0,-2
34,25,2,50,42,107929347,107929347,0,0,5057301,4608551,506618,0,-2
35,25,2,50,42,116331167,116331167,0,0,5388765,5123599,721519,0,-2
36,25,2,50,42,124109705,124109705,0,0,5718773,5630944,691964,0,-2
37,25,2,50,42,131968283,131968283,0,0,6041235,6212349,741165,0,-2
38,25,2,50,42,139115774,139115774,0,0,6386607,6805906,522087,0,-2
39,25,2,50,42,147197300,147197300,0,0,6743609,7392144,579799,0,-2
40,25,0,50,0,0,0,0,0,0,0,0,0,0
41,25,2,50,45,0,0,0,0,31533,403278,291417,0,-1
42,25,4,50,47,1674765,1674765,0,0,174244,810490,573743,0,0
43,25,4,50,47,2961281,2961281,0,0,301063,1211447,475819,0,1
44,25,4,50,47,4204051,4204051,0,0,446831,1659773,667911,0,2
45,25,4,50,47,5454327,5454327,0,0,575729,2164653,572572,0,3
46,25,4,50,47,7338065,7338065,0,0,733951,2675335,923971,0,4
47,25,4,50,47,8942623,8942623,0,0,878612,3387195,557071,0,5
