,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,43,0,0,0,0,21824,276259,162377,0,0,-2
2,25,2,50,43,0,0,0,0,96679,615654,569962,0,0,-5
3,25,2,50,43,0,0,0,0,179282,1165648,504119,0,0,-8
4,25,2,50,43,0,0,0,0,262119,1636940,768010,0,0,-12
5,25,2,50,43,0,0,0,0,339310,2206981,585947,0,0,-15
6,25,2,50,43,0,0,0,0,418510,2929278,544275,0,0,-18
7,25,2,50,43,0,0,0,0,502969,3671089,689745,0,0,-22
8,25,2,50,43,0,0,0,0,578336,4496748,487119,0,0,-26
9,25,2,50,43,0,0,0,0,653251,5410013,445684,0,0,-30
10,25,2,50,43,0,0,0,0,741074,6436649,769566,0,0,-34
11,25,2,50,43,0,0,0,0,823234,7482527,751784,0,0,-38
12,25,2,50,43,0,0,0,1,896711,8674992,522415,0,0,-42
13,25,2,50,44,0,0,0,1,979977,9987544,540382,0,0,-46
14,25,2,50,44,0,0,0,1,1070615,11404631,762564,0,0,-50
15,25,2,50,44,0,0,0,1,1158054,12983127,534151,0,0,-54
16,25,2,50,44,0,0,0,1,1254926,14601758,640969,0,0,-58
17,25,2,50,43,0,0,0,1,1328224,16173456,492056,0,0,-62
18,25,2,50,44,0,0,0,1,1407623,17827068,585620,0,0,-66
19,25,2,50,44,0,0,0,1,1490278,19617216,549548,0,0,-70
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,1,50,48,0,0,0,0,34511,390309,257479,0,0,-1
22,25,1,50,48,0,0,0,0,135437,962567,760922,0,0,-3
23,25,1,50,48,0,0,0,0,237547,1450807,928453,0,0,-5
24,25,1,50,48,0,0,0,0,334818,1952796,963076,0,0,-7
25,25,1,50,48,0,0,0,0,437163,2739701,846949,0,0,-9
26,25,1,50,48,0,0,0,0,531568,3562478,712760,0,0,-11
27,25,1,50,48,0,0,0,0,623056,4560736,484901,0,0,-13
28,25,1,50,48,0,0,0,0,721324,5711620,622876,0,0,-15
29,25,1,50,48,0,0,0,0,825236,6733109,804456,0,0,-17
30,25,1,50,48,0,0,0,0,930940,7881391,1038891,0,0,-19
31,25,1,50,48,0,0,0,0,1019043,9183592,521191,0,0,-21
32,25,1,50,48,0,0,0,0,1111488,10536234,617511,0,0,-23
33,25,1,50,48,0,0,0,0,1207635,12126731,683946,0,0,-25
34,25,1,50,48,0,0,0,0,1305690,13680946,870489,0,0,-27
35,25,1,50,48,0,0,0,0,1414991,15451444,921442,0,0,-29
36,25,1,50,48,0,0,0,0,1524438,17420202,642248,0,0,-31
37,25,1,50,48,0,0,0,0,1611486,19256215,768215,0,0,-33
38,25,1,50,48,0,0,0,0,1697265,21120153,573063,0,0,-35
39,25,1,50,48,0,0,0,0,1787135,23212831,499694,0,0,-37
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,1,50,46,0,0,0,0,12747,205111,97577,0,0,-1
42,25,1,50,46,0,0,0,0,107743,808811,680122,0,0,-3
43,25,1,50,46,0,0,0,0,201832,1449421,747194,0,0,-5
44,25,1,50,46,0,0,0,0,295065,2142296,586609,0,0,-7
45,25,1,50,46,0,0,0,0,390910,2941561,744002,0,0,-9
46,25,1,50,46,0,0,0,0,485581,3974027,586192,0,0,-11
47,25,1,50,46,0,0,0,0,574428,4966796,572908,0,0,-13
48,25,1,50,46,0,0,0,0,655173,5975984,593542,0,0,-15
49,25,1,50,46,0,0,0,0,735315,7151157,409806,0,0,-17
50,25,1,50,46,0,0,0,0,834904,8492167,555200,0,0,-19
51,25,1,50,46,0,0,0,0,929544,9952204,647074,0,0,-21
52,25,1,50,46,0,0,0,1,1020051,11412289,516233,0,0,-23
53,25,1,50,46,0,0,0,1,1120411,13096263,560978,0,0,-25
54,25,1,50,46,0,0,0,1,1214558,14830783,595837,0,0,-27
55,25,1,50,47,0,0,0,1,1311680,16557623,712999,0,0,-29
56,25,1,50,47,0,0,0,1,1398768,18374661,468635,0,0,-31
57,25,1,50,47,0,0,0,1,1501918,20323481,813022,0,0,-33
58,25,1,50,47,0,0,0,1,1606162,22331910,880444,0,0,-35
59,25,1,50,47,0,0,0,1,1692261,24387196,682845,0,0,-37
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,2,50,44,0,0,0,0,47935,467399,333125,0,0,-1
62,25,5,50,50,0,0,0,0,128051,704809,641131,0,0,-5
63,25,5,50,50,0,0,0,0,229454,918706,877495,0,0,-14
64,25,5,50,50,0,0,0,0,327719,1153332,750611,0,0,-22
65,25,5,50,50,0,0,0,0,428142,1568584,533284,0,0,-32
66,25,5,50,50,0,0,0,0,528694,2080198,688127,0,0,-40
67,25,5,50,50,0,0,0,0,616738,2494449,686788,0,0,-48
68,25,5,50,50,0,0,0,0,709987,3088020,608934,0,0,-56
69,25,5,50,50,0,0,0,0,807091,3777097,634231,0,0,-65
70,25,5,50,50,0,0,0,0,906101,4511388,767976,0,0,-75
71,25,5,50,50,0,0,0,0,1008564,5376831,800287,0,0,-85
72,25,5,50,50,0,0,0,0,1107844,6290541,697334,0,0,-95
73,25,5,50,50,0,0,0,0,1196172,7352619,611354,0,0,-105
74,25,5,50,50,0,0,0,0,1279997,8462173,591258,0,0,-115
75,25,5,50,50,0,0,0,0,1375587,9688103,653104,0,0,-125
76,25,5,50,50,0,0,0,0,1476881,11052554,676274,0,0,-135
77,25,5,50,50,0,0,0,0,1575831,12537782,670115,0,0,-145
78,25,5,50,50,0,0,0,0,1676804,14053019,736491,0,0,-155
79,25,5,50,50,0,0,0,0,1776169,15631895,878103,0,0,-165
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,1,50,43,0,0,0,0,50237,456120,299364,0,0,-1
82,25,2,50,46,0,0,0,0,136982,747874,584988,0,0,-4
83,25,2,50,46,0,0,0,0,223098,1100380,516144,0,0,-7
84,25,2,50,46,0,0,0,0,307609,1404018,719876,0,0,-10
85,25,2,50,46,0,0,0,0,395381,1845424,768306,0,0,-13
86,25,2,50,46,0,0,0,0,496480,2638094,707860,0,0,-17
87,25,2,50,46,0,0,0,0,596384,3513718,611653,0,0,-20
88,25,2,50,46,0,0,0,0,678770,4363014,588840,0,0,-24
89,25,2,50,46,0,0,0,0,777676,5203806,766820,0,0,-28
90,25,2,50,46,0,0,0,0,873301,6170130,765846,0,0,-32
91,25,2,50,46,0,0,0,0,965935,7148533,835574,0,0,-36
92,25,2,50,46,0,0,0,2,1062344,8406647,547491,0,0,-40
93,25,2,50,48,0,0,0,2,1151263,9761569,477916,0,0,-44
94,25,2,50,48,0,0,0,2,1248065,11167648,779771,0,0,-48
95,25,2,50,50,0,0,0,2,1348393,12664383,637710,0,0,-52
96,25,2,50,50,0,0,0,2,1433223,14155518,552083,0,0,-56
97,25,2,50,50,0,0,0,2,1528269,15936325,609313,0,0,-60
98,25,2,50,50,0,0,0,2,1624843,17777890,634213,0,0,-64
99,25,2,50,50,0,0,0,2,1719768,19639082,733588,0,0,-68
100,25,0,50,0,0,0,0,0,0,0,0,0,0,0
101,25,1,50,37,0,0,0,0,24620,232173,194142,0,0,-1
102,25,4,50,44,0,0,0,0,94829,668534,418419,0,0,-4
103,25,4,50,44,0,0,0,0,185227,1234425,613268,0,0,-9
104,25,4,50,44,0,0,0,0,266492,1786558,498939,0,0,-15
105,25,4,50,44,0,0,0,0,342793,2354340,583274,0,0,-20
106,25,4,50,44,0,0,0,0,423911,2883294,741359,0,0,-25
107,25,4,50,44,0,0,0,0,499001,3452464,632241,0,0,-31
108,25,4,50,44,0,0,0,0,583245,4273248,705849,0,0,-37
109,25,4,50,44,0,0,0,0,670657,5136249,768504,0,0,-43
110,25,4,50,44,0,0,0,0,759506,6095754,578497,0,0,-49
111,25,4,50,44,0,0,0,0,847024,7155253,596904,0,0,-57
112,25,4,50,44,0,0,0,0,933672,8184691,734871,0,0,-65
113,25,4,50,44,0,0,0,0,1023205,9414146,619836,0,0,-73
114,25,4,50,44,0,0,0,0,1109836,10717898,647184,0,0,-81
115,25,4,50,44,0,0,0,0,1197056,12212222,554128,0,0,-89
116,25,4,50,44,0,0,0,0,1279201,13715378,631094,0,0,-97
117,25,4,50,44,0,0,0,0,1372112,15235913,743150,0,0,-105
118,25,4,50,44,0,0,0,0,1462935,16851491,751996,0,0,-113
119,25,4,50,44,0,0,0,0,1552925,18597325,593440,0,0,-121
120,25,0,50,0,0,0,0,0,0,0,0,0,0,0
121,25,1,50,42,0,0,0,0,42363,438165,274925,0,0,-2
122,25,3,50,46,0,0,0,0,133189,734475,790000,0,0,-4
123,25,3,50,46,0,0,0,0,227545,1180953,753321,0,0,-8
124,25,3,50,46,0,0,0,0,320356,1717358,569660,0,0,-12
125,25,3,50,46,0,0,0,0,405068,2204230,811343,0,0,-16
126,25,3,50,46,0,0,0,0,485836,2913871,601940,0,0,-21
127,25,3,50,46,0,0,0,0,583598,3714254,722796,0,0,-27
128,25,3,50,46,0,0,0,0,686254,4716000,803076,0,0,-33
129,25,3,50,46,0,0,0,0,776912,5718033,533274,0,0,-38
130,25,3,50,46,0,0,0,0,870720,6859769,691309,0,0,-43
131,25,3,50,46,0,0,0,0,957019,7940022,757692,0,0,-49
132,25,3,50,46,0,0,0,0,1046615,9125713,796837,0,0,-55
133,25,3,50,46,0,0,0,0,1139622,10512652,583335,0,0,-61
134,25,3,50,46,0,0,0,0,1234219,11876196,785455,0,0,-67
135,25,3,50,46,0,0,0,0,1347387,13496704,876814,0,0,-73
136,25,3,50,46,0,0,0,0,1453691,15121004,773999,0,0,-79
137,25,3,50,46,0,0,0,0,1541915,16921535,642653,0,0,-85
138,25,3,50,46,0,0,0,0,1634548,18743315,602339,0,0,-91
139,25,3,50,46,0,0,0,0,1740395,20852612,812613,0,0,-97
140,25,0,50,0,0,0,0,0,0,0,0,0,0,0
141,25,4,50,40,0,0,0,0,8059,124746,62079,0,0,-3
142,25,8,50,49,0,0,0,0,84618,674393,573585,0,0,-11
143,25,8,50,49,2104447,2104447,0,0,275207,1014449,766928,0,0,-18
144,25,8,50,49,4293588,4293588,0,0,459718,1222801,872937,0,0,-26
145,25,8,50,49,5977043,5977043,0,0,628948,1509437,719914,0,0,-33
146,25,8,50,49,7219960,7219960,0,0,791641,1967791,886511,0,0,-41
147,25,8,50,49,8804039,8804039,0,0,962524,2429828,901714,0,0,-49
148,25,8,50,49,10044604,10044604,0,0,1113035,2927051,681012,0,0,-57
149,25,8,50,49,11285169,11285169,0,0,1267615,3639531,657172,0,0,-64
150,25,8,50,49,13652323,13652323,0,0,1468703,4393968,671808,0,0,-71
151,25,8,50,49,14681811,14681811,0,0,1608986,5294941,611396,0,0,-78
152,25,8,50,49,15505278,15505278,0,0,1728441,6169015,602632,0,0,-86
153,25,8,50,49,16578562,16578562,0,0,1861886,7193417,518815,0,0,-94
154,25,8,50,49,17930272,17930272,0,0,2005389,8159016,746937,0,0,-102
155,25,8,50,49,19714690,19714690,0,0,2180216,9250182,862650,0,0,-110
156,25,8,50,49,21633522,21633522,0,0,2351207,10426134,629119,0,0,-118
157,25,8,50,49,23263568,23263568,0,0,2529815,11834978,723382,0,0,-126
158,25,8,50,49,24971225,24971225,0,0,2698149,13262304,733989,0,0,-134
159,25,8,50,49,27176346,27176346,0,0,2904079,14840408,823206,0,0,-142
160,25,0,50,0,0,0,0,0,0,0,0,0,0,0
161,25,3,50,43,0,0,0,0,37878,403318,279777,0,0,-2
162,25,5,50,47,0,0,0,0,122335,794118,471828,0,0,-8
163,25,5,50,47,0,0,0,0,223149,1261498,774724,0,0,-16
164,25,5,50,47,0,0,0,0,321964,1749527,696583,0,0,-24
165,25,5,50,47,0,0,0,0,410960,2286098,574442,0,0,-33
166,25,5,50,47,0,0,0,0,499207,2787955,640089,0,0,-42
167,25,5,50,47,0,0,0,0,591434,3450342,648520,0,0,-51
168,25,5,50,47,0,0,0,0,697004,4253458,810268,0,0,-60
169,25,5,50,47,0,0,0,0,801150,5321730,634107,0,0,-70
170,25,5,50,47,0,0,0,0,891065,6313660,719598,0,0,-79
171,25,5,50,47,0,0,0,0,981721,7404442,627579,0,0,-89
172,25,5,50,47,0,0,0,1,1073485,8539498,686910,0,0,-99
173,25,5,50,47,0,0,0,1,1176206,9911511,675120,0,0,-109
174,25,5,50,48,0,0,0,1,1267620,11357001,597220,0,0,-119
175,25,5,50,48,0,0,0,1,1359347,12865137,530883,0,0,-129
176,25,5,50,48,0,0,0,1,1453474,14318579,715409,0,0,-139
177,25,5,50,48,0,0,0,1,1545718,15929275,695003,0,0,-149
178,25,5,50,48,0,0,0,1,1634294,17638281,644951,0,0,-159
179,25,5,50,48,0,0,0,1,1731769,19446270,699026,0,0,-169
180,25,0,50,0,0,0,0,0,0,0,0,0,0,0
181,25,4,50,41,0,0,0,0,50888,493779,461037,0,0,-1
182,25,6,50,46,0,0,0,0,121874,731118,426870,0,0,-6
183,25,6,50,46,0,0,0,0,199842,787379,606045,0,0,-15
184,25,6,50,46,0,0,0,0,294488,1087241,606861,0,0,-25
185,25,6,50,46,0,0,0,0,384981,1357007,629048,0,0,-36
186,25,6,50,46,0,0,0,0,476013,1810805,520205,0,0,-47
187,25,6,50,46,0,0,0,0,559221,2162619,602762,0,0,-58
188,25,6,50,46,0,0,0,0,653764,2764370,670243,0,0,-70
189,25,6,50,46,0,0,0,0,743620,3361216,606132,0,0,-82
190,25,6,50,46,0,0,0,0,831844,4037023,632044,0,0,-94
191,25,6,50,46,0,0,0,0,914995,4775198,539747,0,0,-106
192,25,6,50,46,0,0,0,3,1003360,5618851,645325,0,0,-118
193,25,6,50,46,0,0,0,3,1087538,6599753,597596,0,0,-129
194,25,6,50,47,0,0,0,3,1192657,7752701,809745,0,0,-141
195,25,6,50,49,0,0,0,3,1279496,8821398,695327,0,0,-153
196,25,6,50,48,0,0,0,3,1370733,10112918,594672,0,0,-165
197,25,6,50,49,0,0,0,3,1472817,11545962,624537,0,0,-177
198,25,6,50,49,0,0,0,3,1561087,12921598,681992,0,0,-189
199,25,6,50,49,0,0,0,3,1653172,14437061,637789,0,0,-201
200,25,0,50,0,0,0,0,0,0,0,0,0,0,0
201,25,4,50,42,0,0,0,0,18608,236384,122686,0,0,-2
202,25,5,50,45,0,0,0,0,111813,895661,694710,0,0,-9
