,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,2,50,23,0,0,0,0,3789,86467,-223,46463,-2
2,25,3,50,26,9310730,3310730,6000000,0,409406,463572,124196,142632,2
3,25,3,50,26,18315797,3515797,14800000,0,826345,567299,68541,255145,7
4,25,3,50,26,22789228,3589228,19200000,0,1051448,662220,2079,274095,11
5,25,3,50,26,30990325,3690325,27300000,0,1369091,662220,130097,130696,17
6,25,3,50,26,39565353,3865353,35700000,0,1687481,662220,146748,160374,23
7,25,3,50,26,49333987,10733987,38600000,0,2075164,662220,161737,67375,29
8,25,3,50,26,53507398,10907398,42600000,0,2259910,662220,31165,210847,34
9,25,3,50,26,60475834,10975834,49500000,0,2582726,662220,53324,198872,39
10,25,3,50,26,61046668,11046668,50000000,0,2640736,662220,-4091,273934,43
11,25,3,50,26,68320972,14420972,53900000,0,2938344,662220,88272,97646,49
12,25,3,50,26,73127874,15527874,57600000,1,3175980,662220,17368,209040,54
13,25,3,50,26,82972434,18772434,64200000,1,3530019,662220,158806,101475,60
14,25,3,50,26,88724430,20324430,68400000,1,3765312,662220,73452,239495,65
15,25,3,50,26,97793167,26093167,71700000,1,4168353,662220,127499,74269,71
16,25,3,50,26,106007736,31607736,74400000,1,4515715,662220,127165,51363,77
17,25,3,50,26,112335521,31835521,80500000,1,4844089,662220,2576,233982,83
18,25,3,50,26,120883256,31983256,88900000,1,5249016,662220,86612,204147,89
19,25,3,50,26,128591440,32091440,96500000,1,5638626,662220,61102,206135,95
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,1,50,20,0,0,0,0,0,16411,0,0,0
22,25,4,50,26,6795540,5695540,1100000,0,347788,464840,30050,32865,4
23,25,4,50,26,15403385,5803385,9600000,0,754121,569847,55724,337411,9
24,25,4,50,26,23529933,6629933,16900000,0,1075619,569847,109960,208953,16
25,25,4,50,26,33675695,6775695,26900000,0,1548660,569847,91884,342619,23
26,25,4,50,26,40448335,13048335,27400000,0,1885372,569847,16708,36223,30
27,25,4,50,26,48159926,14159926,34000000,1,2178259,569847,142047,163469,37
28,25,4,50,24,57005290,16205290,40800000,2,2516844,569847,177219,212004,45
29,25,4,50,24,65572107,17272107,48300000,2,2873566,598931,107934,121763,53
30,25,4,50,24,72938362,17438362,55500000,2,3146152,598931,144925,150775,60
31,25,4,50,24,80906909,17606909,63300000,2,3554715,598931,26061,262814,68
32,25,4,50,24,89228173,18228173,71000000,7,3950637,598931,67561,190380,75
33,25,4,50,24,98340333,18440333,79900000,8,4392915,601058,93146,302292,83
34,25,4,50,24,107057494,26557494,80500000,8,4667582,627480,213390,24055,90
35,25,4,50,24,109998109,26698109,83300000,8,4820781,640810,32049,301394,97
36,25,4,50,23,115541937,26741937,88800000,8,5110826,640810,31793,154839,103
37,25,4,50,23,125081556,26881556,98200000,8,5518972,640810,136123,220767,111
38,25,4,50,23,133383219,26983219,106400000,8,5817190,640810,191134,196846,118
39,25,4,50,23,141964006,27064006,114900000,8,6234361,640810,49101,254670,125
40,25,0,50,0,0,0,0,0,0,0,0,0,0
41,25,2,50,20,4203395,3395,4200000,0,220759,247120,-1767,93649,1
42,25,5,50,23,11522552,22552,11500000,0,506215,511447,132302,109078,5
43,25,5,50,21,18233283,133283,18100000,0,811872,625876,95881,228398,5
44,25,5,50,20,23289699,189699,23100000,0,1051581,494952254,40039,299906,4
45,25,5,50,19,28970415,5170415,23800000,0,1264423,989277110,133524,39251,6
46,25,4,50,19,25985862,6185862,19800000,0,1146254,1483608476,83919,114347,-2
47,25,4,50,18,25985862,6185862,19800000,2,1169345,1977931356,-12199,215168,-3
48,25,4,50,19,25985862,6185862,19800000,4,1193491,2472297643,-13270,210315,-5
49,25,4,50,19,31241811,6241811,25000000,9,1448288,2966650071,76153,134178,-6
50,25,4,50,19,35908980,10408980,25500000,9,1604014,3460998491,153353,45437,-5
51,25,4,50,18,42400897,10600897,31800000,9,1932897,3955361804,46851,190565,-4
