,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0
1,25,1,50,36,0,0,0,0,37517,244837,398018,0,-2
2,25,5,50,44,0,0,0,0,86961,345678,491946,0,-5
3,25,5,50,44,577478,577478,0,0,152288,534694,655870,0,-10
4,25,5,50,44,1056289,1056289,0,0,219916,678510,718322,0,-15
5,25,5,50,44,1969863,1969863,0,0,300899,875731,636081,0,-18
6,25,5,50,44,3038635,3038635,0,0,380902,1207632,576155,0,-23
7,25,5,50,44,4021554,4021554,0,0,457940,1589092,578821,0,-28
8,25,5,50,44,5241155,5241155,0,0,535504,1972595,714442,0,-33
9,25,5,50,44,6005740,6005740,0,0,615308,2374548,657539,0,-38
10,25,5,50,44,6379159,6379159,0,0,680740,2978850,550415,0,-43
11,25,5,50,44,6752578,6752578,0,0,738039,3511055,547420,0,-49
12,25,5,50,44,7327895,7327895,0,0,797988,4152229,468483,0,-54
13,25,5,50,44,7711717,7711717,0,0,854226,4754395,632978,0,-59
14,25,5,50,44,8066412,8066412,0,0,913602,5446891,543621,0,-65
15,25,5,50,44,8546855,8546855,0,0,972053,6269491,519845,0,-71
16,25,5,50,44,8896133,8896133,0,0,1031243,7135947,587501,0,-77
17,25,5,50,44,9726934,9726934,0,0,1102272,8011128,630838,0,-83
18,25,5,50,44,10557736,10557736,0,0,1180541,9025520,689573,0,-89
19,25,5,50,44,11273008,11273008,0,0,1263755,10036478,714254,0,-95
20,25,0,50,0,0,0,0,0,0,0,0,0,0
21,25,3,50,42,0,0,0,0,15391,170673,151277,0,-2
22,25,6,50,48,0,0,0,0,64110,376468,425259,0,-9
23,25,6,50,48,0,0,0,0,121210,557012,618023,0,-18
24,25,6,50,48,0,0,0,0,182227,692248,657390,0,-27
25,25,6,50,48,0,0,0,0,243801,972935,622771,0,-37
26,25,6,50,48,0,0,0,0,310317,1210860,799579,0,-48
27,25,6,50,48,0,0,0,0,375588,1505989,779776,0,-58
28,25,6,50,48,0,0,0,0,438328,1925251,715309,0,-69
29,25,6,50,48,0,0,0,0,517150,2480087,756307,0,-81
30,25,6,50,48,0,0,0,0,588909,3058284,825048,0,-93
31,25,6,50,48,0,0,0,0,646234,3650462,630332,0,-105
32,25,6,50,48,0,0,0,0,700963,4255090,665702,0,-116
33,25,6,50,48,0,0,0,0,765241,4956872,722678,0,-127
34,25,6,50,48,0,0,0,0,823329,5668144,686638,0,-139
35,25,6,50,48,0,0,0,0,882454,6512590,614709,0,-151
36,25,6,50,48,0,0,0,0,941558,7393697,573848,0,-163
37,25,6,50,48,0,0,0,0,995208,8313212,540314,0,-175
38,25,6,50,48,0,0,0,0,1056712,9270077,635455,0,-187
39,25,6,50,48,0,0,0,0,1114155,10300456,572075,0,-199
40,25,0,50,0,0,0,0,0,0,0,0,0,0
41,25,2,50,39,0,0,0,0,17291,139526,173222,0,-3
42,25,3,50,41,0,0,0,0,71963,374340,495583,0,-9
43,25,3,50,41,0,0,0,0,124890,690184,472990,0,-15
44,25,3,50,41,0,0,0,0,176752,946957,598011,0,-21
45,25,3,50,41,0,0,0,0,230686,1302339,527847,0,-27
46,25,3,50,41,0,0,0,0,292389,1718324,669227,0,-33
47,25,3,50,41,0,0,0,0,350038,2099140,667455,0,-39
48,25,3,50,41,0,0,0,0,392152,2523337,494991,0,-45
49,25,3,50,41,0,0,0,0,444530,3027590,585096,0,-51
50,25,3,50,41,0,0,0,0,505096,3633235,714342,0,-57
51,25,3,50,41,0,0,0,0,555829,4309615,529312,0,-63
52,25,3,50,41,0,0,0,2,615264,5050508,640345,0,-69
53,25,3,50,42,0,0,0,2,672717,5807762,712607,0,-75
54,25,3,50,42,0,0,0,2,726096,6665382,575937,0,-81
55,25,3,50,44,0,0,0,2,775004,7522728,488130,0,-87
56,25,3,50,44,0,0,0,2,823892,8411297,518382,0,-93
57,25,3,50,44,0,0,0,2,888140,9433381,702942,0,-99
58,25,3,50,44,0,0,0,2,949179,10574978,546506,0,-105
59,25,3,50,44,0,0,0,2,1013000,11769314,654346,0,-111
60,25,0,50,0,0,0,0,0,0,0,0,0,0
61,25,2,50,37,0,0,0,0,16328,133280,209921,0,-1
62,25,7,50,48,0,0,0,0,75229,313248,702831,0,-9
63,25,7,50,48,0,0,0,0,131157,446407,594553,0,-19
64,25,7,50,48,0,0,0,0,195375,745047,590968,0,-33
65,25,7,50,48,0,0,0,0,257982,1040673,727508,0,-46
66,25,7,50,48,0,0,0,0,323409,1534711,570849,0,-60
67,25,7,50,48,0,0,0,0,384219,2061145,549729,0,-73
68,25,7,50,48,0,0,0,0,452022,2575199,772568,0,-87
69,25,7,50,48,0,0,0,0,515242,3140222,699309,0,-101
70,25,7,50,48,0,0,0,0,574810,3672551,740161,0,-115
71,25,7,50,48,0,0,0,0,632041,4329509,572937,0,-129
72,25,7,50,48,0,0,0,1,695067,5064503,725834,0,-143
73,25,7,50,48,0,0,0,1,766784,5961696,779065,0,-157
74,25,7,50,48,0,0,0,1,837641,6966888,654945,0,-171
75,25,7,50,49,0,0,0,1,907005,8036111,726773,0,-185
76,25,7,50,49,0,0,0,1,974363,9182964,569968,0,-199
77,25,7,50,49,0,0,0,1,1035207,10317968,551340,0,-213
78,25,7,50,49,0,0,0,1,1084008,11395095,581222,0,-227
79,25,7,50,49,0,0,0,1,1150455,12574071,749671,0,-241
80,25,0,50,0,0,0,0,0,0,0,0,0,0
81,25,1,50,36,0,0,0,0,0,44875,0,0,0
82,25,6,50,46,0,0,0,0,63655,376239,738823,0,-6
83,25,6,50,45,0,0,0,0,133937,398132,812679,0,-14
84,25,5,50,45,0,0,0,0,182704,566902,546047,0,-17
85,25,5,50,45,0,0,0,0,241035,666967,645098,0,-26
86,25,5,50,45,0,0,0,0,301815,857597,721294,0,-36
87,25,5,50,45,0,0,0,0,354553,1157103,543254,0,-46
88,25,5,50,45,0,0,0,0,419083,1598736,546874,0,-56
89,25,5,50,45,0,0,0,0,489839,2124143,694285,0,-66
90,25,5,50,45,0,0,0,0,551614,2677555,584116,0,-76
91,25,5,50,45,0,0,0,0,612823,3131725,736409,0,-86
92,25,5,50,45,0,0,0,0,673488,3648358,726981,0,-96
93,25,5,50,45,0,0,0,0,732784,4239908,611824,0,-106
94,25,5,50,45,0,0,0,1,793206,4889109,618352,0,-116
95,25,5,50,45,0,0,0,1,851874,5728397,531030,0,-126
96,25,5,50,46,0,0,0,1,915637,6552793,717056,0,-136
97,25,5,50,46,0,0,0,1,975739,7380908,624533,0,-146
98,25,5,50,45,0,0,0,1,1039544,8380623,689785,0,-156
99,25,5,50,46,0,0,0,1,1101589,9486440,519528,0,-166
