,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,22,0,0,0,0,0,15220,0,0,0,0
2,25,7,50,28,9736847,9736847,0,0,231920,305695,0,327730,0,9
3,25,7,50,25,16658083,16658083,0,0,401999,340809,0,310349,0,19
4,25,7,50,24,25509308,25509308,0,0,612825,340809,0,295228,0,33
5,25,7,50,23,33679159,33679159,0,0,777420,340809,0,256682,0,46
6,25,6,50,23,35594610,35594610,0,0,771719,340873,0,213164,0,50
7,25,6,50,23,43682109,43682109,0,0,938743,342519,0,267672,0,60
8,25,6,50,23,53139078,53139078,0,3,1158445,345567,0,303978,0,71
9,25,6,50,24,62918276,62918276,0,3,1367662,409197,0,290071,0,83
10,25,6,50,25,72492989,72492989,0,3,1571110,475842,0,283118,0,94
11,25,6,50,24,81342569,81342569,0,3,1762463,514655,0,285873,0,105
12,25,6,50,25,87786760,87786760,0,4,1920690,563071,0,261650,0,116
13,25,6,50,25,96785591,96785591,0,4,2104837,575524,0,256316,0,128
14,25,6,50,24,106182236,106182236,0,5,2304561,579793,0,278455,0,140
15,25,6,50,24,112217155,112217155,0,5,2437713,612842,0,262020,0,150
16,25,6,50,25,120224668,120224668,0,5,2599745,643382,0,223315,0,162
17,25,6,50,25,128695268,128695268,0,5,2796268,651624,0,277378,0,174
18,25,6,50,24,137429946,137429946,0,5,2973113,706904,0,243409,0,186
19,25,6,50,23,145899901,145899901,0,5,3130367,730607,0,216966,0,198
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,3,50,25,685295,685295,0,0,10012,36997,0,13666,0,2
22,25,5,50,29,10263244,10263244,0,0,192823,227375,0,255279,0,11
23,25,5,50,29,20888618,20888618,0,0,432316,287052,0,342691,0,19
24,25,5,50,29,29976611,29476611,500000,0,637350,308275,0,283472,0,28
25,25,5,50,29,40319372,39819372,500000,0,820944,308275,0,257497,0,38
26,25,5,50,29,48183192,47683192,500000,0,1023217,308275,0,365802,0,46
27,25,5,50,29,56904094,56404094,500000,0,1228801,308275,0,293738,0,56
28,25,5,50,29,65663361,65163361,500000,0,1432440,308275,0,290329,0,66
29,25,5,50,29,75727051,75227051,500000,0,1692934,308275,0,389909,0,75
30,25,5,50,29,86283334,85783334,500000,0,1933931,308275,0,342704,0,85
31,25,5,50,29,96103460,95603460,500000,0,2143983,308275,0,296270,0,95
32,25,5,50,29,106336395,105836395,500000,5,2321814,308275,0,250198,0,105
33,25,5,50,30,115314896,114814896,500000,5,2491694,309166,0,288885,0,114
34,25,5,50,29,125225112,124725112,500000,5,2676846,309166,0,260359,0,124
35,25,5,50,29,135752661,135252661,500000,5,2924453,309166,0,353599,0,134
36,25,5,50,29,145644381,145144381,500000,5,3109237,309166,0,265178,0,144
37,25,5,50,29,153796292,153296292,500000,5,3303578,309166,0,303577,0,153
38,25,5,50,29,163189057,162689057,500000,5,3532693,309166,0,322624,0,163
39,25,5,50,29,172284921,171784921,500000,5,3661734,309166,0,184291,0,173
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,3,50,25,2931036,2931036,0,0,84549,98383,0,125008,0,2
