,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,3,50,44,3253439,3253439,0,0,30730,85507,0,89413,0,4
2,25,4,50,46,17094407,17094407,0,0,186538,202141,0,467867,0,10
3,25,4,50,46,31411399,31411399,0,0,423507,284800,0,705526,0,16
4,25,4,50,46,45176812,45176812,0,0,664330,284800,0,721263,0,24
5,25,4,50,46,57464052,57464052,0,0,846447,284800,0,546842,0,32
6,25,4,50,46,73015468,73015468,0,0,1011210,284800,0,490973,0,40
7,25,4,50,46,90046208,90046208,0,0,1244288,284800,0,694239,0,48
8,25,4,50,46,106593992,106593992,0,0,1442355,284800,0,595517,0,56
9,25,4,50,46,123694409,123694409,0,0,1700418,284800,0,776527,0,64
10,25,4,50,46,139503090,139503090,0,0,1860875,284800,0,483663,0,72
11,25,4,50,46,153790550,153790550,0,0,2050463,284800,0,574932,0,80
12,25,4,50,46,170510426,170510426,0,1,2209633,284800,0,471992,0,88
13,25,4,50,46,186261772,186261772,0,1,2409202,284800,0,598782,0,96
14,25,4,50,46,201420241,201420241,0,1,2637776,285979,0,686531,0,104
15,25,4,50,46,218991196,218991196,0,1,2889936,302734,0,758122,0,112
16,25,4,50,47,235656799,235656799,0,1,3072457,307723,0,544600,0,120
17,25,4,50,47,249132566,249132566,0,1,3214061,307723,0,427850,0,128
18,25,4,50,47,265282133,265282133,0,1,3397361,307723,0,552811,0,136
19,25,4,50,47,281904700,281904700,0,1,3607279,307723,0,631857,0,144
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,2,50,42,8932055,8932055,0,0,99478,199852,0,301767,0,4
22,25,4,50,44,22477819,22477819,0,0,309320,266305,0,629826,0,10
23,25,4,50,43,35278220,35278220,0,0,440588,266305,0,391335,0,18
24,25,3,50,43,46864396,46864396,0,0,551258,266305,0,373864,0,20
25,25,3,50,43,61328238,61328238,0,0,756230,266305,0,624574,0,26
26,25,3,50,43,75180796,75180796,0,0,978789,266305,0,666512,0,32
27,25,3,50,43,90429462,90429462,0,0,1143319,266305,0,499390,0,38
28,25,3,50,43,105563245,105563245,0,1,1356924,266305,0,642686,0,44
29,25,3,50,44,120517149,120517149,0,1,1573168,291599,0,663873,0,50
30,25,3,50,44,135405302,135405302,0,1,1741840,291599,0,503893,0,56
31,25,3,50,44,149006933,149006933,0,1,1892215,291599,0,452373,0,62
32,25,3,50,44,165872163,165872163,0,2,2204606,291599,0,950413,0,68
33,25,3,50,45,180235924,180235924,0,2,2380879,305135,0,528711,0,74
34,25,3,50,44,194830991,194830991,0,2,2512649,314167,0,400936,0,80
35,25,3,50,45,209173575,209173575,0,2,2706618,316806,0,592098,0,86
36,25,4,50,45,227496724,227496724,0,2,2931334,327335,0,637079,0,98
37,25,4,50,44,243681297,243681297,0,2,3204371,349589,0,825996,0,106
38,25,5,50,45,259047866,259047866,0,2,3396517,362011,0,566872,0,116
39,25,4,50,45,271098517,271098517,0,2,3482489,362011,0,436590,0,114
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,46,5653332,5653332,0,0,106020,184762,0,322076,0,2
