,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,45,9241241,9241241,0,0,118968,194533,0,173040,0,4
2,25,3,50,47,24766858,24766858,0,0,316221,227558,0,291878,0,9
3,25,3,50,47,42472270,42472270,0,0,566609,227558,0,367900,0,15
4,25,3,50,47,59974886,59974886,0,0,774477,227558,0,304902,0,21
5,25,3,50,47,78272842,78272842,0,0,946237,227558,0,253524,0,27
6,25,3,50,47,94716526,94716526,0,0,1111104,227558,0,235525,0,33
7,25,3,50,47,111058913,111058913,0,0,1268349,227558,0,225883,0,39
8,25,3,50,47,125509393,125509393,0,0,1450229,227558,0,261915,0,45
9,25,3,50,47,142570711,142570711,0,0,1696328,227558,0,361561,0,51
10,25,3,50,47,158678527,158678527,0,0,1885526,227558,0,273892,0,57
11,25,3,50,47,173576981,173576981,0,0,2093649,227558,0,296827,0,63
12,25,3,50,47,188665150,188665150,0,0,2262147,227558,0,244710,0,69
13,25,3,50,47,206720229,206720229,0,0,2458904,227558,0,284204,0,75
14,25,3,50,47,224798142,224798142,0,0,2705666,227558,0,357741,0,81
15,25,3,50,47,241248788,241248788,0,0,2883811,227558,0,258421,0,87
16,25,3,50,47,255014911,255014911,0,0,3082742,227558,0,288837,0,93
17,25,3,50,47,269800750,269800750,0,0,3243806,227558,0,232033,0,99
18,25,3,50,47,284511542,284511542,0,0,3422529,227558,0,261218,0,105
19,25,3,50,47,300567754,300567754,0,0,3606259,227558,0,272149,0,111
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,5,50,42,9430079,9430079,0,0,125845,194365,0,182006,0,4
22,25,8,50,46,25644441,25644441,0,0,346487,300570,0,311654,0,20
23,25,8,50,45,41118992,41118992,0,0,532613,300570,0,260641,0,36
24,25,7,50,45,57075512,57075512,0,0,746260,300570,0,334209,0,46
25,25,7,50,45,73055476,73055476,0,0,957676,300570,0,298946,0,60
26,25,7,50,45,87852132,87852132,0,0,1139400,300570,0,257136,0,74
27,25,7,50,45,103588459,103588459,0,0,1342035,300570,0,287330,0,88
28,25,7,50,45,118802734,118802734,0,0,1536131,300570,0,275978,0,102
29,25,7,50,45,133328352,133328352,0,0,1700438,300570,0,232590,0,116
30,25,7,50,45,146933043,146933043,0,1,1867595,300570,0,236896,0,130
31,25,7,50,46,161339950,161339950,0,1,2048326,330059,0,252182,0,144
32,25,7,50,46,176143050,176143050,0,1,2211191,354004,0,229666,0,158
33,25,7,50,46,194754399,194754399,0,1,2445826,379893,0,334713,0,172
34,25,7,50,46,211708762,211708762,0,1,2680917,389728,0,334633,0,186
35,25,7,50,46,226462172,226462172,0,1,2850375,389728,0,240259,0,200
36,25,7,50,46,241430263,241430263,0,1,3037680,389728,0,263140,0,214
37,25,7,50,46,258926708,258926708,0,1,3253434,389728,0,303907,0,228
38,25,7,50,46,273085651,273085651,0,2,3429575,389728,0,249148,0,242
39,25,7,50,46,290343626,290343626,0,2,3618146,398326,0,266446,0,256
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,42,10426886,10426886,0,0,130055,199303,0,187664,0,3
42,25,4,50,46,26080730,26080730,0,0,315374,218840,0,269684,0,8
43,25,4,50,46,38740030,38740030,0,0,470348,226022,0,219669,0,16
44,25,4,50,46,50786635,50786635,0,0,613325,226022,0,209003,0,24
45,25,4,50,46,64464170,64464170,0,0,766017,226022,0,221507,0,32
46,25,4,50,46,83737521,83737521,0,0,986692,226022,0,320032,0,40
47,25,4,50,46,100705761,100705761,0,0,1208289,226022,0,321936,0,48
48,25,4,50,46,113617740,113617740,0,0,1365436,226022,0,229930,0,56
49,25,4,50,46,129849937,129849937,0,0,1534237,226022,0,245240,0,64
50,25,4,50,46,144954186,144954186,0,0,1753264,226022,0,318649,0,72
51,25,4,50,46,159029779,159029779,0,0,1912578,226022,0,229272,0,80
52,25,4,50,46,174826893,174826893,0,0,2124127,227360,0,304085,0,87
53,25,4,50,46,188692176,188692176,0,0,2278562,227360,0,222853,0,95
54,25,4,50,46,202379562,202379562,0,0,2471758,227360,0,278385,0,103
55,25,4,50,46,217574950,217574950,0,0,2672850,227360,0,291590,0,111
56,25,4,50,46,234295973,234295973,0,0,2914495,227360,0,347505,0,119
57,25,4,50,46,248308324,248308324,0,0,3084784,227360,0,247796,0,127
58,25,4,50,46,261874798,261874798,0,0,3250964,227360,0,239998,0,135
59,25,4,50,46,276789292,276789292,0,0,3443686,227360,0,276052,0,143
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,3,50,42,3327555,3327555,0,0,41970,89498,0,59692,0,2
62,25,5,50,46,18545799,18545799,0,0,203103,192557,0,233872,0,8
63,25,5,50,46,35147714,35147714,0,0,420297,200190,0,309564,0,16
64,25,5,50,46,50380304,50380304,0,0,617001,200190,0,286501,0,26
65,25,5,50,46,65589716,65589716,0,0,800655,203733,0,263390,0,35
66,25,5,50,46,81011062,81011062,0,0,996033,204060,0,282818,0,44
67,25,5,50,46,98025934,98025934,0,0,1192750,204060,0,284060,0,54
68,25,5,50,46,115451345,115451345,0,0,1392712,204060,0,283145,0,64
69,25,5,50,46,132482377,132482377,0,0,1616934,204060,0,319289,0,74
70,25,5,50,46,147175185,147175185,0,0,1772339,204599,0,222813,0,83
71,25,5,50,46,159616031,159616031,0,0,1905691,205337,0,191782,0,92
72,25,5,50,46,174604878,174604878,0,0,2081752,205337,0,252780,0,102
73,25,5,50,46,189878935,189878935,0,0,2278970,205337,0,282510,0,112
74,25,5,50,46,205369285,205369285,0,0,2502471,205337,0,319491,0,122
75,25,5,50,46,219969899,219969899,0,0,2701192,205337,0,285026,0,132
76,25,5,50,46,236751218,236751218,0,0,2892136,205337,0,272211,0,142
77,25,5,50,46,254062251,254062251,0,0,3122189,205337,0,332597,0,152
78,25,5,50,46,270255118,270255118,0,0,3320927,205337,0,287213,0,162
79,25,5,50,46,285140007,285140007,0,0,3496302,205337,0,248388,0,172
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,3,50,42,8337310,8337310,0,0,126318,174895,0,182314,0,1
82,25,6,50,48,23533917,23533917,0,0,320040,265116,0,278815,0,7
83,25,6,50,48,39884239,39884239,0,0,517287,298064,0,277902,0,17
84,25,6,50,48,54800919,54800919,0,0,713818,300000,0,282277,0,28
85,25,6,50,48,71216294,71216294,0,0,940255,300638,0,328217,0,39
86,25,6,50,48,88024658,88024658,0,0,1127720,300638,0,267462,0,51
87,25,6,50,48,103687407,103687407,0,0,1334238,300638,0,297277,0,63
88,25,6,50,48,120739172,120739172,0,0,1540966,300638,0,289755,0,75
89,25,6,50,48,137076331,137076331,0,0,1759741,300638,0,316702,0,87
90,25,6,50,48,150621538,150621538,0,0,1931076,300638,0,243359,0,99
91,25,6,50,48,165295331,165295331,0,0,2109172,300638,0,250393,0,111
92,25,6,50,48,179181577,179181577,0,1,2279916,300638,0,240927,0,123
93,25,6,50,49,196669269,196669269,0,1,2491167,302726,0,302694,0,135
94,25,6,50,49,213941863,213941863,0,1,2723941,325103,0,334756,0,147
95,25,6,50,49,230366763,230366763,0,1,2907700,332235,0,262628,0,159
96,25,6,50,49,246775072,246775072,0,1,3131729,332235,0,321087,0,171
97,25,6,50,49,260243019,260243019,0,1,3308078,332235,0,251001,0,183
98,25,6,50,49,276214658,276214658,0,1,3483617,332235,0,253124,0,195
99,25,6,50,49,293072184,293072184,0,1,3687840,332235,0,296636,0,207
100,25,0,50,0,0,0,0,0,0,0,0,0,0,0
101,25,1,50,42,0,0,0,0,0,47526,0,0,0,0
102,25,3,50,46,15630811,15630811,0,0,153781,242768,0,220375,0,5
103,25,3,50,46,32297315,32297315,0,0,333282,242768,0,259154,0,11
104,25,3,50,46,47959296,47959296,0,0,520010,242768,0,269198,0,17
105,25,3,50,46,63452548,63452548,0,0,699723,242768,0,259809,0,23
106,25,3,50,46,79865763,79865763,0,0,939233,242768,0,343024,0,29
107,25,3,50,46,95653306,95653306,0,0,1145269,242768,0,299723,0,35
108,25,3,50,46,110017686,110017686,0,0,1317981,242768,0,253676,0,41
109,25,3,50,46,124888208,124888208,0,0,1494574,242768,0,256749,0,47
110,25,3,50,46,140789307,140789307,0,0,1717591,242768,0,325397,0,53
111,25,3,50,46,155863088,155863088,0,0,1906308,242768,0,276069,0,59
112,25,3,50,46,170530236,170530236,0,0,2112465,242768,0,303571,0,65
113,25,3,50,46,184579027,184579027,0,0,2251698,242768,0,199968,0,71
