,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,1,50,48,10891695,10891695,0,0,232875,420922,0,442832,0,2
2,25,1,50,48,27285312,27285312,0,0,721802,481090,0,949687,0,3
3,25,1,50,48,41664574,41664574,0,0,1129428,481090,0,798043,0,5
4,25,1,50,48,58190375,58190375,0,0,1645838,481090,0,975228,0,7
5,25,1,50,48,75482560,75482560,0,0,2096854,481090,0,860177,0,9
6,25,1,50,48,87838493,87838493,0,0,2372447,481090,0,540090,0,11
7,25,1,50,48,99776470,99776470,0,0,2731062,481090,0,702464,0,13
8,25,1,50,48,115236559,115236559,0,0,3147222,481090,0,787279,0,15
9,25,1,50,48,131622510,131622510,0,0,3588193,481090,0,833582,0,17
10,25,1,50,48,147018142,147018142,0,0,3971705,481090,0,739423,0,19
11,25,1,50,48,164564392,164564392,0,0,4397560,481090,0,836062,0,21
12,25,1,50,48,181490779,181490779,0,0,4757740,481090,0,694607,0,23
13,25,1,50,48,198256640,198256640,0,0,5248732,481090,0,953305,0,25
14,25,1,50,48,214878118,214878118,0,0,5593921,481090,0,660808,0,27
15,25,1,50,48,230930450,230930450,0,0,5930151,481090,0,653509,0,29
16,25,1,50,48,248830686,248830686,0,0,6474016,481090,0,1052961,0,31
17,25,1,50,48,264593810,264593810,0,0,6839393,481090,0,702269,0,33
18,25,1,50,48,279290182,279290182,0,0,7237110,481090,0,780392,0,35
19,25,1,50,48,296877707,296877707,0,0,7684669,481090,0,852621,0,37
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,1,50,42,1224682,1224682,0,0,34256,88805,0,62451,0,1
22,25,2,50,45,12999853,12999853,0,0,301238,313291,0,502742,0,4
23,25,2,50,45,28178901,28178901,0,0,631897,484053,0,630983,0,7
24,25,2,50,45,45083253,45083253,0,0,1137852,686004,0,985117,0,9
25,25,2,50,45,61504413,61504413,0,0,1512062,688575,0,723452,0,12
26,25,2,50,45,77729172,77729172,0,0,1880268,688575,0,708171,0,16
27,25,2,50,45,94179476,94179476,0,0,2299903,688575,0,791395,0,20
28,25,2,50,45,109666745,109666745,0,0,2739862,688575,0,828878,0,24
