,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,3,50,41,12094793,12094793,0,0,226945,526453,0,650677,0,2
2,25,7,50,49,28992040,15692040,13300000,0,677231,710168,0,652340,0,13
3,25,7,50,49,46400323,32400323,14000000,0,1088651,755934,0,1104836,0,27
4,25,7,50,49,61990338,47297876,14692461,0,1405855,755934,0,813799,0,41
5,25,7,50,49,75347121,59554659,15792461,0,1731871,755934,0,829414,0,55
6,25,7,50,49,89564648,72272187,17292461,0,2109202,755934,0,941285,0,69
7,25,7,50,49,105512642,87220181,18292461,0,2395374,755934,0,731264,0,83
8,25,7,50,49,122589653,102697191,19892461,0,2780662,755934,0,951143,0,97
9,25,7,50,49,138837688,118245226,20592461,0,3208889,755934,0,1126491,0,111
10,25,7,50,49,156100046,131207584,24892461,0,3540332,755934,0,647462,0,125
11,25,7,50,49,173857019,145564558,28292461,0,3939098,755934,0,891211,0,139
12,25,7,50,49,190458379,161065918,29392461,0,4531429,755934,0,1576100,0,153
13,25,7,50,49,207393542,177301081,30092461,0,4861749,755934,0,854779,0,167
14,25,7,50,49,222426263,180733801,41692461,0,5271023,755934,0,512302,0,181
15,25,7,50,49,239210519,182618057,56592461,0,5807559,755934,0,575694,0,195
16,25,7,50,49,257048427,200255965,56792461,0,6154082,755934,0,922018,0,209
17,25,7,50,49,272659797,215867335,56792461,0,6452771,755934,0,813809,0,223
18,25,7,50,49,289857834,231365372,58492461,0,6727866,755934,0,587137,0,237
19,25,7,50,49,303922801,242249652,61673147,0,7017416,755934,0,606749,0,251
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,3,50,47,1263255,1263255,0,0,45992,93431,0,116126,0,2
22,25,5,50,51,16708690,16708690,0,0,405252,424325,0,1010717,0,9
23,25,5,50,51,33507870,23407870,10100000,0,906681,460805,0,478746,0,17
24,25,5,50,51,44638528,34538528,10100000,0,1291946,460805,0,1087563,0,27
25,25,5,50,51,58542567,38742567,19800000,0,1760863,462345,0,571906,0,35
26,25,5,50,51,75646841,52446841,23200000,0,2272937,473959,0,1255938,0,44
27,25,5,50,51,90250160,56150160,34100000,0,2603538,473959,0,299306,0,54
28,25,5,50,51,109321245,63921245,45400000,0,3037932,473959,0,614214,0,64
29,25,5,50,51,126847191,80947191,45900000,0,3455050,473959,0,1119487,0,74
30,25,5,50,51,143718120,97818120,45900000,0,3842121,473959,0,1069478,0,84
31,25,5,50,51,160913537,108913537,52000000,0,4185706,473959,0,668273,0,94
32,25,5,50,51,177714525,125714525,52000000,0,4497559,473959,0,853546,0,104
33,25,5,50,51,194826258,128126258,66700000,0,5041333,473959,0,432449,0,114
34,25,5,50,51,209827874,133727874,76100000,0,5346936,473959,0,406759,0,124
35,25,5,50,51,224099234,146999234,77100000,0,5641319,473959,0,748128,0,134
36,25,5,50,51,240405666,156305666,84100000,0,6027614,473959,0,646483,0,144
37,25,5,50,51,258020141,173920141,84100000,0,6372636,473959,0,943576,0,154
38,25,5,50,51,273158669,177558669,95600000,0,6837018,473959,0,647978,0,164
39,25,5,50,51,289459369,190959369,98500000,0,7320849,473959,0,1129548,0,174
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,29,6558979,6558979,0,0,228713,245013,0,635650,0,1
42,25,13,50,51,18357175,9881550,8475625,0,572273,410266,0,457091,0,14
43,25,13,50,50,33956141,15980516,17975625,0,1037448,609255,0,700875,0,38
44,25,13,50,49,50320229,19644604,30675625,0,1492488,627833,0,511372,0,61
45,25,12,50,49,62666890,31297977,31368912,0,1923547,637989,0,1140160,0,80
46,25,12,50,49,80166407,46297495,33868912,0,2393156,640749,0,1071202,0,102
47,25,12,50,49,96978164,59109251,37868912,0,2964405,648758,0,1315974,0,124
48,25,12,50,49,114654364,65485452,49168912,0,3386037,651933,0,573113,0,147
49,25,12,50,49,128947495,78111883,50835611,0,3689046,651933,0,731347,0,171
50,25,12,50,49,143196399,84136014,59060383,0,4025630,651933,0,442659,0,195
51,25,12,50,49,157047572,96687188,60360383,0,4375116,651933,0,883225,0,219
52,25,12,50,49,172338204,109029912,63308290,0,4774078,651933,0,894997,0,243
53,25,12,50,49,185599540,120591250,65008290,0,5174163,651933,0,1001723,0,267
54,25,12,50,49,201232680,133924389,67308290,0,5503684,651959,0,744745,0,290
55,25,12,50,49,216321568,147313276,69008290,0,5788868,654103,0,683959,0,313
56,25,12,50,49,231139047,152187898,78951148,1,6305755,654103,0,631207,0,337
57,25,12,50,49,248825616,166674468,82151148,1,6769896,668543,0,1059586,0,360
58,25,14,50,53,267392512,181899404,85493107,1,7312516,680236,0,1168913,0,393
59,25,15,50,55,283529774,187136665,96393107,1,7740901,680236,0,586119,0,421
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,2,50,46,6588193,6588193,0,0,113552,243769,0,323543,0,2
62,25,3,50,48,22612838,21612838,1000000,0,566927,455043,0,1228445,0,6
63,25,3,50,48,39180446,22880446,16300000,0,1037617,472945,0,355830,0,10
64,25,3,50,48,56123908,39323908,16800000,0,1545820,472945,0,1378640,0,16
65,25,3,50,48,71588194,40888194,30700000,0,2019537,472945,0,512813,0,22
66,25,3,50,48,88109008,56909008,31200000,0,2575969,472945,0,1547556,0,28
67,25,3,50,48,103112313,70812313,32300000,0,2883616,472945,0,799107,0,34
68,25,3,50,48,117682762,71882762,45800000,0,3307002,472945,0,319901,0,40
69,25,3,50,48,131942394,72742394,59200000,0,3734212,472945,0,601135,0,46
70,25,3,50,48,148275386,74875386,73400000,0,4124392,472945,0,281413,0,52
71,25,3,50,48,166390865,92390865,74000000,0,4479988,472945,0,970689,0,58
72,25,3,50,48,180074161,106074161,74000000,0,4636916,472945,0,435771,0,64
73,25,3,50,48,194921752,120921752,74000000,0,5128680,472945,0,1391326,0,70
74,25,3,50,48,210211747,135211747,75000000,0,5324678,472945,0,504009,0,76
75,25,3,50,48,227666118,152066118,75600000,0,5867772,472945,0,1490087,0,82
76,25,3,50,48,243527388,167927388,75600000,0,6293865,472945,0,1188770,0,88
77,25,3,50,48,259872358,168772358,91100000,0,6687440,472945,0,310860,0,94
78,25,3,50,48,277119042,186019042,91100000,0,6946481,472945,0,730914,0,100
79,25,3,50,48,292837417,201737417,91100000,0,7417035,472945,0,1301057,0,106
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,3,50,44,2113277,2113277,0,0,52750,92160,0,140387,0,1
82,25,4,50,46,17564453,16264453,1300000,0,330712,426961,0,705577,0,5
83,25,4,50,46,34022348,30622348,3400000,0,763566,476217,0,1066832,0,12
84,25,4,50,46,50271652,45471652,4800000,0,1259957,476217,0,1302039,0,20
85,25,4,50,46,65173683,59573683,5600000,0,1588193,476217,0,855186,0,28
86,25,4,50,46,78194805,70194805,8000000,0,1809239,476217,0,422258,0,36
87,25,4,50,46,92476504,84476504,8000000,0,2223033,476217,0,1154593,0,44
88,25,4,50,46,108156064,100156064,8000000,0,2646683,476217,0,1201380,0,52
89,25,4,50,46,122347081,104247081,18100000,0,3092072,476217,0,465508,0,60
90,25,4,50,46,136372181,116872181,19500000,0,3379845,476217,0,715488,0,68
91,25,4,50,46,149338905,127138905,22200000,0,3760016,476217,0,910435,0,76
92,25,4,50,46,164731025,131331025,33400000,0,4186495,476217,0,627670,0,84
93,25,4,50,46,181380586,147980586,33400000,0,4631226,476217,0,1216369,0,92
94,25,4,50,46,197871682,164471682,33400000,0,4983227,476217,0,971934,0,100
95,25,4,50,46,213172969,179172969,34000000,0,5196758,476217,0,541836,0,108
96,25,4,50,46,226142486,191542486,34600000,0,5399087,476217,0,516058,0,116
97,25,4,50,46,242958026,208358026,34600000,0,5651019,476217,0,704067,0,124
98,25,4,50,46,257919285,212119285,45800000,0,6082242,476217,0,691119,0,132
99,25,4,50,46,272861222,224061222,48800000,0,6439692,476217,0,881765,0,140
100,25,0,50,0,0,0,0,0,0,0,0,0,0,0
101,25,4,50,39,4341789,4341789,0,0,81609,170610,0,225901,0,4
102,25,9,50,50,19558921,16058921,3500000,0,451332,400961,0,829927,0,12
103,25,9,50,49,36210762,25410762,10800000,0,866162,516659,0,683281,0,28
104,25,9,50,48,51574663,39474663,12100000,0,1268859,525120,0,988353,0,45
105,25,8,50,48,67585269,50285269,17300000,0,1704635,555114,0,978836,0,53
106,25,8,50,48,82888942,62788942,20100000,0,2061070,573538,0,802354,0,67
107,25,8,50,48,100164348,78364348,21800000,0,2410617,573538,0,809013,0,83
108,25,8,50,48,118461592,91061592,27400000,0,2813280,573538,0,745061,0,99
109,25,8,50,48,134048292,106048292,28000000,0,3212830,573538,0,1043476,0,115
110,25,8,50,48,152299633,121699633,30600000,0,3615136,573538,0,965839,0,131
111,25,8,50,48,172362938,140462938,31900000,1,4012697,573538,0,1011271,0,147
112,25,8,50,48,188025985,155025985,33000000,2,4347712,581377,0,859944,0,163
113,25,8,50,49,204430531,163830531,40600000,2,4744631,600206,0,712143,0,179
114,25,8,50,50,220296507,176896507,43400000,2,5093044,619145,0,761264,0,195
115,25,8,50,49,238158098,194758098,43400000,2,5593981,625589,0,1358973,0,211
116,25,9,50,49,257758962,212458962,45300000,2,6142573,648570,0,1360033,0,234
117,25,9,50,49,273478104,226378104,47100000,2,6473831,692352,0,768772,0,252
118,25,8,50,49,291417910,241817910,49600000,2,6996409,736356,0,1420617,0,259
119,25,8,50,49,308305081,258205081,50100000,2,7270002,750737,0,696390,0,275
120,25,0,50,0,0,0,0,0,0,0,0,0,0,0
121,25,2,50,42,0,0,0,0,0,37269,0,0,0,0
122,25,5,50,48,14206289,2106289,12100000,0,337156,455788,0,398203,0,6
123,25,5,50,47,32309643,4809643,27500000,0,836674,506522,0,570559,0,13
124,25,4,50,47,47075828,20275828,26800000,0,1165451,506522,0,1021913,0,18
125,25,4,50,47,65026727,38226727,26800000,0,1518459,506522,0,996330,0,26
126,25,4,50,47,79534162,39834162,39700000,0,1913093,506522,0,295333,0,34
127,25,4,50,47,91580627,51180627,40400000,0,2179549,506522,0,696841,0,42
128,25,4,50,47,105472487,64472487,41000000,0,2460846,506522,0,750211,0,50
129,25,4,50,47,120292871,79292871,41000000,0,2748356,506522,0,812025,0,58
130,25,4,50,47,137265981,95165981,42100000,1,3258705,506522,0,1323483,0,66
131,25,4,50,47,153898806,110798806,43100000,1,3776269,517160,0,1398122,0,74
132,25,4,50,47,168876453,125176453,43700000,2,4255479,531422,0,1339137,0,82
133,25,4,50,47,182908504,138508504,44400000,2,4506621,531422,0,627566,0,90
134,25,4,50,48,198312078,140412078,57900000,2,4942543,533071,0,377506,0,98
135,25,4,50,48,216582943,157582943,59000000,3,5497129,534182,0,1484941,0,106
136,25,4,50,48,233022740,172222740,60800000,3,5781695,562936,0,696949,0,114
137,25,4,50,48,248544400,187744400,60800000,3,6005170,607843,0,619839,0,122
138,25,4,50,48,264196634,202096634,62100000,3,6403722,610271,0,1050492,0,130
139,25,5,50,50,279997183,217897183,62100000,3,6661787,696793,0,709006,0,140
140,25,0,50,0,0,0,0,0,0,0,0,0,0,0
141,25,3,50,40,6206986,6986,6200000,0,203975,241627,0,137298,0,1
142,25,5,50,44,19690332,13490332,6200000,0,627835,624363,0,1167135,0,9
143,25,5,50,44,34349666,28149666,6200000,0,1031876,658665,0,1107388,0,19
144,25,5,50,44,48396046,36536899,11859147,0,1421897,658665,0,645742,0,29
145,25,5,50,44,65404923,53545776,11859147,0,1721638,658665,0,840652,0,39
146,25,5,50,44,79845521,65686374,14159147,0,1986434,658665,0,646042,0,49
147,25,5,50,44,94933799,71574652,23359147,0,2413950,658665,0,627750,0,59
148,25,5,50,44,108910033,77750885,31159147,0,2717064,658665,0,475564,0,69
149,25,5,50,44,122485644,91326496,31159147,0,3069532,658665,0,979651,0,79
150,25,5,50,44,137197497,105138349,32059147,0,3381814,658665,0,799634,0,89
