,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,43,10598527,10598527,0,0,51397,168211,0,146942,0,2
2,25,4,50,47,25565399,25565399,0,0,143818,185730,0,264172,0,7
3,25,4,50,47,43103365,43103365,0,0,306142,201805,0,448655,0,12
4,25,4,50,47,58720312,58720312,0,0,464417,202911,0,451186,0,19
5,25,4,50,47,74808132,74808132,0,0,581156,202911,0,328686,0,27
6,25,4,50,47,90572106,90572106,0,0,746676,203244,0,455886,0,34
7,25,4,50,47,106486183,106486183,0,0,832782,203244,0,240453,0,42
8,25,4,50,47,120962202,120962202,0,0,922066,204773,0,250387,0,49
9,25,4,50,47,136188453,136188453,0,0,1072037,204773,0,420292,0,57
10,25,4,50,47,152448543,152448543,0,0,1220810,205103,0,416833,0,64
11,25,4,50,47,166611772,166611772,0,0,1357099,205103,0,373921,0,72
12,25,4,50,47,182869571,182869571,0,0,1478980,205103,0,341131,0,80
13,25,4,50,47,196181076,196181076,0,0,1572997,205103,0,261807,0,88
14,25,4,50,47,210315274,210315274,0,0,1651988,205103,0,219013,0,96
15,25,4,50,47,229462879,229462879,0,0,1814396,205103,0,455773,0,104
16,25,4,50,47,245725434,245725434,0,0,1895939,205103,0,222294,0,112
17,25,4,50,47,260840315,260840315,0,0,1996918,205103,0,281614,0,120
18,25,4,50,47,276194946,276194946,0,0,2108681,205103,0,314968,0,128
19,25,4,50,47,292451362,292451362,0,0,2197861,205103,0,250901,0,136
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,3,50,43,9610570,9610570,0,0,58143,115337,0,160738,0,6
22,25,4,50,45,23804254,23804254,0,0,142464,122221,0,235894,0,14
23,25,4,50,45,37254518,37254518,0,0,252046,128114,0,310941,0,21
24,25,4,50,45,52365821,52365821,0,0,367156,128114,0,324647,0,29
25,25,4,50,45,66978460,66978460,0,0,473645,128114,0,297574,0,37
26,25,4,50,45,80229997,80229997,0,0,592290,128114,0,328368,0,45
27,25,4,50,45,93908856,93908856,0,0,695659,128114,0,288707,0,53
28,25,4,50,45,107920429,107920429,0,0,781190,128114,0,236557,0,61
29,25,4,50,45,121107718,121107718,0,0,886014,128114,0,292326,0,69
30,25,4,50,45,136264665,136264665,0,0,1010852,128114,0,349222,0,77
31,25,4,50,45,150671497,150671497,0,0,1131518,128114,0,337798,0,85
32,25,4,50,45,165102810,165102810,0,1,1246030,128114,0,323699,0,93
33,25,4,50,46,179526883,179526883,0,1,1356008,129152,0,308816,0,101
34,25,4,50,46,193427284,193427284,0,1,1462082,134550,0,300818,0,109
35,25,4,50,46,209641526,209641526,0,1,1581054,134550,0,337383,0,117
36,25,4,50,46,223772157,223772157,0,1,1689415,134550,0,300764,0,125
37,25,4,50,46,238224807,238224807,0,1,1838051,134550,0,414817,0,133
38,25,4,50,46,253092717,253092717,0,1,1953646,134550,0,320452,0,141
39,25,4,50,46,266681813,266681813,0,1,2034271,134550,0,223729,0,149
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,3,50,33,7403600,7403600,0,0,67962,103916,0,185881,0,4
42,25,6,50,37,20366779,20366779,0,0,187338,162617,0,328719,0,14
43,25,6,50,36,31673206,31673206,0,0,280820,171202,0,255449,0,25
44,25,6,50,35,43287807,43287807,0,0,355599,171202,0,201406,0,37
45,25,6,50,35,55389657,55389657,0,0,425066,171202,0,184407,0,49
46,25,6,50,35,66142122,66142122,0,0,503776,171202,0,212323,0,61
47,25,6,50,35,76875656,76875656,0,0,578263,171202,0,201359,0,73
48,25,6,50,35,86660702,86660702,0,0,668296,171202,0,249725,0,85
49,25,6,50,35,98272459,98272459,0,0,768311,171202,0,274545,0,97
50,25,6,50,35,108951607,108951607,0,0,829085,171202,0,163327,0,109
51,25,6,50,35,119958445,119958445,0,0,891364,171202,0,167809,0,121
52,25,6,50,35,132542316,132542316,0,2,999644,171202,0,292853,0,133
53,25,6,50,36,146995609,146995609,0,2,1148477,173748,0,405458,0,145
54,25,6,50,37,160713111,160713111,0,2,1258525,201030,0,298786,0,157
55,25,6,50,36,172843679,172843679,0,5,1376502,229449,0,323485,0,169
56,25,7,50,40,185615843,185615843,0,6,1480059,282673,0,285233,0,181
57,25,8,50,43,199274117,199274117,0,6,1590238,319900,0,299121,0,195
58,25,8,50,43,213314196,213314196,0,6,1695614,361977,0,281116,0,211
59,25,8,50,45,225870542,225870542,0,6,1777878,392649,0,217349,0,226
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,3,50,40,3603188,3603188,0,0,35427,74166,0,98443,0,2
62,25,8,50,52,17147173,17147173,0,0,129963,158415,0,262428,0,9
63,25,8,50,48,32534790,32534790,0,0,258581,195173,0,354247,0,23
64,25,8,50,48,47957612,47957612,0,0,383945,199032,0,339641,0,38
65,25,8,50,48,62120783,62120783,0,0,512153,200605,0,353827,0,52
66,25,8,50,48,77693645,77693645,0,0,638221,200605,0,340077,0,68
67,25,8,50,48,95153814,95153814,0,0,754737,201843,0,311799,0,83
68,25,8,50,48,111329622,111329622,0,0,911125,201843,0,426595,0,99
69,25,8,50,48,128625485,128625485,0,0,1074009,201843,0,442252,0,115
70,25,8,50,48,146966037,146966037,0,0,1201351,201843,0,344084,0,131
71,25,8,50,48,164379945,164379945,0,0,1335092,201843,0,360464,0,147
72,25,8,50,48,180638921,180638921,0,0,1446064,201843,0,297792,0,163
73,25,8,50,48,198105496,198105496,0,0,1590217,201843,0,390473,0,179
74,25,8,50,48,214950352,214950352,0,0,1703732,201843,0,309527,0,195
75,25,8,50,48,229763697,229763697,0,0,1808493,201843,0,285170,0,211
76,25,8,50,48,244908177,244908177,0,0,1912656,201843,0,281883,0,227
77,25,8,50,48,260351106,260351106,0,0,2043628,201843,0,360401,0,243
78,25,8,50,48,278791266,278791266,0,0,2164001,201843,0,329431,0,259
79,25,8,50,48,295981006,295981006,0,0,2300069,201843,0,370806,0,275
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,4,50,44,6787329,6787329,0,0,32327,76013,0,89667,0,2
82,25,5,50,46,22344468,22344468,0,0,172725,179552,0,390248,0,10
83,25,5,50,46,38408639,38408639,0,0,268498,179552,0,267620,0,20
84,25,5,50,46,52921037,52921037,0,0,399733,186642,0,360232,0,28
85,25,5,50,46,67209254,67209254,0,0,502670,186642,0,286363,0,38
86,25,5,50,46,82504902,82504902,0,0,645750,188131,0,395553,0,47
87,25,5,50,46,97324289,97324289,0,0,745392,191253,0,276224,0,56
88,25,5,50,46,112959496,112959496,0,0,872664,193617,0,349070,0,65
89,25,5,50,46,131464999,131464999,0,0,1013855,196449,0,389321,0,74
90,25,5,50,46,148410263,148410263,0,0,1170166,196555,0,428497,0,83
91,25,5,50,46,163963951,163963951,0,0,1239335,196555,0,195755,0,93
92,25,5,50,46,180900096,180900096,0,2,1363113,196555,0,340880,0,103
93,25,5,50,46,195513728,195513728,0,2,1458641,196771,0,260863,0,113
