,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,1,50,37,0,0,0,0,0,28065,0,0,0,0
2,25,2,50,39,12076119,12076119,0,0,255621,283688,0,0,136890,1
3,25,2,50,39,25660800,25660800,0,0,689616,359661,0,0,153990,4
4,25,2,50,39,37881054,37881054,0,0,1001707,359661,0,0,138523,8
5,25,2,50,39,51148880,51148880,0,0,1346478,376061,0,0,150398,11
6,25,2,50,39,63647362,63647362,0,0,1607977,376061,0,0,141677,15
7,25,2,50,39,78737954,77737954,1000000,0,2036116,383035,0,34044,171060,18
8,25,2,50,39,90324264,89324264,1000000,0,2361807,383035,0,0,131336,22
9,25,2,50,39,102474932,101474932,1000000,0,2734439,383035,0,0,137734,26
10,25,2,50,39,114651702,113651702,1000000,0,3037560,383035,0,0,138030,30
11,25,2,50,39,126823017,125823017,1000000,0,3479507,383035,0,0,137968,34
12,25,2,50,39,139968783,138968783,1000000,0,3931095,383035,0,0,149014,38
13,25,2,50,39,154508034,153508034,1000000,0,4340287,383035,0,0,164810,42
14,25,2,50,39,170094754,169094754,1000000,0,4822894,383035,0,0,176684,46
15,25,2,50,39,184856558,183856558,1000000,0,5112153,383035,0,0,167333,50
16,25,2,50,39,196454678,195454678,1000000,0,5475263,383035,0,0,131471,54
17,25,2,50,39,209507018,208507018,1000000,0,5838394,383035,0,0,147955,58
18,25,2,50,39,222658932,221658932,1000000,0,6057201,383035,0,0,149084,62
19,25,2,50,39,235796348,234796348,1000000,0,6373812,383035,0,0,148919,66
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,2,50,38,0,0,0,0,0,32525,0,0,0,0
22,25,5,50,44,14348228,14348228,0,0,400001,602867,0,0,162645,9
23,25,5,50,42,28880989,28880989,0,0,759892,605831,0,0,164734,18
24,25,4,50,42,41722366,41722366,0,0,1028014,605831,0,0,154288,22
25,25,4,50,42,54507110,54507110,0,0,1316455,605831,0,0,144921,30
26,25,4,50,42,68386751,68386751,0,0,1646600,605831,0,0,157332,38
27,25,4,50,42,81615365,81615365,0,0,2043494,605831,0,0,149952,46
28,25,4,50,42,92997177,83097177,9900000,0,2411108,605831,0,261802,129018,54
29,25,4,50,42,105651580,95751580,9900000,0,2706572,605831,0,0,143443,62
30,25,4,50,42,117527144,107627144,9900000,0,3003142,605831,0,0,134614,70
31,25,4,50,42,132314115,122414115,9900000,0,3290573,605831,0,0,167617,78
32,25,4,50,42,145837822,135937822,9900000,2,3620689,605831,0,0,153298,86
33,25,4,50,42,158174042,148274042,9900000,2,3892804,605831,0,0,139837,94
34,25,4,50,42,172353834,162453834,9900000,2,4224883,605831,0,0,160735,102
35,25,4,50,42,185753621,175853621,9900000,2,4634277,605831,0,0,151893,110
36,25,4,50,42,197833287,187933287,9900000,2,4897704,605831,0,0,136929,118
37,25,4,50,42,211888129,201988129,9900000,3,5382401,605831,0,0,159318,126
38,25,4,50,42,223851015,213451015,10400000,3,5721764,617440,0,14734,135605,134
39,25,4,50,42,240498118,230098118,10400000,3,6298476,637712,0,0,188704,142
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,41,7234456,7234456,0,0,148978,260905,0,0,82006,2
42,25,3,50,42,21879887,21879887,0,0,519719,342315,0,0,166013,6
43,25,3,50,41,35380224,34980224,400000,0,923117,342315,0,13253,153033,12
44,25,2,50,41,47217164,47217164,0,0,1372984,342315,0,0,150527,12
45,25,2,50,41,60082712,60082712,0,0,1805575,342315,0,0,145837,16
46,25,2,50,41,73598269,73598269,0,0,2152358,342315,0,0,153206,20
47,25,2,50,41,87986635,87986635,0,0,2492065,342315,0,0,163100,24
48,25,2,50,41,102288022,102288022,0,0,2734498,342315,0,0,162113,28
49,25,2,50,41,116424724,116424724,0,0,3216411,342315,0,0,160246,32
50,25,2,50,41,130150327,130150327,0,0,3638161,342315,0,0,155587,36
51,25,2,50,41,143600881,143600881,0,0,4016593,342315,0,0,152469,40
52,25,2,50,41,158082929,158082929,0,0,4388698,342315,0,0,164161,44
53,25,2,50,41,174094124,174094124,0,0,4897575,342315,0,0,181495,48
54,25,2,50,41,186272735,186272735,0,0,5236474,342315,0,0,138051,52
55,25,2,50,41,197831640,197831640,0,0,5429288,342315,0,0,131026,56
56,25,2,50,41,210447215,210447215,0,2,5772189,342315,0,0,143004,60
57,25,3,50,42,226072591,225672591,400000,2,6106330,342315,0,0,160771,71
58,25,3,50,42,239588390,239188390,400000,2,6531022,342813,0,0,153208,77
59,25,2,50,42,251589948,251589948,0,2,6922273,360623,0,0,168432,72
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,2,50,35,11456470,11456470,0,0,194773,467872,0,0,129865,4
62,25,4,50,40,24919675,24919675,0,0,458191,497281,0,0,152612,10
63,25,4,50,40,39136272,39136272,0,0,871269,540338,0,0,161152,17
64,25,4,50,40,53028668,53028668,0,0,1265820,540338,0,0,157477,25
65,25,4,50,40,66544479,66544479,0,0,1674991,540338,0,0,153208,33
66,25,4,50,40,77900268,77900268,0,0,1992392,540338,0,0,128722,41
67,25,4,50,40,90817642,90817642,0,0,2255733,540338,0,0,146423,49
68,25,4,50,40,104089196,104089196,0,0,2548684,540338,0,0,150439,57
69,25,4,50,40,117074563,117074563,0,0,2965815,540338,0,0,156753,64
70,25,4,50,40,129443396,129443396,0,0,3331308,540338,0,0,140207,72
71,25,4,50,40,141950219,141950219,0,0,3570074,540338,0,0,141771,80
72,25,4,50,40,154463763,154463763,0,1,3859246,540338,0,0,141846,88
73,25,4,50,40,166188994,166188994,0,1,4159346,540338,0,0,132910,96
74,25,4,50,40,179697251,179697251,0,1,4503898,540338,0,0,153122,104
75,25,4,50,40,191689025,191689025,0,1,4843181,540338,0,0,135932,112
76,25,4,50,40,203956317,203956317,0,1,5232959,540338,0,0,139055,120
77,25,4,50,40,216595927,216595927,0,1,5659767,540338,0,0,143276,128
78,25,4,50,40,228617368,228617368,0,1,5954484,540338,0,0,136268,136
79,25,4,50,40,241827573,241827573,0,1,6352399,540338,0,0,149743,144
80,25,0,50,0,0,0,0,0,0,0,0,0,0,0
81,25,3,50,33,7514351,7514351,0,0,198553,268845,0,0,85179,2
82,25,3,50,33,17465980,17465980,0,0,491728,405416,0,0,112806,8
83,25,3,50,33,29361081,29361081,0,0,808168,405416,0,0,134837,14
84,25,3,50,33,40394925,40394925,0,0,1083981,405416,0,0,125073,20
85,25,3,50,33,48923673,48923673,0,0,1281210,405416,0,0,96678,26
86,25,3,50,33,57227496,57227496,0,0,1561143,405416,0,0,94128,32
87,25,3,50,33,67439788,67439788,0,0,1799730,405416,0,0,115761,38
88,25,3,50,33,77616048,77616048,0,0,2132359,405416,0,0,115352,44
89,25,3,50,33,87830980,87830980,0,0,2396277,405416,0,0,115791,50
90,25,3,50,33,100030049,100030049,0,0,2775599,405416,0,0,138282,56
91,25,3,50,33,110537757,110537757,0,0,3091709,405416,0,0,119109,62
92,25,3,50,33,120500324,120500324,0,2,3416292,405416,0,0,112930,68
93,25,3,50,33,129861176,129861176,0,2,3713263,405416,0,0,106109,74
94,25,3,50,33,139612075,139612075,0,2,3946593,405416,0,0,110531,80
95,25,3,50,33,148712453,147212453,1500000,2,4220275,405416,0,46509,103157,86
96,25,3,50,33,159008387,157508387,1500000,2,4463163,405416,0,0,116709,92
97,25,3,50,33,168111485,166611485,1500000,2,4688326,405416,0,0,103188,98
98,25,3,50,33,177960488,176460488,1500000,2,4930720,405416,0,0,111643,104
99,25,3,50,33,188486181,186986181,1500000,2,5265812,405416,0,0,119314,110
100,25,0,50,0,0,0,0,0,0,0,0,0,0,0
101,25,2,50,32,4674905,4674905,0,0,105084,188061,0,0,52992,2
102,25,7,50,42,17094043,17094043,0,0,461270,376828,0,0,140775,15
103,25,7,50,42,30664058,30664058,0,0,846826,398290,0,0,153820,26
104,25,7,50,42,45810000,45810000,0,0,1267744,446473,0,0,171684,36
105,25,7,50,42,60011051,60011051,0,0,1646013,458427,0,0,160972,48
106,25,7,50,42,73599484,73299484,300000,0,1961905,458427,0,10822,161143,61
107,25,7,50,42,87436380,87136380,300000,0,2295609,458427,0,0,156846,75
108,25,7,50,42,100651871,100351871,300000,0,2582636,458427,0,0,149802,89
109,25,7,50,42,113814888,113514888,300000,0,2940843,458427,0,0,149208,103
110,25,7,50,42,126646808,126346808,300000,0,3271222,458427,0,0,145454,117
111,25,7,50,42,140275939,139975939,300000,0,3677997,458427,0,0,154490,131
112,25,7,50,42,153352713,153052713,300000,1,4058530,458427,0,0,148229,145
113,25,7,50,42,165697149,165397149,300000,1,4368131,458427,0,0,139927,159
114,25,7,50,42,178722459,178422459,300000,1,4814595,458427,0,0,147645,173
115,25,7,50,42,189932629,189632629,300000,1,5087441,458427,0,0,127070,187
116,25,7,50,42,204705844,204405844,300000,1,5408942,458427,0,0,167459,201
