,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,3,50,36,7913327,7913327,0,0,304767,364340,0,0,74106,4
2,25,7,50,45,23698230,23698230,0,0,928961,688582,0,0,147822,14
3,25,7,50,45,38853694,38853694,0,0,1523420,688582,0,0,141928,28
4,25,7,50,45,53454192,53454192,0,0,2105749,688582,0,0,136731,42
5,25,7,50,45,70722979,70722979,0,0,2748308,695615,0,0,161717,55
6,25,7,50,45,85433782,85433782,0,0,3234379,695615,0,0,137761,69
7,25,7,50,45,100585350,100585350,0,0,3699724,695615,0,0,141890,83
8,25,7,50,45,117077033,117077033,0,0,4262765,695615,0,0,154440,97
9,25,7,50,45,131055241,131055241,0,0,4820916,695615,0,0,130902,111
10,25,7,50,45,143800913,143800913,0,0,5257308,695615,0,0,119357,125
11,25,7,50,45,158123295,158123295,0,0,5713030,695615,0,0,134125,139
12,25,7,50,45,174574985,174574985,0,1,6255794,695615,0,0,154065,153
13,25,7,50,45,190071561,190071561,0,1,6652446,695615,0,0,145121,167
14,25,7,50,45,204711585,204711585,0,1,7158984,695615,0,0,137100,181
15,25,7,50,45,218569819,218569819,0,1,7572984,695615,0,0,129778,195
16,25,7,50,45,232533553,232533553,0,1,8097957,695615,0,0,130765,209
17,25,7,50,45,247956429,246056429,1900000,1,8528775,695615,0,90358,144432,223
18,25,7,50,45,263509198,261609198,1900000,1,8975208,695615,0,0,145647,237
19,25,7,50,45,276358382,273458382,2900000,1,9410914,695615,0,46768,120329,251
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,1,50,40,2665113,2665113,0,0,58535,153784,0,0,24958,2
22,25,1,50,40,16585949,16585949,0,0,370117,344913,0,0,130367,3
23,25,1,50,40,29604647,29604647,0,0,655698,349660,0,0,121919,4
24,25,1,50,40,41561262,41561262,0,0,1076998,349660,0,0,111972,6
25,25,1,50,40,52761721,52761721,0,0,1570211,349660,0,0,104891,8
26,25,1,50,40,68506681,68506681,0,0,1956099,349660,0,0,147450,10
27,25,1,50,40,82694469,82694469,0,0,2442275,349660,0,0,132867,12
28,25,1,50,40,94956267,94956267,0,0,2709725,349660,0,0,114830,14
29,25,1,50,40,107293460,107293460,0,0,3223300,349660,0,0,115536,16
30,25,1,50,40,120331321,120331321,0,0,3550653,349660,0,0,122098,18
31,25,1,50,40,135925869,135925869,0,0,4138095,349660,0,0,146041,20
32,25,1,50,40,150300585,150300585,0,2,4442103,349660,0,0,134618,22
