,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,45,11701465,11701465,0,0,211961,245998,0,0,108250,1
2,25,3,50,47,26985091,26985091,0,0,445427,289084,0,0,141388,5
3,25,3,50,47,42389046,42389046,0,0,706982,292465,0,0,142501,10
4,25,3,50,47,55901825,55901825,0,0,915304,292465,0,0,125006,16
5,25,3,50,47,71261974,71261974,0,0,1106812,292465,0,0,142096,22
6,25,3,50,47,87203656,87203656,0,0,1384715,292465,0,0,147475,28
7,25,3,50,47,101466811,101466811,0,0,1598273,292465,0,0,131947,34
8,25,3,50,47,115539878,115539878,0,0,1858152,292465,0,0,130188,40
9,25,3,50,47,132026271,132026271,0,0,2086342,292465,0,0,152514,46
10,25,3,50,47,149445051,149445051,0,0,2346214,292465,0,0,161140,52
11,25,3,50,47,166559576,166559576,0,0,2623200,292465,0,0,158325,58
12,25,3,50,47,184150521,184150521,0,0,2893302,292465,0,0,162733,64
13,25,3,50,47,200207145,200207145,0,0,3131565,292465,0,0,148538,70
14,25,3,50,47,215462094,215462094,0,0,3339339,292465,0,0,141122,76
15,25,3,50,47,229439319,229439319,0,0,3556555,292465,0,0,129302,82
16,25,3,50,47,244712553,244712553,0,0,3832523,292465,0,0,141292,88
17,25,3,50,47,259599666,259599666,0,0,4031509,292465,0,0,137719,94
18,25,3,50,47,275121352,275121352,0,0,4318228,292465,0,0,143590,100
19,25,3,50,47,291436308,291436308,0,0,4512392,292465,0,0,150928,106
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,2,50,42,9600436,9600436,0,0,150074,180967,0,0,88813,3
22,25,4,50,46,23492881,23492881,0,0,358426,229464,0,0,128518,8
23,25,4,50,46,40231652,40231652,0,0,584798,277176,0,0,154849,15
24,25,4,50,46,57226683,57226683,0,0,849103,285806,0,0,157219,21
25,25,4,50,46,74185570,74185570,0,0,1105584,286088,0,0,156886,28
26,25,4,50,46,90046160,90046160,0,0,1369917,286088,0,0,146724,36
27,25,4,50,46,103485161,103485161,0,0,1584697,286088,0,0,124323,44
28,25,4,50,46,118852135,118852135,0,0,1839374,286088,0,0,142158,52
29,25,4,50,46,134237568,134237568,0,0,2070728,286088,0,0,142328,60
30,25,4,50,46,149147339,149147339,0,0,2284144,286088,0,0,137928,68
31,25,4,50,46,164418425,164418425,0,0,2474395,286088,0,0,141271,76
32,25,4,50,46,180211875,180211875,0,0,2715952,286088,0,0,146103,84
33,25,4,50,46,194768910,194768910,0,0,2909608,286088,0,0,134665,92
