,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,2,50,37,1260571,1260571,0,0,57032,121269,0,0,13362,2
2,25,7,50,48,13670047,13670047,0,0,574973,669504,0,0,131545,11
3,25,7,50,48,30890369,30890369,0,0,1390868,748816,0,0,182539,23
4,25,7,50,48,49267683,49267683,0,0,2171838,795182,0,0,194805,35
5,25,7,50,48,66280092,66280092,0,0,3010449,835140,0,0,180337,47
6,25,7,50,48,82986255,82986255,0,0,3809333,856914,0,0,177090,58
7,25,7,50,48,99840224,99840224,0,0,4565210,890292,0,0,178656,71
8,25,7,50,48,115464846,115464846,0,0,5219147,890292,0,0,165625,85
9,25,7,50,48,131463716,131463716,0,0,5977540,890292,0,0,169591,99
10,25,7,50,48,146804104,146804104,0,0,6595499,890292,0,0,162612,113
11,25,7,50,48,164384272,164384272,0,0,7337073,890292,0,0,186354,127
12,25,7,50,48,181278752,181278752,0,0,8134659,890292,0,0,179086,141
13,25,7,50,48,196156250,196156250,0,0,8817685,890292,0,0,157706,155
14,25,7,50,48,210101256,210101256,0,0,9467384,890292,0,0,147820,169
15,25,7,50,48,224831290,224831290,0,0,10127081,890292,0,0,156141,183
16,25,7,50,48,240910086,240910086,0,0,10858522,890292,0,0,170440,197
17,25,7,50,48,254167896,254167896,0,0,11460870,890292,0,0,140534,211
18,25,7,50,48,270789523,270789523,0,0,12097855,890292,0,0,176194,225
19,25,7,50,48,285538499,285538499,0,0,12670368,890292,0,0,156342,239
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,1,50,23,15017453,15017453,0,0,554081,941441,0,0,159191,2
22,25,3,50,16,22408159,22408159,0,0,812121,941441,0,0,78344,4
23,25,3,50,10,27548076,27548076,0,0,1035549,1018958,0,0,54485,10
24,25,3,50,7,30165870,30165870,0,0,1150905,1018958,0,0,27748,16
25,25,3,50,6,32636321,32636321,0,0,1265588,1018958,0,0,26186,22
26,25,3,50,5,34420731,34420731,0,0,1351303,1018958,0,0,18914,28
27,25,3,50,5,36186405,36186405,0,3,1450542,1018958,0,0,18716,34
28,25,3,50,6,38862329,38862329,0,13,1569667,1056065,0,0,28365,40
29,25,3,50,14,43431322,43431322,0,15,1798029,1268788,0,0,48432,46
30,25,3,50,21,50681728,50681728,0,15,2131592,1514567,0,0,76857,51
31,25,3,50,26,57935564,57935564,0,15,2492062,1762768,0,0,76892,56
32,25,3,50,27,68235031,68235031,0,15,2993745,1992173,0,0,109177,62
33,25,3,50,23,80161859,80161859,0,16,3578584,2187567,0,0,126428,68
34,25,3,50,23,90522976,90522976,0,22,4091824,2405806,0,0,109831,74
35,25,3,50,29,101162369,101162369,0,22,4522525,2687671,0,0,112782,80
36,25,3,50,29,114576718,114576718,0,23,5138721,2992918,0,0,142197,86
37,25,3,50,31,127113055,127113055,0,23,5651820,3257606,0,0,132889,92
38,25,3,50,32,143195271,143195271,0,23,6321167,3596418,0,0,170477,98
39,25,3,50,30,164025904,164025904,0,23,7275264,3991669,0,0,220813,104
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,39,9710849,9710849,0,0,399120,531294,0,0,102939,2
42,25,6,50,48,24030202,24030202,0,0,975939,764477,0,0,151789,9
43,25,6,50,48,39385573,39385573,0,0,1557801,831774,0,0,162772,21
44,25,6,50,48,56935581,56935581,0,0,2336498,831792,0,0,186035,32
45,25,6,50,48,73635292,73635292,0,0,3161128,865626,0,0,177022,43
46,25,6,50,48,88998839,88998839,0,0,3831639,880598,0,0,162858,54
47,25,6,50,48,105884627,105884627,0,0,4599997,880598,0,0,178993,66
48,25,6,50,48,121026104,121026104,0,0,5320731,880598,0,0,160504,78
49,25,6,50,48,136230017,136230017,0,0,6077946,880598,0,0,161164,90
50,25,6,50,48,153397635,153397635,0,0,6813680,889350,0,0,181980,101
51,25,6,50,48,169162732,169162732,0,0,7595008,889350,0,0,167114,113
52,25,6,50,48,185039423,185039423,0,0,8363313,889350,0,0,168297,125
53,25,6,50,48,199521191,199521191,0,0,9076704,889350,0,0,153510,137
54,25,6,50,48,216153056,216153056,0,0,9810079,889350,0,0,176303,149
55,25,6,50,48,233556331,233556331,0,0,10626006,889350,0,0,184479,161
56,25,6,50,48,250065249,250065249,0,0,11453670,889350,0,0,175000,173
57,25,6,50,48,266191644,266191644,0,0,12115693,889350,0,0,170944,185
58,25,6,50,48,280775770,280775770,0,0,12816406,889350,0,0,154596,197
59,25,6,50,48,295649798,295649798,0,0,13463394,889350,0,0,157668,209
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,3,50,44,10760454,10760454,0,0,457504,615613,0,0,114064,4
62,25,6,50,50,27067807,27067807,0,0,1183610,781385,0,0,172862,14
63,25,6,50,50,40476139,40476139,0,0,1829922,811951,0,0,142131,26
64,25,6,50,50,56194738,56194738,0,0,2560491,811951,0,0,166620,38
65,25,6,50,50,72635295,72635295,0,0,3213000,811951,0,0,174273,50
66,25,6,50,50,86730676,86730676,0,0,3858196,811951,0,0,149415,62
67,25,6,50,50,102965248,102965248,0,0,4604717,817516,0,0,172091,73
68,25,6,50,50,119208799,119208799,0,0,5396184,817516,0,0,172186,85
69,25,6,50,50,135677563,135677563,0,0,6126225,817516,0,0,174573,97
70,25,6,50,50,151191100,151191100,0,0,6817963,817516,0,0,164447,109
71,25,6,50,50,167983801,167983801,0,0,7629648,817516,0,0,178006,121
72,25,6,50,50,183961052,183961052,0,1,8376620,817516,0,0,169364,133
73,25,6,50,50,199506403,199506403,0,1,9027931,819452,0,0,164784,145
74,25,6,50,50,215686557,215686557,0,1,9752353,847331,0,0,171514,157
75,25,6,50,51,231294622,231294622,0,1,10372575,866878,0,0,165449,169
76,25,6,50,51,244749733,244749733,0,1,11020433,882148,0,0,142627,181
77,25,6,50,51,259959944,259959944,0,1,11728683,912217,0,0,161233,193
