,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,1,50,36,0,0,0,0,0,41058,0,0,0,0
2,25,3,50,40,13443612,443612,13000000,0,575371,883712,0,423114,154505,5
3,25,3,50,40,27236907,636907,26600000,0,1351782,883712,0,464792,158522,11
4,25,3,50,40,39370939,1070939,38300000,0,1957310,883712,0,227700,139453,17
5,25,3,50,40,51748927,1948927,49800000,0,2519715,883712,0,313260,142257,23
6,25,3,50,40,64510565,2810565,61700000,0,3218179,883712,0,310914,146665,29
7,25,3,50,39,78304996,2904996,75400000,1,3913017,883712,0,297724,158535,35
8,25,3,50,37,91676337,16276337,75400000,5,4321155,889170,0,0,153673,41
9,25,3,50,36,104008543,26808543,77200000,6,4718112,932499,0,67098,141731,47
10,25,3,50,35,119328254,41228254,78100000,6,5234011,962207,0,43264,176066,53
11,25,3,50,34,132958336,41858336,91100000,6,5745392,962207,0,293592,156646,59
12,25,3,50,34,143518687,41918687,101600000,7,6281836,962207,0,367947,128353,64
13,25,3,50,34,155749681,42949681,112800000,7,6983819,962207,0,344151,140567,70
14,25,3,50,34,167411556,44611556,122800000,7,7356576,962207,0,146543,134027,76
15,25,3,50,34,179572800,44772800,134800000,7,7936295,962207,0,446761,139766,82
16,25,3,50,34,180854034,45754034,135100000,7,8041550,962207,0,359563,143507,87
17,25,3,50,34,192197550,46097550,146100000,7,8539354,962207,0,194488,130367,93
18,25,3,50,34,203393386,56393386,147000000,7,9045056,962207,0,22567,128670,99
19,25,3,50,34,214075191,56975191,157100000,7,9458828,962207,0,247621,124201,104
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,2,50,36,3768479,3768479,0,0,115921,253268,0,0,43310,2
22,25,5,50,34,15594101,15594101,0,0,469648,547119,0,22197,148595,2
23,25,5,50,31,26669874,22769874,3900000,0,872873,566921,0,93445,127289,10
24,25,5,50,29,35344867,22844867,12500000,0,1306839,587421,0,401842,122541,17
25,25,5,50,28,37953724,22953724,15000000,0,1452168,587421,0,77487,112892,26
26,25,5,50,28,47776944,31576944,16200000,0,1787653,587421,0,43558,112894,36
27,25,5,50,28,56154570,31787521,24367048,0,2164584,587421,0,194650,97917,45
28,25,5,50,28,64780378,32813329,31967048,1,2481733,587421,0,156995,99134,55
29,25,5,50,28,72758832,32991783,39767048,2,2877934,600476,0,302097,95730,64
30,25,5,50,29,80432813,39965765,40467048,3,3216042,644960,0,17285,94395,73
31,25,5,50,31,90511589,48744541,41767048,3,3545578,682467,0,31174,115831,83
32,25,5,50,31,102481005,51313956,51167048,3,4127504,755651,0,365636,137560,92
33,25,5,50,32,111843078,59300689,52542388,4,4453356,780111,0,19603,107594,102
34,25,5,50,31,120599136,65758856,54840280,6,4815591,807697,0,61104,100630,112
35,25,5,50,32,132641370,65901089,66740280,8,5427000,861891,0,267251,140480,121
36,25,5,50,33,145443527,66551100,78892426,8,5819038,960443,0,221715,147130,131
37,25,5,50,35,154636398,66843972,87792426,8,6243536,1001282,0,236737,105649,141
38,25,5,50,37,164301509,67009082,97292426,8,6630666,1044320,0,216563,111078,151
39,25,5,50,35,174834653,74742226,100092426,8,7024739,1076605,0,77323,121053,161
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,3,50,34,0,0,0,0,6181,140591,0,67858,19761,-2
42,25,4,50,37,12074095,274095,11800000,0,537358,836616,0,383663,138765,5
43,25,4,50,37,24137240,6537240,17600000,0,1166999,973096,0,224942,144568,10
44,25,4,50,37,38089057,8989057,29100000,0,1836443,1032542,0,263294,160344,16
45,25,4,50,37,50719077,9219077,41500000,0,2440376,1032542,0,413954,145153,24
46,25,4,50,37,61797302,13397302,48400000,0,3003462,1032542,0,167872,127319,32
