,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,3,50,45,0,0,0,0,0,49060,0,0,0,0
2,25,4,50,47,15401120,15401120,0,0,240565,375199,0,0,295003,6
3,25,4,50,47,30380736,30380736,0,0,451774,377818,0,0,286928,13
4,25,4,50,47,45229065,45229065,0,0,799814,395108,0,0,284414,20
5,25,4,50,47,61656866,61656866,0,0,1144492,395270,0,0,314669,27
6,25,4,50,47,79936788,79936788,0,0,1476531,401458,0,0,350145,34
7,25,4,50,47,94281435,94281435,0,0,1687333,417952,0,0,274766,41
8,25,4,50,47,110028877,110028877,0,0,1945364,417952,0,0,301637,49
9,25,4,50,47,124353878,124353878,0,0,2223690,418158,0,0,274389,56
10,25,4,50,47,139443635,139443635,0,0,2447896,418158,0,0,289038,64
11,25,4,50,47,153611588,153611588,0,0,2748615,418158,0,0,271382,72
12,25,4,50,47,169141777,169141777,0,0,3010533,418158,0,0,297475,80
13,25,4,50,47,184999139,184999139,0,0,3367554,418158,0,0,303742,88
14,25,4,50,47,200506595,200506595,0,0,3743745,418158,0,0,297039,96
15,25,4,50,47,217226581,217226581,0,0,4098256,418158,0,0,320265,104
16,25,4,50,47,233599798,233599798,0,0,4480623,418158,0,0,313623,112
17,25,4,50,47,248961221,248961221,0,0,4772948,418158,0,0,294242,120
18,25,4,50,47,263806041,263806041,0,0,4956209,418158,0,0,284346,128
19,25,4,50,47,279972684,279972684,0,0,5210880,418158,0,0,309665,136
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,4,50,41,2345049,2345049,0,0,39727,97995,0,0,44918,2
22,25,7,50,43,15203562,15203562,0,0,247839,294208,0,0,246299,10
23,25,7,50,40,29167251,29167251,0,0,516769,344055,0,0,267469,22
24,25,7,50,39,42204129,42204129,0,0,776228,348495,0,0,249714,35
25,25,7,50,38,55150600,55150600,0,0,1033230,348495,0,0,247983,49
26,25,6,50,38,61713742,61713742,0,0,1191925,348495,0,0,248859,54
27,25,6,50,38,75528970,75528970,0,0,1482393,351543,0,0,264624,65
28,25,6,50,38,90204728,90204728,0,0,1803198,351543,0,0,281108,77
29,25,6,50,38,102718210,102718210,0,1,2082383,351543,0,0,239690,89
30,25,6,50,39,116038886,116038886,0,1,2280570,364021,0,0,255151,101
31,25,6,50,39,126504250,126504250,0,1,2530482,364021,0,0,200458,113
32,25,6,50,39,140202531,140202531,0,1,2734371,364021,0,0,262385,125
33,25,6,50,39,156902406,156902406,0,1,3106393,364021,0,0,319880,137
34,25,6,50,39,169879332,169879332,0,1,3366791,364021,0,0,248566,149
35,25,6,50,39,181957169,181957169,0,2,3555118,364021,0,0,231344,161
36,25,6,50,40,196722542,196722542,0,2,3791426,372957,0,0,282823,173
37,25,6,50,40,212168103,212168103,0,3,4092734,372957,0,0,295852,185
38,25,7,50,43,226364578,226364578,0,3,4321224,372957,0,0,271926,197
39,25,7,50,43,240452881,240452881,0,6,4576439,398725,0,0,269854,211
40,25,0,50,0,0,0,0,0,0,0,0,0,0,0
41,25,2,50,49,9826449,9826449,0,0,156727,227510,0,0,188223,2
42,25,2,50,49,25957289,25957289,0,0,482826,323504,0,0,308981,5
43,25,2,50,49,42784635,42784635,0,0,716753,323504,0,0,322323,9
44,25,2,50,49,60664028,60664028,0,0,925520,328994,0,0,342475,12
45,25,2,50,49,75930684,75930684,0,0,1273666,335825,0,0,292428,15
46,25,2,50,49,92742833,92742833,0,0,1703209,335825,0,0,322032,19
47,25,2,50,49,108550674,108550674,0,0,2064866,335825,0,0,302794,23
48,25,2,50,49,122779884,122779884,0,0,2275287,335825,0,0,272556,27
49,25,2,50,49,137639873,137639873,0,0,2480549,335825,0,0,284638,31
50,25,2,50,49,152737859,152737859,0,0,2834619,335825,0,0,289197,35
51,25,2,50,49,167829386,167829386,0,0,3175017,335825,0,0,289073,39
52,25,2,50,49,183516080,183516080,0,0,3457504,335825,0,0,300473,43
53,25,2,50,49,201808266,201808266,0,0,3762648,335825,0,0,350381,47
54,25,2,50,49,219158180,219158180,0,0,4202983,335825,0,0,332332,51
55,25,2,50,49,234972913,234972913,0,0,4616711,335825,0,0,302926,55
56,25,2,50,49,251780461,251780461,0,0,4905510,335825,0,0,321944,59
57,25,2,50,49,269957473,269957473,0,0,5127422,335825,0,0,348175,63
58,25,2,50,49,287883163,287883163,0,0,5506349,335825,0,0,343361,67
59,25,2,50,49,304479644,304479644,0,0,5767358,335825,0,0,317901,71
60,25,0,50,0,0,0,0,0,0,0,0,0,0,0
61,25,1,50,39,0,0,0,0,0,41340,0,0,0,0
62,25,5,50,47,16950406,16950406,0,0,448868,565191,0,0,324679,7
63,25,5,50,46,34332235,34332235,0,0,858439,607921,0,0,332941,17
64,25,5,50,45,52976154,52976154,0,0,1095514,611959,0,0,357116,26
65,25,4,50,45,66702230,66702230,0,0,1418568,611959,0,0,295167,30
66,25,4,50,45,82399485,82399485,0,0,1748446,611959,0,0,300675,38
67,25,4,50,45,99982137,99982137,0,0,2197948,611959,0,0,336789,46
68,25,4,50,45,115048443,115048443,0,0,2542472,611959,0,0,288590,54
69,25,4,50,45,132909144,132909144,0,0,2823203,611959,0,0,342116,62
70,25,4,50,45,148420278,148420278,0,0,3079762,611959,0,0,297110,70
71,25,4,50,45,162679747,162679747,0,0,3317447,611959,0,0,273135,78
72,25,4,50,45,177040458,177040458,0,0,3548794,611959,0,0,275074,86
73,25,4,50,45,191630533,191630533,0,0,3747327,611959,0,0,279468,94
