,Communities,ActiveCommunities,Industries,Community Members,Total Energy communities,Solar Energy,Wind Energy,Member exit,Community Costs,Industry Investments,Govermental FIT incentive,Governmental TAX incentive,Governmental TGC incentive,Policy Entrepreneur
0,25,0,50,0,0,0,0,0,0,0,0,0,0,0
1,25,5,50,42,6345368,6345368,0,0,86435,167102,0,169539,0,4
2,25,7,50,42,22147505,22147505,0,0,362132,333348,0,526919,0,14
3,25,7,50,41,35340330,35340330,0,0,544584,351490,0,350901,0,27
4,25,7,50,40,49079629,49079629,0,0,795683,357408,0,470867,0,40
5,25,6,50,40,60686522,60686522,0,0,1005109,358272,0,501661,0,46
6,25,6,50,40,73439546,73439546,0,0,1248543,358272,0,468209,0,58
7,25,6,50,40,87377125,87377125,0,1,1492092,362120,0,467273,0,69
8,25,6,50,40,101538490,101538490,0,2,1759229,385760,0,515686,0,81
9,25,6,50,41,113297205,113297205,0,2,1952401,413392,0,368711,0,93
10,25,7,50,42,127700700,127700700,0,2,2188166,421944,0,348874,0,113
11,25,8,50,43,143206195,143206195,0,2,2377500,451324,0,353357,0,127
12,25,7,50,43,156204628,156204628,0,3,2532498,498991,0,430071,0,131
13,25,7,50,43,170753519,170753519,0,3,2797784,527159,0,509964,0,145
14,25,8,50,45,188038768,188038768,0,3,3073060,548343,0,378675,0,172
15,25,8,50,43,201466241,201466241,0,4,3310122,576081,0,453252,0,188
16,25,9,50,44,217702825,217702825,0,4,3612111,645891,0,574128,0,206
17,25,9,50,44,230751294,230751294,0,4,3811633,681883,0,373219,0,224
18,25,9,50,44,245706102,245706102,0,4,4040621,749446,0,424588,0,241
19,25,8,50,44,256766666,256766666,0,4,4200783,826377,0,467230,0,243
20,25,0,50,0,0,0,0,0,0,0,0,0,0,0
21,25,1,50,47,0,0,0,0,0,40091,0,0,0,0
22,25,1,50,47,16056288,16056288,0,0,150393,423683,0,300596,0,2
23,25,1,50,47,31075701,31075701,0,0,298519,423683,0,295974,0,4
24,25,1,50,47,47377396,47377396,0,0,469236,423683,0,339584,0,6
25,25,1,50,47,63328389,63328389,0,0,821943,423683,0,696391,0,8
26,25,1,50,47,79312716,79312716,0,0,984205,423683,0,322790,0,10
27,25,1,50,47,96691777,96691777,0,0,1358410,423683,0,751928,0,12
28,25,1,50,47,112715271,112715271,0,0,1598464,423683,0,476370,0,14
29,25,1,50,47,127268258,127268258,0,0,1878610,423683,0,559072,0,16
30,25,1,50,47,142611843,142611843,0,0,2021726,423683,0,284180,0,18
31,25,1,50,47,162268019,162268019,0,0,2262716,423683,0,474863,0,20
32,25,1,50,47,180146214,180146214,0,0,2574094,423683,0,616270,0,22
33,25,1,50,47,197869104,197869104,0,0,2946697,423683,0,749986,0,24
34,25,1,50,47,214387768,214387768,0,0,3294146,423683,0,692661,0,26
35,25,1,50,47,231357999,231357999,0,0,3617754,423683,0,651299,0,28
36,25,1,50,47,246775592,246775592,0,0,3796966,423683,0,354631,0,30
37,25,1,50,47,262344510,262344510,0,0,4104392,423683,0,612922,0,32
